date,open,high,low,close,volume
20200810 09:30:00 US/Eastern,11.68,11.74,11.68,11.69,179253
20200810 10:00:00 US/Eastern,11.7,11.71,11.64,11.64,76187
20200810 11:00:00 US/Eastern,11.65,11.7,11.61,11.7,77888
20200810 12:00:00 US/Eastern,11.7,11.74,11.68,11.74,94978
20200810 13:00:00 US/Eastern,11.74,11.74,11.68,11.71,52164
20200810 14:00:00 US/Eastern,11.72,11.72,11.65,11.69,86918
20200810 15:00:00 US/Eastern,11.69,11.69,11.65,11.68,89065
20200811 09:30:00 US/Eastern,11.82,11.85,11.75,11.75,102309
20200811 10:00:00 US/Eastern,11.76,11.79,11.71,11.74,139463
20200811 11:00:00 US/Eastern,11.74,11.76,11.69,11.74,141237
20200811 12:00:00 US/Eastern,11.74,11.74,11.68,11.68,50050
20200811 13:00:00 US/Eastern,11.68,11.68,11.6,11.62,123959
20200811 14:00:00 US/Eastern,11.61,11.63,11.52,11.61,216249
20200811 15:00:00 US/Eastern,11.6,11.6,11.53,11.53,61620
20200812 09:30:00 US/Eastern,11.76,11.76,11.7,11.73,38242
20200812 10:00:00 US/Eastern,11.73,11.79,11.7,11.79,180280
20200812 11:00:00 US/Eastern,11.8,11.8,11.71,11.73,55454
20200812 12:00:00 US/Eastern,11.72,11.75,11.71,11.73,49175
20200812 13:00:00 US/Eastern,11.74,11.76,11.7,11.76,81422
20200812 14:00:00 US/Eastern,11.76,11.83,11.75,11.79,157609
20200812 15:00:00 US/Eastern,11.79,11.8,11.75,11.76,42368
20200813 09:30:00 US/Eastern,11.72,11.77,11.7,11.75,24764
20200813 10:00:00 US/Eastern,11.75,11.76,11.7,11.7,33676
20200813 11:00:00 US/Eastern,11.71,11.73,11.65,11.7,66242
20200813 12:00:00 US/Eastern,11.7,11.72,11.65,11.65,64235
20200813 13:00:00 US/Eastern,11.65,11.67,11.63,11.66,38883
20200813 14:00:00 US/Eastern,11.66,11.69,11.64,11.67,115647
20200813 15:00:00 US/Eastern,11.68,11.71,11.68,11.69,26390
20200814 09:30:00 US/Eastern,11.61,11.66,11.59,11.65,48773
20200814 10:00:00 US/Eastern,11.65,11.65,11.6,11.62,101306
20200814 11:00:00 US/Eastern,11.62,11.64,11.6,11.63,66740
20200814 12:00:00 US/Eastern,11.63,11.64,11.59,11.61,70034
20200814 13:00:00 US/Eastern,11.61,11.62,11.55,11.57,57407
20200814 14:00:00 US/Eastern,11.57,11.64,11.56,11.63,61510
20200814 15:00:00 US/Eastern,11.63,11.65,11.63,11.64,56863
20200817 09:30:00 US/Eastern,11.58,11.72,11.58,11.7,127897
20200817 10:00:00 US/Eastern,11.71,11.73,11.68,11.71,54128
20200817 11:00:00 US/Eastern,11.71,11.72,11.65,11.66,87094
20200817 12:00:00 US/Eastern,11.65,11.7,11.65,11.7,22439
20200817 13:00:00 US/Eastern,11.69,11.75,11.69,11.74,94634
20200817 14:00:00 US/Eastern,11.75,11.78,11.74,11.76,104371
20200817 15:00:00 US/Eastern,11.75,11.76,11.73,11.76,72736
20200818 09:30:00 US/Eastern,11.66,11.74,11.64,11.71,54074
20200818 10:00:00 US/Eastern,11.71,11.74,11.66,11.72,28605
20200818 11:00:00 US/Eastern,11.72,11.78,11.72,11.76,80045
20200818 12:00:00 US/Eastern,11.77,11.79,11.76,11.78,34760
20200818 13:00:00 US/Eastern,11.77,11.77,11.74,11.77,15950
20200818 14:00:00 US/Eastern,11.78,11.8,11.73,11.74,47124
20200818 15:00:00 US/Eastern,11.74,11.74,11.7,11.71,52554
20200819 09:30:00 US/Eastern,11.68,11.69,11.63,11.64,66379
20200819 10:00:00 US/Eastern,11.64,11.74,11.62,11.66,98915
20200819 11:00:00 US/Eastern,11.67,11.78,11.67,11.77,75470
20200819 12:00:00 US/Eastern,11.77,11.78,11.73,11.75,30800
20200819 13:00:00 US/Eastern,11.76,11.77,11.74,11.76,27564
20200819 14:00:00 US/Eastern,11.77,11.77,11.71,11.76,105858
20200819 15:00:00 US/Eastern,11.76,11.76,11.71,11.73,26467
20200820 09:30:00 US/Eastern,11.51,11.53,11.44,11.45,1052256
20200820 10:00:00 US/Eastern,11.45,11.68,11.44,11.65,426832
20200820 11:00:00 US/Eastern,11.66,11.67,11.6,11.63,296086
20200820 12:00:00 US/Eastern,11.63,11.63,11.6,11.62,70459
20200820 13:00:00 US/Eastern,11.62,11.65,11.61,11.62,46806
20200820 14:00:00 US/Eastern,11.61,11.67,11.61,11.65,53005
20200820 15:00:00 US/Eastern,11.66,11.67,11.65,11.67,52073
20200821 09:30:00 US/Eastern,11.47,11.48,11.42,11.47,191989
20200821 10:00:00 US/Eastern,11.46,11.54,11.45,11.47,124127
20200821 11:00:00 US/Eastern,11.47,11.48,11.33,11.35,250987
20200821 12:00:00 US/Eastern,11.35,11.39,11.34,11.38,110240
20200821 13:00:00 US/Eastern,11.38,11.48,11.37,11.47,75060
20200821 14:00:00 US/Eastern,11.47,11.54,11.46,11.51,43486
20200821 15:00:00 US/Eastern,11.52,11.52,11.5,11.51,140222
20200824 09:30:00 US/Eastern,11.6,11.61,11.58,11.6,106405
20200824 10:00:00 US/Eastern,11.6,11.68,11.59,11.63,242917
20200824 11:00:00 US/Eastern,11.64,11.7,11.62,11.65,284723
20200824 12:00:00 US/Eastern,11.66,11.66,11.63,11.63,32616
20200824 13:00:00 US/Eastern,11.63,11.7,11.63,11.69,23221
20200824 14:00:00 US/Eastern,11.68,11.71,11.66,11.67,151502
20200824 15:00:00 US/Eastern,11.66,11.68,11.65,11.67,678564
20200825 09:30:00 US/Eastern,11.89,11.9,11.85,11.86,260139
20200825 10:00:00 US/Eastern,11.87,11.88,11.8,11.86,165746
20200825 11:00:00 US/Eastern,11.86,11.9,11.83,11.88,276761
20200825 12:00:00 US/Eastern,11.88,11.91,11.85,11.88,203929
20200825 13:00:00 US/Eastern,11.88,11.89,11.86,11.87,49471
20200825 14:00:00 US/Eastern,11.86,11.89,11.83,11.87,159514
20200825 15:00:00 US/Eastern,11.88,11.89,11.87,11.88,83399
20200826 09:30:00 US/Eastern,11.9,11.9,11.86,11.87,77672
20200826 10:00:00 US/Eastern,11.87,11.93,11.85,11.88,155804
20200826 11:00:00 US/Eastern,11.87,11.88,11.8,11.87,48015
20200826 12:00:00 US/Eastern,11.87,11.88,11.82,11.83,37026
20200826 13:00:00 US/Eastern,11.83,11.88,11.82,11.87,50509
20200826 14:00:00 US/Eastern,11.87,11.87,11.8,11.81,85262
20200826 15:00:00 US/Eastern,11.82,11.84,11.81,11.82,79655
20200827 09:30:00 US/Eastern,11.78,11.78,11.66,11.69,130318
20200827 10:00:00 US/Eastern,11.69,11.69,11.58,11.61,354372
20200827 11:00:00 US/Eastern,11.6,11.74,11.56,11.74,112414
20200827 12:00:00 US/Eastern,11.74,11.74,11.63,11.63,29702
20200827 13:00:00 US/Eastern,11.63,11.69,11.61,11.67,47970
20200827 14:00:00 US/Eastern,11.68,11.71,11.65,11.68,28526
20200827 15:00:00 US/Eastern,11.68,11.69,11.67,11.68,46050
20200828 09:30:00 US/Eastern,11.68,11.73,11.68,11.71,42805
20200828 10:00:00 US/Eastern,11.71,11.71,11.66,11.7,60032
20200828 11:00:00 US/Eastern,11.7,11.76,11.69,11.72,74555
20200828 12:00:00 US/Eastern,11.73,11.76,11.72,11.74,54327
20200828 13:00:00 US/Eastern,11.74,11.75,11.72,11.74,15935
20200828 14:00:00 US/Eastern,11.74,11.75,11.72,11.75,52070
20200828 15:00:00 US/Eastern,11.75,11.76,11.74,11.76,70250
20200831 09:30:00 US/Eastern,11.82,11.82,11.75,11.76,89138
20200831 10:00:00 US/Eastern,11.76,11.8,11.76,11.8,45138
20200831 11:00:00 US/Eastern,11.79,11.79,11.72,11.76,66870
20200831 12:00:00 US/Eastern,11.75,11.76,11.74,11.74,35190
20200831 13:00:00 US/Eastern,11.73,11.73,11.67,11.67,77327
20200831 14:00:00 US/Eastern,11.66,11.67,11.6,11.67,53066
20200831 15:00:00 US/Eastern,11.66,11.7,11.66,11.67,47846
20200901 09:30:00 US/Eastern,11.72,11.83,11.71,11.8,101191
20200901 10:00:00 US/Eastern,11.81,11.84,11.78,11.8,114756
20200901 11:00:00 US/Eastern,11.81,11.82,11.71,11.75,369908
20200901 12:00:00 US/Eastern,11.76,11.77,11.75,11.76,33785
20200901 13:00:00 US/Eastern,11.75,11.75,11.69,11.71,100628
20200901 14:00:00 US/Eastern,11.71,11.72,11.68,11.7,88517
20200901 15:00:00 US/Eastern,11.7,11.72,11.7,11.72,110808
