date,open,high,low,close,volume
20200810 09:30:00 US/Eastern,17.89,17.92,17.84,17.9,47712
20200810 10:00:00 US/Eastern,17.91,17.98,17.85,17.86,61852
20200810 11:00:00 US/Eastern,17.89,17.95,17.82,17.86,11058
20200810 12:00:00 US/Eastern,17.89,17.89,17.82,17.86,5602
20200810 13:00:00 US/Eastern,17.85,17.87,17.84,17.87,4704
20200810 14:00:00 US/Eastern,17.87,17.87,17.82,17.85,40179
20200810 15:00:00 US/Eastern,17.85,17.89,17.83,17.88,26944
20200811 09:30:00 US/Eastern,17.93,17.93,17.82,17.82,14965
20200811 10:00:00 US/Eastern,17.84,17.88,17.77,17.84,21590
20200811 11:00:00 US/Eastern,17.84,17.85,17.79,17.85,291789
20200811 12:00:00 US/Eastern,17.84,17.91,17.84,17.89,25433
20200811 13:00:00 US/Eastern,17.88,17.93,17.88,17.89,23710
20200811 14:00:00 US/Eastern,17.89,17.89,17.74,17.78,60773
20200811 15:00:00 US/Eastern,17.77,17.78,17.7,17.7,11997
20200812 09:30:00 US/Eastern,17.93,17.93,17.77,17.77,13405
20200812 10:00:00 US/Eastern,17.8,18.0,17.78,18.0,34449
20200812 11:00:00 US/Eastern,18.03,18.03,18.0,18.0,2435
20200812 12:00:00 US/Eastern,18.02,18.02,18.0,18.0,2960
20200812 13:00:00 US/Eastern,18.01,18.07,17.99,18.0,22632
20200812 14:00:00 US/Eastern,18.03,18.05,18.0,18.0,3083
20200812 15:00:00 US/Eastern,18.0,18.0,17.93,17.93,6435
20200813 09:30:00 US/Eastern,17.74,17.75,17.7,17.75,8483
20200813 10:00:00 US/Eastern,17.71,17.71,17.5,17.52,16167
20200813 11:00:00 US/Eastern,17.5,17.51,17.44,17.49,7061
20200813 12:00:00 US/Eastern,17.48,17.53,17.48,17.53,10040
20200813 13:00:00 US/Eastern,17.53,17.58,17.52,17.54,4053
20200813 14:00:00 US/Eastern,17.54,17.54,17.33,17.41,30985
20200813 15:00:00 US/Eastern,17.41,17.5,17.4,17.5,65421
20200814 09:30:00 US/Eastern,17.77,17.84,17.77,17.8,16441
20200814 10:00:00 US/Eastern,17.8,17.84,17.73,17.82,6555
20200814 11:00:00 US/Eastern,17.83,17.83,17.76,17.78,5162
20200814 12:00:00 US/Eastern,17.79,17.81,17.78,17.79,4643
20200814 13:00:00 US/Eastern,17.76,17.77,17.76,17.77,3719
20200814 14:00:00 US/Eastern,17.77,17.81,17.76,17.81,5850
20200814 15:00:00 US/Eastern,17.8,17.81,17.77,17.79,64063
20200817 09:30:00 US/Eastern,18.1,18.2,18.1,18.11,10800
20200817 10:00:00 US/Eastern,18.12,18.14,18.09,18.1,37120
20200817 11:00:00 US/Eastern,18.1,18.1,18.01,18.04,8427
20200817 12:00:00 US/Eastern,18.05,18.08,18.05,18.08,1500
20200817 13:00:00 US/Eastern,18.08,18.1,18.06,18.08,5247
20200817 14:00:00 US/Eastern,18.09,18.1,18.07,18.08,2470
20200817 15:00:00 US/Eastern,18.09,18.13,18.09,18.11,5881
20200818 09:30:00 US/Eastern,18.36,18.45,18.36,18.41,53288
20200818 10:00:00 US/Eastern,18.38,18.43,18.26,18.39,119923
20200818 11:00:00 US/Eastern,18.39,18.43,18.38,18.43,10322
20200818 12:00:00 US/Eastern,18.42,18.51,18.42,18.51,16765
20200818 13:00:00 US/Eastern,18.51,18.51,18.48,18.51,5552
20200818 14:00:00 US/Eastern,18.5,18.57,18.5,18.55,25669
20200818 15:00:00 US/Eastern,18.57,18.6,18.5,18.5,18451
20200819 09:30:00 US/Eastern,18.75,18.81,18.72,18.72,20477
20200819 10:00:00 US/Eastern,18.73,18.87,18.72,18.75,17743
20200819 11:00:00 US/Eastern,18.74,18.79,18.72,18.78,3103
20200819 12:00:00 US/Eastern,18.76,18.82,18.75,18.8,10831
20200819 13:00:00 US/Eastern,18.8,18.81,18.75,18.79,6900
20200819 14:00:00 US/Eastern,18.79,18.8,18.59,18.69,18035
20200819 15:00:00 US/Eastern,18.69,18.69,18.57,18.59,14890
20200820 09:30:00 US/Eastern,18.44,18.52,18.4,18.48,14973
20200820 10:00:00 US/Eastern,18.45,18.5,18.41,18.46,7432
20200820 11:00:00 US/Eastern,18.46,18.5,18.46,18.5,2852
20200820 12:00:00 US/Eastern,18.5,18.53,18.49,18.53,1832
20200820 13:00:00 US/Eastern,18.52,18.55,18.51,18.55,4690
20200820 14:00:00 US/Eastern,18.56,18.68,18.56,18.68,2866
20200820 15:00:00 US/Eastern,18.66,18.68,18.65,18.65,10046
20200821 09:30:00 US/Eastern,18.2,18.2,18.1,18.12,18694
20200821 10:00:00 US/Eastern,18.11,18.21,18.11,18.17,6746
20200821 11:00:00 US/Eastern,18.15,18.22,18.15,18.22,46662
20200821 12:00:00 US/Eastern,18.19,18.19,18.17,18.18,300
20200821 13:00:00 US/Eastern,18.19,18.23,18.18,18.21,13929
20200821 14:00:00 US/Eastern,18.21,18.3,18.2,18.27,5888
20200821 15:00:00 US/Eastern,18.25,18.32,18.23,18.32,8657
20200824 09:30:00 US/Eastern,18.28,18.35,18.26,18.26,10407
20200824 10:00:00 US/Eastern,18.3,18.3,18.21,18.21,5299
20200824 11:00:00 US/Eastern,18.23,18.26,18.21,18.25,2000
20200824 12:00:00 US/Eastern,18.24,18.3,18.23,18.25,3574
20200824 13:00:00 US/Eastern,18.25,18.25,18.24,18.25,1832
20200824 14:00:00 US/Eastern,18.23,18.25,18.23,18.23,2377
20200824 15:00:00 US/Eastern,18.24,18.25,18.23,18.24,1043
20200825 09:30:00 US/Eastern,18.26,18.26,18.23,18.24,2364
20200825 10:00:00 US/Eastern,18.28,18.3,18.23,18.3,2213
20200825 11:00:00 US/Eastern,18.3,18.3,18.29,18.3,500
20200825 12:00:00 US/Eastern,18.27,18.29,18.25,18.27,2746
20200825 13:00:00 US/Eastern,18.27,18.29,18.27,18.27,444
20200825 14:00:00 US/Eastern,18.29,18.32,18.27,18.32,1050
20200825 15:00:00 US/Eastern,18.33,18.38,18.33,18.38,3502
20200826 09:30:00 US/Eastern,18.43,18.53,18.43,18.48,14937
20200826 10:00:00 US/Eastern,18.51,18.51,18.46,18.49,13886
20200826 11:00:00 US/Eastern,18.47,18.48,18.42,18.46,6429
20200826 12:00:00 US/Eastern,18.43,18.49,18.42,18.48,1868
20200826 13:00:00 US/Eastern,18.48,18.49,18.48,18.48,900
20200826 14:00:00 US/Eastern,18.5,18.5,18.47,18.48,1897
20200826 15:00:00 US/Eastern,18.49,18.5,18.48,18.5,450
20200827 09:30:00 US/Eastern,18.69,18.69,18.53,18.53,4946
20200827 10:00:00 US/Eastern,18.47,18.48,18.26,18.45,11765
20200827 11:00:00 US/Eastern,18.45,18.53,18.45,18.51,1293
20200827 12:00:00 US/Eastern,18.46,18.47,18.46,18.46,300
20200827 13:00:00 US/Eastern,18.5,18.59,18.5,18.55,3442
20200827 14:00:00 US/Eastern,18.54,18.65,18.54,18.57,2669
20200827 15:00:00 US/Eastern,18.59,18.64,18.58,18.64,701
20200828 09:30:00 US/Eastern,18.75,18.75,18.62,18.64,7186
20200828 10:00:00 US/Eastern,18.65,18.73,18.65,18.7,1793
20200828 11:00:00 US/Eastern,18.69,18.75,18.63,18.66,9627
20200828 12:00:00 US/Eastern,18.72,18.72,18.7,18.71,865
20200828 13:00:00 US/Eastern,18.71,18.74,18.7,18.72,2751
