date,open,high,low,close,volume
20200810 09:30:00 US/Eastern,191.2,192.44,191.11,192.38,2523832
20200810 10:00:00 US/Eastern,192.38,192.61,191.27,191.28,2910831
20200810 11:00:00 US/Eastern,191.28,191.54,190.73,191.16,2758008
20200810 12:00:00 US/Eastern,191.15,191.21,190.38,190.75,2017925
20200810 13:00:00 US/Eastern,190.76,190.91,190.53,190.86,1016830
20200810 14:00:00 US/Eastern,190.84,190.88,189.66,190.15,1721866
20200810 15:00:00 US/Eastern,190.16,190.49,189.97,190.16,1555281
20200811 09:30:00 US/Eastern,183.57,183.98,182.44,182.53,6650386
20200811 10:00:00 US/Eastern,182.53,183.73,182.2,183.15,5906552
20200811 11:00:00 US/Eastern,183.14,183.54,182.02,182.51,3620804
20200811 12:00:00 US/Eastern,182.55,183.17,182.31,182.39,2781145
20200811 13:00:00 US/Eastern,182.4,182.65,180.62,180.88,4950634
20200811 14:00:00 US/Eastern,180.89,180.91,179.43,180.6,6099152
20200811 15:00:00 US/Eastern,180.62,181.13,179.92,179.98,5860385
20200812 09:30:00 US/Eastern,182.61,182.77,181.56,181.99,2811748
20200812 10:00:00 US/Eastern,181.98,182.98,181.0,182.96,3251739
20200812 11:00:00 US/Eastern,182.96,182.99,182.03,182.39,2488180
20200812 12:00:00 US/Eastern,182.39,183.1,182.38,182.87,1658047
20200812 13:00:00 US/Eastern,182.85,183.07,181.52,181.96,2417380
20200812 14:00:00 US/Eastern,181.96,182.23,181.04,181.09,3077681
20200812 15:00:00 US/Eastern,181.09,181.41,179.04,179.14,5791565
20200813 09:30:00 US/Eastern,181.56,182.45,181.36,182.32,1425898
20200813 10:00:00 US/Eastern,182.32,183.28,182.13,182.94,2878323
20200813 11:00:00 US/Eastern,182.92,183.16,182.54,182.73,1072467
20200813 12:00:00 US/Eastern,182.7,183.68,182.59,183.55,1018073
20200813 13:00:00 US/Eastern,183.55,184.7,183.34,183.9,2809478
20200813 14:00:00 US/Eastern,183.91,183.92,181.97,183.17,3211494
20200813 15:00:00 US/Eastern,183.17,183.59,182.61,183.35,2167270
20200814 09:30:00 US/Eastern,183.44,183.72,182.94,182.95,1087181
20200814 10:00:00 US/Eastern,182.95,183.05,182.4,182.92,1929015
20200814 11:00:00 US/Eastern,182.93,183.08,182.18,182.54,1185388
20200814 12:00:00 US/Eastern,182.54,182.72,181.61,181.68,1531634
20200814 13:00:00 US/Eastern,181.64,182.69,181.49,182.4,1313212
20200814 14:00:00 US/Eastern,182.41,182.89,182.31,182.49,767510
20200814 15:00:00 US/Eastern,182.48,182.62,182.27,182.54,1221981
20200817 09:30:00 US/Eastern,184.69,185.39,184.66,185.33,2133893
20200817 10:00:00 US/Eastern,185.33,186.86,185.3,186.08,3239421
20200817 11:00:00 US/Eastern,186.09,186.64,185.83,186.51,1421714
20200817 12:00:00 US/Eastern,186.52,186.86,186.38,186.73,1245676
20200817 13:00:00 US/Eastern,186.73,187.01,186.13,186.23,1235949
20200817 14:00:00 US/Eastern,186.23,186.35,186.0,186.01,877753
20200817 15:00:00 US/Eastern,186.0,186.53,185.95,186.46,1528190
20200818 09:30:00 US/Eastern,189.18,189.4,188.29,188.36,1529429
20200818 10:00:00 US/Eastern,188.33,188.67,185.63,187.19,3965967
20200818 11:00:00 US/Eastern,187.21,188.41,187.1,188.09,1750286
20200818 12:00:00 US/Eastern,188.09,188.85,187.99,188.53,1536924
20200818 13:00:00 US/Eastern,188.51,188.58,187.97,188.43,1551564
20200818 14:00:00 US/Eastern,188.43,188.6,188.1,188.25,950182
20200818 15:00:00 US/Eastern,188.27,188.55,187.82,188.21,1523198
20200819 09:30:00 US/Eastern,187.21,187.46,186.22,186.46,1568803
20200819 10:00:00 US/Eastern,186.48,186.96,184.23,184.56,2467805
20200819 11:00:00 US/Eastern,184.56,184.94,183.56,184.44,3285720
20200819 12:00:00 US/Eastern,184.38,184.81,184.0,184.46,1434572
20200819 13:00:00 US/Eastern,184.47,184.94,184.06,184.73,1541112
20200819 14:00:00 US/Eastern,184.75,185.48,181.71,182.85,5295907
20200819 15:00:00 US/Eastern,182.81,183.05,181.84,182.25,3446538
20200820 09:30:00 US/Eastern,181.19,181.91,180.93,181.51,1934932
20200820 10:00:00 US/Eastern,181.51,182.93,181.06,182.73,3097055
20200820 11:00:00 US/Eastern,182.7,183.36,182.15,182.89,1697599
20200820 12:00:00 US/Eastern,182.89,183.1,182.41,182.6,737187
20200820 13:00:00 US/Eastern,182.61,182.86,182.0,182.23,895682
20200820 14:00:00 US/Eastern,182.22,183.24,182.02,183.14,1275854
20200820 15:00:00 US/Eastern,183.14,183.71,182.98,183.43,2102107
20200821 09:30:00 US/Eastern,182.14,182.23,180.95,181.33,1814478
20200821 10:00:00 US/Eastern,181.34,182.81,180.47,182.67,2430977
20200821 11:00:00 US/Eastern,182.67,182.74,181.81,182.16,1204925
20200821 12:00:00 US/Eastern,182.15,182.15,181.46,181.94,977453
20200821 13:00:00 US/Eastern,181.93,182.41,181.83,182.16,816561
20200821 14:00:00 US/Eastern,182.13,182.24,181.87,182.23,663220
20200821 15:00:00 US/Eastern,182.23,182.25,181.92,182.03,1417199
20200824 09:30:00 US/Eastern,182.91,182.93,181.95,182.01,1379339
20200824 10:00:00 US/Eastern,182.04,182.79,181.17,181.34,1744409
20200824 11:00:00 US/Eastern,181.33,181.74,181.04,181.28,1301013
20200824 12:00:00 US/Eastern,181.29,181.67,181.02,181.4,595792
20200824 13:00:00 US/Eastern,181.4,181.66,181.13,181.19,820904
20200824 14:00:00 US/Eastern,181.18,181.34,180.85,181.09,693411
20200824 15:00:00 US/Eastern,181.06,181.15,180.68,181.0,1568221
20200825 09:30:00 US/Eastern,181.06,181.16,180.51,180.65,1008520
20200825 10:00:00 US/Eastern,180.67,180.82,179.9,180.11,2450228
20200825 11:00:00 US/Eastern,180.14,180.42,179.73,180.26,1366450
20200825 12:00:00 US/Eastern,180.27,180.48,179.82,179.98,717423
20200825 13:00:00 US/Eastern,179.96,180.47,179.88,180.43,587073
20200825 14:00:00 US/Eastern,180.44,181.16,180.31,181.14,705647
20200825 15:00:00 US/Eastern,181.14,181.25,180.93,181.24,1318228
20200826 09:30:00 US/Eastern,180.26,181.87,180.2,181.78,1843077
20200826 10:00:00 US/Eastern,181.78,182.56,181.04,182.11,2344502
20200826 11:00:00 US/Eastern,182.08,182.85,181.96,182.25,1571872
20200826 12:00:00 US/Eastern,182.28,182.82,182.22,182.55,717715
20200826 13:00:00 US/Eastern,182.56,183.18,182.56,182.84,871832
20200826 14:00:00 US/Eastern,182.84,183.16,182.67,182.83,735700
20200826 15:00:00 US/Eastern,182.82,183.58,182.72,183.4,1562606
20200827 09:30:00 US/Eastern,185.0,185.17,181.44,182.28,2821318
20200827 10:00:00 US/Eastern,182.28,182.28,179.37,180.3,4215522
20200827 11:00:00 US/Eastern,180.3,181.51,180.02,181.22,1499573
20200827 12:00:00 US/Eastern,181.17,181.47,180.29,180.36,1316252
20200827 13:00:00 US/Eastern,180.34,181.46,180.24,181.33,803341
20200827 14:00:00 US/Eastern,181.38,181.8,181.11,181.37,891835
20200827 15:00:00 US/Eastern,181.34,181.66,181.05,181.28,1168860
20200828 09:30:00 US/Eastern,183.98,184.22,183.57,184.05,991327
20200828 10:00:00 US/Eastern,184.07,184.5,183.4,184.26,2457633
20200828 11:00:00 US/Eastern,184.27,185.28,184.08,184.91,1652045
20200828 12:00:00 US/Eastern,184.9,185.4,184.84,185.03,1109770
20200828 13:00:00 US/Eastern,185.01,185.08,184.24,184.34,1197398
20200828 14:00:00 US/Eastern,184.34,184.75,184.12,184.75,893324
20200828 15:00:00 US/Eastern,184.75,184.77,184.35,184.39,1727626
20200831 09:30:00 US/Eastern,184.79,185.25,184.63,184.94,948365
20200831 10:00:00 US/Eastern,184.95,185.43,184.34,184.38,1314811
20200831 11:00:00 US/Eastern,184.42,185.09,184.28,184.94,861455
20200831 12:00:00 US/Eastern,184.92,185.53,184.85,185.2,955762
20200831 13:00:00 US/Eastern,185.2,185.4,185.0,185.28,626429
20200831 14:00:00 US/Eastern,185.29,185.3,184.7,185.14,862802
20200831 15:00:00 US/Eastern,185.16,185.21,184.75,184.84,1935297
20200901 09:30:00 US/Eastern,186.99,186.99,185.85,186.25,1076908
20200901 10:00:00 US/Eastern,186.24,186.24,184.47,185.69,2526233
20200901 11:00:00 US/Eastern,185.7,185.92,185.2,185.35,664653
20200901 12:00:00 US/Eastern,185.36,185.69,185.13,185.53,460017
20200901 13:00:00 US/Eastern,185.53,185.53,184.94,185.11,810721
20200901 14:00:00 US/Eastern,185.1,185.23,184.33,184.61,1147528
20200901 15:00:00 US/Eastern,184.62,185.12,184.56,185.01,1110362
20200902 09:30:00 US/Eastern,183.75,183.86,182.81,183.03,1459290
20200902 10:00:00 US/Eastern,183.02,183.38,182.08,182.53,1579777
20200902 11:00:00 US/Eastern,182.52,182.61,181.97,182.6,965693
20200902 12:00:00 US/Eastern,182.56,182.56,181.5,181.83,1609816
20200902 13:00:00 US/Eastern,181.8,182.42,181.65,182.06,1377466
20200902 14:00:00 US/Eastern,182.05,182.42,181.91,182.36,760484
20200902 15:00:00 US/Eastern,182.37,182.73,182.27,182.62,2015740
20200903 09:30:00 US/Eastern,182.3,182.82,181.95,182.57,1093650
20200903 10:00:00 US/Eastern,182.61,182.78,181.7,182.39,1416618
20200903 11:00:00 US/Eastern,182.35,182.45,180.49,180.94,2109686
20200903 12:00:00 US/Eastern,180.91,181.55,180.78,181.09,720696
20200903 13:00:00 US/Eastern,181.1,181.54,180.97,181.35,601825
20200903 14:00:00 US/Eastern,181.34,182.12,181.28,181.58,983033
20200903 15:00:00 US/Eastern,181.61,181.88,181.14,181.14,1747800
20200904 09:30:00 US/Eastern,180.95,181.5,180.67,180.87,787639
20200904 10:00:00 US/Eastern,180.88,181.22,180.16,180.71,2223642
20200904 11:00:00 US/Eastern,180.73,180.82,180.05,180.36,1518621
20200904 12:00:00 US/Eastern,180.34,181.2,180.19,180.96,1001128
20200904 13:00:00 US/Eastern,180.95,181.4,180.66,181.33,872978
20200904 14:00:00 US/Eastern,181.31,182.1,181.17,181.86,1062866
20200904 15:00:00 US/Eastern,181.85,181.94,181.56,181.67,1501793
20200908 09:30:00 US/Eastern,179.5,179.88,179.02,179.63,3271105
20200908 10:00:00 US/Eastern,179.63,180.92,179.37,180.45,1877410
20200908 11:00:00 US/Eastern,180.44,181.18,180.26,181.05,999464
20200908 12:00:00 US/Eastern,181.06,182.12,180.96,182.08,1210626
20200908 13:00:00 US/Eastern,182.11,182.27,181.74,182.16,908372
20200908 14:00:00 US/Eastern,182.18,182.21,181.25,181.41,925780
20200908 15:00:00 US/Eastern,181.41,181.62,181.07,181.32,1695395
20200909 09:30:00 US/Eastern,182.5,182.99,182.19,182.92,1208727
20200909 10:00:00 US/Eastern,182.91,183.04,182.26,182.73,1166223
20200909 11:00:00 US/Eastern,182.75,182.91,182.44,182.49,487031
20200909 12:00:00 US/Eastern,182.53,183.05,182.51,183.0,450783
20200909 13:00:00 US/Eastern,183.0,183.05,182.72,182.77,842350
20200909 14:00:00 US/Eastern,182.77,183.15,182.61,183.12,534740
20200909 15:00:00 US/Eastern,183.12,183.22,182.91,183.02,1192252
20200910 09:30:00 US/Eastern,184.23,184.5,183.85,184.33,982983
20200910 10:00:00 US/Eastern,184.32,184.68,183.45,183.6,1842260
20200910 11:00:00 US/Eastern,183.6,184.2,183.47,183.97,764446
20200910 12:00:00 US/Eastern,183.97,184.1,183.21,183.49,685053
20200910 13:00:00 US/Eastern,183.49,183.86,183.42,183.72,499563
20200910 14:00:00 US/Eastern,183.71,183.77,182.85,183.11,812945
20200910 15:00:00 US/Eastern,183.17,183.24,182.28,182.42,1507962
20200911 09:30:00 US/Eastern,183.14,183.55,182.79,183.25,749391
20200911 10:00:00 US/Eastern,183.25,183.34,182.78,183.02,1176863
20200911 11:00:00 US/Eastern,183.04,183.12,182.84,183.07,640519
20200911 12:00:00 US/Eastern,183.08,183.1,182.38,182.41,520104
20200911 13:00:00 US/Eastern,182.42,182.53,182.0,182.14,973846
20200911 14:00:00 US/Eastern,182.14,182.48,182.11,182.27,527054
20200911 15:00:00 US/Eastern,182.26,182.46,182.14,182.42,978409
20200914 09:30:00 US/Eastern,183.57,184.0,183.51,183.89,1158993
20200914 10:00:00 US/Eastern,183.91,184.07,183.75,183.91,963901
20200914 11:00:00 US/Eastern,183.9,184.3,183.89,183.94,622407
20200914 12:00:00 US/Eastern,183.92,183.97,183.56,183.69,825275
20200914 13:00:00 US/Eastern,183.69,183.71,183.39,183.6,757667
20200914 14:00:00 US/Eastern,183.59,183.78,183.52,183.76,483930
20200914 15:00:00 US/Eastern,183.77,184.0,183.76,183.86,1529522
20200915 09:30:00 US/Eastern,184.46,184.67,183.41,183.71,1084924
20200915 10:00:00 US/Eastern,183.7,183.7,182.92,183.34,1445927
20200915 11:00:00 US/Eastern,183.36,183.47,183.17,183.27,568150
20200915 12:00:00 US/Eastern,183.28,183.91,183.27,183.89,649042
20200915 13:00:00 US/Eastern,183.89,183.98,183.51,183.53,635826
20200915 14:00:00 US/Eastern,183.53,183.71,183.39,183.71,424111
20200915 15:00:00 US/Eastern,183.72,183.75,183.26,183.47,918238
20200916 09:30:00 US/Eastern,184.98,185.01,184.29,184.38,836774
20200916 10:00:00 US/Eastern,184.35,184.65,183.72,184.52,1547267
20200916 11:00:00 US/Eastern,184.52,184.99,184.43,184.71,793851
20200916 12:00:00 US/Eastern,184.72,184.77,184.39,184.53,435660
20200916 13:00:00 US/Eastern,184.53,184.59,184.03,184.28,694115
20200916 14:00:00 US/Eastern,184.23,185.0,183.33,183.86,2880229
20200916 15:00:00 US/Eastern,183.86,184.13,183.42,183.95,1446792
20200917 09:30:00 US/Eastern,181.92,182.36,181.48,182.19,1220260
20200917 10:00:00 US/Eastern,182.2,182.87,181.96,182.59,1345861
20200917 11:00:00 US/Eastern,182.6,183.09,182.46,182.53,833764
20200917 12:00:00 US/Eastern,182.51,182.77,182.37,182.61,542410
20200917 13:00:00 US/Eastern,182.62,182.7,182.36,182.58,942017
20200917 14:00:00 US/Eastern,182.58,182.81,182.5,182.61,461166
20200917 15:00:00 US/Eastern,182.61,183.01,182.48,182.97,1330082
20200918 09:30:00 US/Eastern,183.07,183.21,182.64,182.8,891966
20200918 10:00:00 US/Eastern,182.8,183.61,182.75,183.52,1144722
20200918 11:00:00 US/Eastern,183.52,183.65,183.21,183.38,637897
20200918 12:00:00 US/Eastern,183.38,184.04,183.37,183.96,874359
20200918 13:00:00 US/Eastern,183.95,184.09,183.31,183.54,735117
20200918 14:00:00 US/Eastern,183.56,183.56,183.13,183.25,349819
20200918 15:00:00 US/Eastern,183.26,183.29,183.05,183.17,891807
20200921 09:30:00 US/Eastern,179.84,180.29,179.45,179.58,1976600
20200921 10:00:00 US/Eastern,179.58,179.81,176.75,178.09,4742525
20200921 11:00:00 US/Eastern,178.11,178.87,177.13,178.42,2156369
20200921 12:00:00 US/Eastern,178.41,179.05,178.33,178.68,998398
20200921 13:00:00 US/Eastern,178.67,179.34,178.58,179.33,1466327
20200921 14:00:00 US/Eastern,179.32,179.39,178.82,179.2,797947
20200921 15:00:00 US/Eastern,179.18,179.55,179.17,179.49,1643287
20200922 09:30:00 US/Eastern,179.63,180.02,178.91,178.92,762624
20200922 10:00:00 US/Eastern,178.94,179.92,178.41,178.47,1027166
20200922 11:00:00 US/Eastern,178.48,178.94,178.11,178.37,1199000
20200922 12:00:00 US/Eastern,178.37,178.82,178.25,178.32,495141
20200922 13:00:00 US/Eastern,178.32,178.95,178.31,178.76,729186
20200922 14:00:00 US/Eastern,178.8,179.07,178.68,178.84,605108
20200922 15:00:00 US/Eastern,178.85,178.95,178.48,178.63,1115269
20200923 09:30:00 US/Eastern,176.98,177.26,176.26,176.31,1564428
20200923 10:00:00 US/Eastern,176.26,176.27,175.04,175.14,4284729
20200923 11:00:00 US/Eastern,175.13,175.77,175.02,175.05,1842754
20200923 12:00:00 US/Eastern,175.02,175.46,174.83,175.25,1477893
20200923 13:00:00 US/Eastern,175.24,175.27,174.8,174.83,889440
20200923 14:00:00 US/Eastern,174.84,175.37,174.68,174.92,1270988
20200923 15:00:00 US/Eastern,174.92,175.04,174.1,174.79,3175525
20200924 09:30:00 US/Eastern,174.36,174.76,173.77,174.67,2131844
20200924 10:00:00 US/Eastern,174.66,175.02,174.05,174.65,1705837
20200924 11:00:00 US/Eastern,174.65,175.67,174.47,175.66,996764
20200924 12:00:00 US/Eastern,175.69,175.9,175.38,175.63,866197
20200924 13:00:00 US/Eastern,175.63,176.24,175.55,175.86,953922
20200924 14:00:00 US/Eastern,175.87,175.97,174.82,174.85,1174318
20200924 15:00:00 US/Eastern,174.86,175.53,174.79,175.43,1112654
20200925 09:30:00 US/Eastern,174.41,175.04,174.35,174.95,545100
20200925 10:00:00 US/Eastern,174.95,175.13,173.89,174.88,1155469
20200925 11:00:00 US/Eastern,174.89,175.2,174.61,174.61,634582
20200925 12:00:00 US/Eastern,174.63,174.95,174.47,174.83,527631
20200925 13:00:00 US/Eastern,174.82,175.18,174.68,175.1,363147
20200925 14:00:00 US/Eastern,175.11,175.27,175.0,175.09,549281
20200925 15:00:00 US/Eastern,175.09,175.3,174.85,174.94,1286955
20200928 09:30:00 US/Eastern,175.83,176.25,175.17,175.32,894008
20200928 10:00:00 US/Eastern,175.35,175.82,175.09,175.21,844172
20200928 11:00:00 US/Eastern,175.21,175.91,175.2,175.88,589836
20200928 12:00:00 US/Eastern,175.87,176.18,175.84,176.03,394006
20200928 13:00:00 US/Eastern,176.05,176.56,176.01,176.39,712157
20200928 14:00:00 US/Eastern,176.4,176.81,176.34,176.69,624112
20200928 15:00:00 US/Eastern,176.7,176.75,176.3,176.68,1497027
20200929 09:30:00 US/Eastern,177.19,177.4,177.02,177.14,1006588
20200929 10:00:00 US/Eastern,177.15,177.68,176.95,177.2,1427670
20200929 11:00:00 US/Eastern,177.19,177.76,177.03,177.49,924737
20200929 12:00:00 US/Eastern,177.49,178.01,177.43,177.99,940258
20200929 13:00:00 US/Eastern,178.0,178.33,177.84,178.13,635363
20200929 14:00:00 US/Eastern,178.12,178.21,178.0,178.07,491652
20200929 15:00:00 US/Eastern,178.07,178.24,177.88,178.21,1171705
20200930 09:30:00 US/Eastern,177.71,177.73,176.66,177.02,921687
20200930 10:00:00 US/Eastern,177.04,177.64,176.89,177.64,1227960
20200930 11:00:00 US/Eastern,177.64,178.61,177.53,178.04,1146681
20200930 12:00:00 US/Eastern,178.04,178.23,177.78,178.21,428454
20200930 13:00:00 US/Eastern,178.19,178.2,177.22,177.77,721518
20200930 14:00:00 US/Eastern,177.77,177.97,177.22,177.48,582604
20200930 15:00:00 US/Eastern,177.46,177.54,177.01,177.15,1144062
20201001 09:30:00 US/Eastern,178.71,179.03,178.51,178.6,1007219
20201001 10:00:00 US/Eastern,178.61,178.89,178.03,178.78,1684547
20201001 11:00:00 US/Eastern,178.79,179.5,178.78,179.4,1032768
20201001 12:00:00 US/Eastern,179.4,179.44,178.98,179.19,899033
20201001 13:00:00 US/Eastern,179.19,179.47,178.93,178.98,679116
20201001 14:00:00 US/Eastern,178.99,179.29,178.84,179.28,708499
20201001 15:00:00 US/Eastern,179.28,179.36,178.69,178.69,1565648
20201002 09:30:00 US/Eastern,178.69,178.9,178.16,178.68,794900
20201002 10:00:00 US/Eastern,178.68,179.08,178.43,178.74,1117783
20201002 11:00:00 US/Eastern,178.74,179.29,178.36,178.43,865905
20201002 12:00:00 US/Eastern,178.41,178.91,178.23,178.51,543706
20201002 13:00:00 US/Eastern,178.5,178.69,178.25,178.48,613244
20201002 14:00:00 US/Eastern,178.47,178.73,178.47,178.69,414811
20201002 15:00:00 US/Eastern,178.71,178.83,178.5,178.52,1259797
20201005 09:30:00 US/Eastern,179.02,179.38,178.9,179.21,808955
20201005 10:00:00 US/Eastern,179.22,180.14,179.12,179.99,1701588
20201005 11:00:00 US/Eastern,179.98,180.0,179.55,179.71,765066
20201005 12:00:00 US/Eastern,179.71,179.99,179.5,179.93,572181
20201005 13:00:00 US/Eastern,179.93,179.95,179.68,179.82,310573
20201005 14:00:00 US/Eastern,179.81,179.81,179.61,179.69,289384
20201005 15:00:00 US/Eastern,179.69,179.7,179.26,179.39,1155000
20201006 09:30:00 US/Eastern,180.16,180.37,179.48,179.77,593321
20201006 10:00:00 US/Eastern,179.77,180.07,179.38,179.44,1302220
20201006 11:00:00 US/Eastern,179.39,179.61,178.5,178.54,1088797
20201006 12:00:00 US/Eastern,178.53,178.92,178.41,178.71,542517
20201006 13:00:00 US/Eastern,178.71,178.76,178.21,178.41,615741
20201006 14:00:00 US/Eastern,178.43,178.99,177.61,178.15,1018480
20201006 15:00:00 US/Eastern,178.12,178.12,177.05,177.25,1862945
20201007 09:30:00 US/Eastern,177.04,177.42,176.8,176.82,1053599
20201007 10:00:00 US/Eastern,176.82,177.05,176.43,176.86,1210429
20201007 11:00:00 US/Eastern,176.86,177.33,176.85,177.04,480633
20201007 12:00:00 US/Eastern,177.04,177.18,176.57,177.12,379760
20201007 13:00:00 US/Eastern,177.14,177.33,176.99,177.08,600127
20201007 14:00:00 US/Eastern,177.06,177.24,177.03,177.05,373312
20201007 15:00:00 US/Eastern,177.04,177.25,177.0,177.2,710957
20201008 09:30:00 US/Eastern,178.18,178.45,177.89,177.91,739177
20201008 10:00:00 US/Eastern,177.88,177.91,176.81,177.07,1441914
20201008 11:00:00 US/Eastern,177.05,177.49,177.02,177.33,801234
20201008 12:00:00 US/Eastern,177.34,177.48,176.97,177.0,315649
20201008 13:00:00 US/Eastern,177.0,177.68,176.67,177.62,871421
20201008 14:00:00 US/Eastern,177.63,177.74,177.45,177.71,425378
20201008 15:00:00 US/Eastern,177.71,177.89,177.61,177.87,695606
20201009 09:30:00 US/Eastern,180.13,180.72,179.93,180.58,1336727
20201009 10:00:00 US/Eastern,180.56,181.13,180.48,180.84,2209098
20201009 11:00:00 US/Eastern,180.84,180.99,180.23,180.27,1178559
20201009 12:00:00 US/Eastern,180.27,180.83,180.21,180.56,932679
20201009 13:00:00 US/Eastern,180.56,180.79,180.3,180.73,1003373
20201009 14:00:00 US/Eastern,180.74,181.17,180.71,181.03,946467
20201009 15:00:00 US/Eastern,181.03,181.12,180.83,181.08,1047322
20201012 09:30:00 US/Eastern,180.57,180.71,180.19,180.68,634601
20201012 10:00:00 US/Eastern,180.68,180.83,180.19,180.69,831900
20201012 11:00:00 US/Eastern,180.7,180.7,180.27,180.53,616362
20201012 12:00:00 US/Eastern,180.53,180.81,180.43,180.72,387970
20201012 13:00:00 US/Eastern,180.72,180.76,180.46,180.59,446470
20201012 14:00:00 US/Eastern,180.59,180.61,180.29,180.55,422482
20201012 15:00:00 US/Eastern,180.55,180.67,180.48,180.56,580478
20201013 09:30:00 US/Eastern,178.56,178.6,177.72,178.02,1643933
20201013 10:00:00 US/Eastern,178.02,178.02,177.1,177.68,1627562
20201013 11:00:00 US/Eastern,177.66,177.97,177.45,177.87,830375
20201013 12:00:00 US/Eastern,177.87,177.88,177.47,177.56,417515
20201013 13:00:00 US/Eastern,177.56,177.72,177.28,177.49,431305
20201013 14:00:00 US/Eastern,177.48,177.94,177.38,177.87,568891
20201013 15:00:00 US/Eastern,177.88,177.95,177.69,177.7,923943
20201014 09:30:00 US/Eastern,179.09,179.59,178.81,179.56,985999
20201014 10:00:00 US/Eastern,179.55,179.58,178.94,179.06,1091395
20201014 11:00:00 US/Eastern,179.06,179.52,178.62,178.65,1225640
20201014 12:00:00 US/Eastern,178.66,178.78,178.33,178.47,1043080
20201014 13:00:00 US/Eastern,178.46,178.75,178.46,178.6,472461
20201014 14:00:00 US/Eastern,178.6,178.7,178.39,178.63,362059
20201014 15:00:00 US/Eastern,178.64,178.8,178.27,178.27,1105854
