date,open,high,low,close,volume
20200810 09:30:00 US/Eastern,26.59,27.13,26.57,27.11,12728661
20200810 10:00:00 US/Eastern,27.11,27.39,26.83,26.87,18326012
20200810 11:00:00 US/Eastern,26.86,27.07,26.7,26.98,10419901
20200810 12:00:00 US/Eastern,26.99,27.12,26.81,27.01,7629780
20200810 13:00:00 US/Eastern,27.02,27.18,26.98,27.17,5748690
20200810 14:00:00 US/Eastern,27.18,27.26,26.6,26.88,11576616
20200810 15:00:00 US/Eastern,26.87,27.04,26.7,27.0,11504978
20200811 09:30:00 US/Eastern,25.23,25.43,25.05,25.2,18730579
20200811 10:00:00 US/Eastern,25.2,25.52,25.12,25.43,14719232
20200811 11:00:00 US/Eastern,25.43,25.48,25.09,25.17,12268729
20200811 12:00:00 US/Eastern,25.18,25.27,24.7,24.75,11566733
20200811 13:00:00 US/Eastern,24.76,24.9,23.43,23.66,40233137
20200811 14:00:00 US/Eastern,23.66,23.88,23.05,23.76,33103088
20200811 15:00:00 US/Eastern,23.77,23.83,23.23,23.33,20406506
20200812 09:30:00 US/Eastern,24.14,24.2,23.73,23.9,10534932
20200812 10:00:00 US/Eastern,23.9,24.16,23.55,24.14,15749264
20200812 11:00:00 US/Eastern,24.13,24.14,23.94,24.09,7198335
20200812 12:00:00 US/Eastern,24.1,24.42,24.09,24.32,10513477
20200812 13:00:00 US/Eastern,24.31,24.38,23.98,24.1,7188712
20200812 14:00:00 US/Eastern,24.1,24.24,23.75,23.83,6071551
20200812 15:00:00 US/Eastern,23.83,23.92,23.39,23.4,13630480
20200813 09:30:00 US/Eastern,24.65,24.92,24.57,24.87,8856835
20200813 10:00:00 US/Eastern,24.86,25.01,24.71,24.93,10825811
20200813 11:00:00 US/Eastern,24.93,24.95,24.69,24.84,6690531
20200813 12:00:00 US/Eastern,24.84,25.39,24.81,25.29,10018287
20200813 13:00:00 US/Eastern,25.29,25.81,25.22,25.49,17713153
20200813 14:00:00 US/Eastern,25.49,25.5,24.76,25.28,18803809
20200813 15:00:00 US/Eastern,25.29,25.59,25.01,25.43,13782173
20200814 09:30:00 US/Eastern,25.11,25.23,24.96,25.01,5947607
20200814 10:00:00 US/Eastern,25.0,25.08,24.79,24.97,9664065
20200814 11:00:00 US/Eastern,24.96,25.05,24.67,24.8,7065607
20200814 12:00:00 US/Eastern,24.81,24.86,23.97,24.06,15215490
20200814 13:00:00 US/Eastern,24.06,24.53,24.02,24.44,10779075
20200814 14:00:00 US/Eastern,24.44,24.58,24.33,24.46,9162305
20200814 15:00:00 US/Eastern,24.47,24.61,24.35,24.57,7859981
20200817 09:30:00 US/Eastern,25.48,25.56,25.38,25.45,6904091
20200817 10:00:00 US/Eastern,25.46,25.63,25.36,25.45,10753079
20200817 11:00:00 US/Eastern,25.45,25.53,25.24,25.48,6023987
20200817 12:00:00 US/Eastern,25.49,25.6,25.42,25.55,4370593
20200817 13:00:00 US/Eastern,25.55,25.67,25.47,25.56,6117551
20200817 14:00:00 US/Eastern,25.55,25.61,25.48,25.53,3673444
20200817 15:00:00 US/Eastern,25.52,25.63,25.51,25.61,5704535
20200818 09:30:00 US/Eastern,26.42,26.49,26.14,26.18,7308399
20200818 10:00:00 US/Eastern,26.18,26.25,25.23,25.71,18591722
20200818 11:00:00 US/Eastern,25.71,25.97,25.67,25.89,5447055
20200818 12:00:00 US/Eastern,25.88,26.22,25.83,26.12,5170501
20200818 13:00:00 US/Eastern,26.12,26.21,25.97,26.11,3676990
20200818 14:00:00 US/Eastern,26.11,26.19,26.03,26.06,3690026
20200818 15:00:00 US/Eastern,26.06,26.13,25.65,25.88,7831033
20200819 09:30:00 US/Eastern,25.94,26.05,25.57,25.7,7289616
20200819 10:00:00 US/Eastern,25.71,25.92,25.3,25.41,10923236
20200819 11:00:00 US/Eastern,25.41,25.68,25.25,25.54,8770968
20200819 12:00:00 US/Eastern,25.54,25.6,25.38,25.55,3634734
20200819 13:00:00 US/Eastern,25.55,25.61,25.26,25.49,5084624
20200819 14:00:00 US/Eastern,25.51,25.76,24.7,24.99,20876322
20200819 15:00:00 US/Eastern,24.98,25.09,24.74,24.89,9322441
20200820 09:30:00 US/Eastern,24.93,25.17,24.88,25.08,5600438
20200820 10:00:00 US/Eastern,25.08,25.42,25.0,25.32,9995506
20200820 11:00:00 US/Eastern,25.33,25.4,25.19,25.28,4856468
20200820 12:00:00 US/Eastern,25.28,25.37,25.15,25.23,2431461
20200820 13:00:00 US/Eastern,25.23,25.29,25.14,25.25,2421287
20200820 14:00:00 US/Eastern,25.25,25.53,25.18,25.48,5800553
20200820 15:00:00 US/Eastern,25.48,25.64,25.44,25.59,8730709
20200821 09:30:00 US/Eastern,24.87,24.89,24.52,24.62,7908500
20200821 10:00:00 US/Eastern,24.62,24.97,24.42,24.96,14194586
20200821 11:00:00 US/Eastern,24.95,25.02,24.82,24.89,6807727
20200821 12:00:00 US/Eastern,24.89,24.9,24.65,24.75,6076673
20200821 13:00:00 US/Eastern,24.75,24.93,24.74,24.87,2835221
20200821 14:00:00 US/Eastern,24.87,24.92,24.8,24.88,3150393
20200821 15:00:00 US/Eastern,24.89,24.97,24.82,24.88,6282162
20200824 09:30:00 US/Eastern,25.08,25.1,24.81,24.83,5665033
20200824 10:00:00 US/Eastern,24.82,25.02,24.61,24.64,7532895
20200824 11:00:00 US/Eastern,24.64,24.91,24.61,24.8,5253876
20200824 12:00:00 US/Eastern,24.8,24.83,24.57,24.65,2893892
20200824 13:00:00 US/Eastern,24.65,24.75,24.62,24.63,2753586
20200824 14:00:00 US/Eastern,24.63,24.67,24.53,24.6,4199155
20200824 15:00:00 US/Eastern,24.6,24.64,24.52,24.62,5872273
20200825 09:30:00 US/Eastern,24.73,24.74,24.55,24.6,4125024
20200825 10:00:00 US/Eastern,24.6,24.71,24.41,24.59,9235209
20200825 11:00:00 US/Eastern,24.58,24.68,24.47,24.55,4181852
20200825 12:00:00 US/Eastern,24.55,24.58,24.26,24.32,4395364
20200825 13:00:00 US/Eastern,24.32,24.49,24.3,24.46,2264035
20200825 14:00:00 US/Eastern,24.47,24.68,24.42,24.67,4233741
20200825 15:00:00 US/Eastern,24.68,24.77,24.62,24.74,4781752
20200826 09:30:00 US/Eastern,24.63,25.12,24.61,25.07,9904441
20200826 10:00:00 US/Eastern,25.06,25.17,24.89,24.99,7214103
20200826 11:00:00 US/Eastern,24.99,25.28,24.98,25.14,5199198
20200826 12:00:00 US/Eastern,25.14,25.35,25.13,25.28,5133714
20200826 13:00:00 US/Eastern,25.28,25.52,25.27,25.45,6089778
20200826 14:00:00 US/Eastern,25.45,25.57,25.32,25.37,7656243
20200826 15:00:00 US/Eastern,25.37,25.57,25.28,25.57,9689122
20200827 09:30:00 US/Eastern,25.89,25.9,25.04,25.27,16201970
20200827 10:00:00 US/Eastern,25.27,25.27,24.68,25.03,18400020
20200827 11:00:00 US/Eastern,25.02,25.26,24.93,25.22,6936360
20200827 12:00:00 US/Eastern,25.21,25.29,24.96,25.02,6937505
20200827 13:00:00 US/Eastern,25.02,25.18,24.98,25.15,3581980
20200827 14:00:00 US/Eastern,25.16,25.26,25.11,25.13,2922988
20200827 15:00:00 US/Eastern,25.13,25.29,25.09,25.17,5083949
20200828 09:30:00 US/Eastern,25.61,25.69,25.5,25.6,4507045
20200828 10:00:00 US/Eastern,25.6,25.74,25.47,25.67,6266289
20200828 11:00:00 US/Eastern,25.67,25.81,25.64,25.65,6283451
20200828 12:00:00 US/Eastern,25.65,25.75,25.63,25.69,3356234
20200828 13:00:00 US/Eastern,25.69,25.71,25.53,25.57,4196543
20200828 14:00:00 US/Eastern,25.57,25.63,25.53,25.61,2781571
20200828 15:00:00 US/Eastern,25.61,25.66,25.57,25.59,4714180
20200831 09:30:00 US/Eastern,26.04,26.17,25.95,26.09,4545871
20200831 10:00:00 US/Eastern,26.08,26.24,26.05,26.07,6907766
20200831 11:00:00 US/Eastern,26.07,26.19,26.04,26.16,3982724
20200831 12:00:00 US/Eastern,26.16,26.38,26.15,26.34,6294884
20200831 13:00:00 US/Eastern,26.33,26.41,26.28,26.4,3546422
20200831 14:00:00 US/Eastern,26.39,26.42,26.22,26.33,4171116
