date,open,high,low,close,volume
20200810 09:30:00 US/Eastern,30.11,30.8,30.11,30.77,2932
20200810 10:00:00 US/Eastern,30.72,30.92,30.67,30.74,3350
20200810 11:00:00 US/Eastern,30.77,30.84,30.75,30.83,1089
20200810 12:00:00 US/Eastern,30.82,30.87,30.79,30.82,600
20200810 13:00:00 US/Eastern,30.83,30.95,30.83,30.91,4573
20200810 14:00:00 US/Eastern,30.88,30.98,30.87,30.93,14011
20200810 15:00:00 US/Eastern,30.96,30.99,30.92,30.98,18898
20200811 09:30:00 US/Eastern,31.59,31.59,31.4,31.4,4925
20200811 10:00:00 US/Eastern,31.45,31.49,31.36,31.49,17080
20200811 11:00:00 US/Eastern,31.48,31.49,31.32,31.32,8304
20200811 12:00:00 US/Eastern,31.31,31.38,31.31,31.38,1400
20200811 13:00:00 US/Eastern,31.39,31.4,31.38,31.4,700
20200811 14:00:00 US/Eastern,31.42,31.45,31.31,31.32,1658
20200811 15:00:00 US/Eastern,31.32,31.32,30.9,31.01,6153
20200812 09:30:00 US/Eastern,31.32,31.32,31.13,31.16,1670
20200812 10:00:00 US/Eastern,31.14,31.15,31.12,31.12,730
20200812 11:00:00 US/Eastern,31.15,31.15,31.12,31.12,661
20200812 12:00:00 US/Eastern,31.12,31.12,31.12,31.12,0
20200812 13:00:00 US/Eastern,30.96,30.98,30.86,30.97,5449
20200812 14:00:00 US/Eastern,31.08,31.08,31.06,31.07,400
20200812 15:00:00 US/Eastern,31.05,31.08,31.01,31.04,5749
20200813 09:30:00 US/Eastern,31.08,31.08,30.79,30.98,2297
20200813 10:00:00 US/Eastern,31.0,31.03,30.94,30.94,850
20200813 11:00:00 US/Eastern,30.83,30.83,30.77,30.77,300
20200813 12:00:00 US/Eastern,30.77,30.77,30.77,30.77,0
20200813 13:00:00 US/Eastern,30.94,30.94,30.94,30.94,250
20200813 14:00:00 US/Eastern,30.88,30.9,30.79,30.79,600
20200813 15:00:00 US/Eastern,30.72,30.82,30.72,30.79,1956
20200814 09:30:00 US/Eastern,30.83,30.83,30.69,30.78,1586
20200814 10:00:00 US/Eastern,30.78,30.85,30.78,30.85,557
20200814 11:00:00 US/Eastern,30.89,30.92,30.89,30.89,1200
20200814 12:00:00 US/Eastern,30.89,30.89,30.89,30.89,0
20200814 13:00:00 US/Eastern,30.9,31.0,30.89,31.0,1035
20200814 14:00:00 US/Eastern,30.95,30.95,30.84,30.84,646
20200814 15:00:00 US/Eastern,30.84,30.96,30.83,30.93,1054
20200817 09:30:00 US/Eastern,31.23,31.46,31.23,31.3,3171
20200817 10:00:00 US/Eastern,31.28,31.28,31.26,31.27,424
20200817 11:00:00 US/Eastern,31.19,31.2,31.19,31.19,400
20200817 12:00:00 US/Eastern,31.12,31.13,31.11,31.11,950
20200817 13:00:00 US/Eastern,31.13,31.13,30.98,31.0,970
20200817 14:00:00 US/Eastern,31.0,31.0,31.0,31.0,0
20200817 15:00:00 US/Eastern,31.0,31.08,30.99,31.08,1125
20200818 09:30:00 US/Eastern,31.44,31.58,31.4,31.43,2790
20200818 10:00:00 US/Eastern,31.45,31.45,31.38,31.39,4550
20200818 11:00:00 US/Eastern,31.39,31.39,31.39,31.39,0
20200818 12:00:00 US/Eastern,31.39,31.39,31.39,31.39,0
20200818 13:00:00 US/Eastern,31.39,31.39,31.39,31.39,0
20200818 14:00:00 US/Eastern,31.44,31.44,31.43,31.44,750
20200818 15:00:00 US/Eastern,31.41,31.42,31.31,31.37,1518
20200819 09:30:00 US/Eastern,31.54,31.54,31.37,31.49,1100
20200819 10:00:00 US/Eastern,31.58,31.58,31.54,31.54,297
20200819 11:00:00 US/Eastern,31.48,31.57,31.45,31.54,1120
20200819 12:00:00 US/Eastern,31.54,31.54,31.54,31.54,0
20200819 13:00:00 US/Eastern,31.35,31.35,31.29,31.29,1063
20200819 14:00:00 US/Eastern,31.27,31.27,31.26,31.27,305
20200819 15:00:00 US/Eastern,31.1,31.13,31.01,31.04,1950
20200820 09:30:00 US/Eastern,30.55,30.55,30.34,30.52,7485
20200820 10:00:00 US/Eastern,30.48,30.78,30.47,30.77,3184
20200820 11:00:00 US/Eastern,30.64,30.78,30.64,30.77,625
20200820 12:00:00 US/Eastern,30.76,30.77,30.76,30.76,250
20200820 13:00:00 US/Eastern,30.76,30.76,30.76,30.76,0
20200820 14:00:00 US/Eastern,30.71,30.86,30.71,30.86,3039
20200820 15:00:00 US/Eastern,30.84,31.03,30.84,31.03,1826
20200821 09:30:00 US/Eastern,30.48,30.5,30.48,30.5,1480
20200821 10:00:00 US/Eastern,30.67,30.67,30.46,30.46,2798
20200821 11:00:00 US/Eastern,30.41,30.42,30.29,30.29,800
20200821 12:00:00 US/Eastern,30.32,30.34,30.27,30.27,1500
20200821 13:00:00 US/Eastern,30.21,30.21,30.2,30.21,500
20200821 14:00:00 US/Eastern,30.28,30.3,30.26,30.3,4136
20200821 15:00:00 US/Eastern,30.25,30.33,30.25,30.33,2053
20200824 09:30:00 US/Eastern,30.64,30.65,30.64,30.65,431
20200824 10:00:00 US/Eastern,30.77,30.79,30.75,30.79,1037
20200824 11:00:00 US/Eastern,30.81,30.83,30.81,30.83,1026
20200824 12:00:00 US/Eastern,30.79,30.8,30.79,30.79,100
20200824 13:00:00 US/Eastern,30.8,30.86,30.79,30.86,1000
20200824 14:00:00 US/Eastern,30.8,30.8,30.79,30.8,484
20200824 15:00:00 US/Eastern,30.82,30.89,30.82,30.88,1774
20200825 09:30:00 US/Eastern,30.9,30.9,30.9,30.9,100
20200825 10:00:00 US/Eastern,30.6,30.6,30.6,30.6,100
20200825 11:00:00 US/Eastern,30.52,30.52,30.45,30.45,250
20200825 12:00:00 US/Eastern,30.43,30.44,30.43,30.43,625
20200825 13:00:00 US/Eastern,30.43,30.43,30.43,30.43,0
20200825 14:00:00 US/Eastern,30.43,30.43,30.43,30.43,0
20200825 15:00:00 US/Eastern,30.65,30.81,30.65,30.8,2338
20200826 09:30:00 US/Eastern,30.73,30.87,30.55,30.87,4997
20200826 10:00:00 US/Eastern,30.99,31.0,30.83,30.86,925
20200826 11:00:00 US/Eastern,30.69,30.74,30.67,30.67,1350
20200826 12:00:00 US/Eastern,30.64,30.64,30.62,30.63,1100
20200826 13:00:00 US/Eastern,30.64,30.64,30.52,30.52,1095
20200826 14:00:00 US/Eastern,30.59,30.63,30.59,30.62,1087
20200826 15:00:00 US/Eastern,30.7,30.71,30.67,30.69,1012
20200827 09:30:00 US/Eastern,30.93,30.93,30.77,30.81,1643
20200827 10:00:00 US/Eastern,30.72,30.72,30.44,30.44,5600
20200827 11:00:00 US/Eastern,30.39,30.46,30.3,30.44,27863
20200827 12:00:00 US/Eastern,30.29,30.31,30.26,30.27,14984
20200827 13:00:00 US/Eastern,30.41,30.41,30.4,30.41,350
20200827 14:00:00 US/Eastern,30.5,30.5,30.5,30.5,100
20200827 15:00:00 US/Eastern,30.66,30.66,30.52,30.52,977
20200828 09:30:00 US/Eastern,30.78,31.07,30.78,31.05,11575
20200828 10:00:00 US/Eastern,30.98,30.98,30.97,30.98,2500
20200828 11:00:00 US/Eastern,30.97,31.1,30.97,31.1,19301
20200828 12:00:00 US/Eastern,31.12,31.18,31.12,31.14,1250
20200828 13:00:00 US/Eastern,31.14,31.14,31.14,31.14,0
20200828 14:00:00 US/Eastern,31.22,31.22,31.21,31.21,900
20200828 15:00:00 US/Eastern,31.26,31.26,31.22,31.24,2951
20200831 09:30:00 US/Eastern,31.17,31.17,30.96,30.96,2737
20200831 10:00:00 US/Eastern,30.96,30.96,30.96,30.96,0
20200831 11:00:00 US/Eastern,31.07,31.07,30.97,30.99,24520
20200831 12:00:00 US/Eastern,31.04,31.04,31.04,31.04,160
20200831 13:00:00 US/Eastern,31.03,31.03,31.03,31.03,100
20200831 14:00:00 US/Eastern,31.06,31.06,31.06,31.06,271
20200831 15:00:00 US/Eastern,30.88,30.88,30.75,30.75,585
20200901 09:30:00 US/Eastern,30.81,30.81,30.74,30.74,659
20200901 10:00:00 US/Eastern,30.91,31.19,30.91,31.14,550
20200901 11:00:00 US/Eastern,31.18,31.18,31.18,31.18,216
20200901 12:00:00 US/Eastern,31.27,31.27,31.27,31.27,200
20200901 13:00:00 US/Eastern,31.21,31.23,31.21,31.23,339
20200901 14:00:00 US/Eastern,31.24,31.24,31.24,31.24,100
20200901 15:00:00 US/Eastern,31.33,31.4,31.33,31.4,515
20200902 09:30:00 US/Eastern,31.64,31.64,31.22,31.22,2690
20200902 10:00:00 US/Eastern,31.23,31.37,31.23,31.36,1641
20200902 11:00:00 US/Eastern,31.33,31.4,31.32,31.4,2124
20200902 12:00:00 US/Eastern,31.34,31.39,31.34,31.39,640
20200902 13:00:00 US/Eastern,31.33,31.39,31.33,31.39,485
20200902 14:00:00 US/Eastern,31.44,31.48,31.43,31.48,1400
20200902 15:00:00 US/Eastern,31.57,31.64,31.55,31.63,3444
20200903 09:30:00 US/Eastern,31.55,31.68,31.46,31.68,1945
20200903 10:00:00 US/Eastern,31.34,31.37,31.34,31.36,500
20200903 11:00:00 US/Eastern,31.09,31.09,30.73,31.05,16816
20200903 12:00:00 US/Eastern,31.05,31.06,30.96,30.96,2935
20200903 13:00:00 US/Eastern,30.85,30.88,30.83,30.85,3100
20200903 14:00:00 US/Eastern,31.03,31.03,30.91,30.92,2807
20200903 15:00:00 US/Eastern,30.82,30.96,30.82,30.94,1099
20200904 09:30:00 US/Eastern,31.23,31.4,31.23,31.35,2442
20200904 10:00:00 US/Eastern,31.13,31.13,30.82,30.82,300
20200904 11:00:00 US/Eastern,30.83,30.86,30.83,30.86,1400
20200904 12:00:00 US/Eastern,30.95,31.11,30.94,31.1,1750
20200904 13:00:00 US/Eastern,31.02,31.02,31.02,31.02,1000
20200904 14:00:00 US/Eastern,31.18,31.52,31.16,31.52,3310
20200904 15:00:00 US/Eastern,31.48,31.49,31.32,31.33,5715
20200908 09:30:00 US/Eastern,30.79,30.79,30.3,30.43,7351
20200908 10:00:00 US/Eastern,30.25,30.54,30.25,30.54,1300
20200908 11:00:00 US/Eastern,30.41,30.6,30.4,30.46,933
20200908 12:00:00 US/Eastern,30.67,30.77,30.67,30.77,300
20200908 13:00:00 US/Eastern,30.83,30.84,30.83,30.83,100
20200908 14:00:00 US/Eastern,30.74,30.74,30.6,30.63,3187
20200908 15:00:00 US/Eastern,30.63,30.63,30.44,30.44,1711
20200909 09:30:00 US/Eastern,30.77,31.0,30.77,31.0,1710
20200909 10:00:00 US/Eastern,31.06,31.06,30.84,30.84,935
20200909 11:00:00 US/Eastern,30.84,30.84,30.84,30.84,0
20200909 12:00:00 US/Eastern,30.91,30.93,30.9,30.93,1400
20200909 13:00:00 US/Eastern,30.97,31.04,30.96,31.04,1570
20200909 14:00:00 US/Eastern,31.03,31.04,31.03,31.03,200
20200909 15:00:00 US/Eastern,31.05,31.14,30.96,30.96,5837
20200910 09:30:00 US/Eastern,31.1,31.1,31.02,31.1,350
20200910 10:00:00 US/Eastern,31.08,31.08,30.85,30.86,2120
20200910 11:00:00 US/Eastern,30.86,30.86,30.86,30.86,0
20200910 12:00:00 US/Eastern,30.75,30.77,30.75,30.77,425
20200910 13:00:00 US/Eastern,30.77,30.77,30.77,30.77,0
20200910 14:00:00 US/Eastern,30.7,30.7,30.48,30.49,2500
20200910 15:00:00 US/Eastern,30.64,30.64,30.49,30.49,800
20200911 09:30:00 US/Eastern,30.87,30.87,30.86,30.87,658
