date,open,high,low,close,volume
20200810 09:30:00 US/Eastern,19.76,19.84,19.68,19.72,38267
20200810 10:00:00 US/Eastern,19.74,19.78,19.71,19.75,10651
20200810 11:00:00 US/Eastern,19.75,19.83,19.62,19.82,26121
20200810 12:00:00 US/Eastern,19.83,19.9,19.8,19.86,10825
20200810 13:00:00 US/Eastern,19.86,19.86,19.67,19.73,1947
20200810 14:00:00 US/Eastern,19.71,19.71,19.59,19.67,7820
20200810 15:00:00 US/Eastern,19.67,19.7,19.64,19.7,8424
20200811 09:30:00 US/Eastern,19.95,20.02,19.82,19.82,12378
20200811 10:00:00 US/Eastern,19.81,19.82,19.5,19.5,14266
20200811 11:00:00 US/Eastern,19.51,19.62,19.47,19.48,8486
20200811 12:00:00 US/Eastern,19.52,19.53,19.42,19.42,10529
20200811 13:00:00 US/Eastern,19.4,19.44,19.31,19.34,12016
20200811 14:00:00 US/Eastern,19.3,19.38,19.18,19.28,20366
20200811 15:00:00 US/Eastern,19.28,19.28,19.17,19.2,18740
20200812 09:30:00 US/Eastern,19.67,19.74,19.62,19.7,24217
20200812 10:00:00 US/Eastern,19.71,19.82,19.61,19.66,8510
20200812 11:00:00 US/Eastern,19.77,19.81,19.73,19.76,10363
20200812 12:00:00 US/Eastern,19.8,19.8,19.71,19.75,10941
20200812 13:00:00 US/Eastern,19.79,19.81,19.71,19.81,5835
20200812 14:00:00 US/Eastern,19.8,19.87,19.8,19.86,10608
20200812 15:00:00 US/Eastern,19.86,19.89,19.76,19.8,8923
20200813 09:30:00 US/Eastern,19.72,19.9,19.72,19.88,3906
20200813 10:00:00 US/Eastern,19.87,19.87,19.72,19.73,3328
20200813 11:00:00 US/Eastern,19.6,19.63,19.56,19.6,5095
20200813 12:00:00 US/Eastern,19.56,19.58,19.45,19.47,5547
20200813 13:00:00 US/Eastern,19.47,19.71,19.42,19.71,16782
20200813 14:00:00 US/Eastern,19.64,19.73,19.63,19.73,7638
20200813 15:00:00 US/Eastern,19.71,19.75,19.69,19.7,4925
20200814 09:30:00 US/Eastern,19.71,19.83,19.67,19.8,7890
20200814 10:00:00 US/Eastern,19.75,19.75,19.6,19.69,6719
20200814 11:00:00 US/Eastern,19.67,19.75,19.67,19.74,4126
20200814 12:00:00 US/Eastern,19.75,19.75,19.62,19.62,2604
20200814 13:00:00 US/Eastern,19.6,19.7,19.59,19.59,1700
20200814 14:00:00 US/Eastern,19.7,19.89,19.7,19.86,11112
20200814 15:00:00 US/Eastern,19.87,19.93,19.85,19.88,13989
20200817 09:30:00 US/Eastern,19.89,20.18,19.89,20.16,31652
20200817 10:00:00 US/Eastern,20.17,20.32,20.14,20.28,39799
20200817 11:00:00 US/Eastern,20.34,20.34,20.14,20.14,7166
20200817 12:00:00 US/Eastern,20.17,20.2,20.06,20.09,11403
20200817 13:00:00 US/Eastern,20.11,20.22,20.09,20.2,17572
20200817 14:00:00 US/Eastern,20.23,20.29,20.2,20.27,4447
20200817 15:00:00 US/Eastern,20.22,20.27,20.2,20.24,5876
20200818 09:30:00 US/Eastern,20.02,20.24,20.02,20.15,3818
20200818 10:00:00 US/Eastern,20.18,20.2,20.04,20.18,23822
20200818 11:00:00 US/Eastern,20.2,20.3,20.15,20.29,46912
20200818 12:00:00 US/Eastern,20.32,20.38,20.32,20.36,9640
20200818 13:00:00 US/Eastern,20.32,20.36,20.3,20.36,5182
20200818 14:00:00 US/Eastern,20.36,20.46,20.33,20.33,12250
20200818 15:00:00 US/Eastern,20.33,20.36,20.3,20.32,9809
20200819 09:30:00 US/Eastern,20.06,20.06,19.98,19.98,11341
20200819 10:00:00 US/Eastern,19.96,20.31,19.9,20.22,7427
20200819 11:00:00 US/Eastern,20.14,20.39,20.14,20.38,12747
20200819 12:00:00 US/Eastern,20.39,20.4,20.36,20.4,3050
20200819 13:00:00 US/Eastern,20.38,20.49,20.38,20.47,11028
20200819 14:00:00 US/Eastern,20.5,20.51,20.4,20.47,12404
20200819 15:00:00 US/Eastern,20.44,20.45,20.38,20.42,7351
20200820 09:30:00 US/Eastern,19.91,19.94,19.8,19.8,33003
20200820 10:00:00 US/Eastern,19.83,20.23,19.83,20.23,11324
20200820 11:00:00 US/Eastern,20.16,20.31,20.16,20.31,6000
20200820 12:00:00 US/Eastern,20.31,20.34,20.29,20.34,2675
20200820 13:00:00 US/Eastern,20.33,20.41,20.33,20.39,8871
20200820 14:00:00 US/Eastern,20.36,20.49,20.35,20.49,9634
20200820 15:00:00 US/Eastern,20.49,20.55,20.49,20.53,10583
20200821 09:30:00 US/Eastern,20.17,20.17,20.04,20.1,21776
20200821 10:00:00 US/Eastern,20.16,20.2,20.1,20.1,5770
20200821 11:00:00 US/Eastern,20.04,20.04,19.79,19.84,30782
20200821 12:00:00 US/Eastern,19.84,19.91,19.8,19.88,16753
20200821 13:00:00 US/Eastern,19.89,20.14,19.87,20.14,5229
20200821 14:00:00 US/Eastern,20.2,20.3,20.15,20.15,5200
20200821 15:00:00 US/Eastern,20.13,20.16,20.12,20.14,9499
20200824 09:30:00 US/Eastern,20.73,20.8,20.63,20.8,42823
20200824 10:00:00 US/Eastern,20.8,20.97,20.77,20.83,28763
20200824 11:00:00 US/Eastern,20.81,21.17,20.81,21.13,31635
20200824 12:00:00 US/Eastern,21.11,21.11,20.8,20.83,14873
20200824 13:00:00 US/Eastern,20.97,21.18,20.96,21.11,13998
20200824 14:00:00 US/Eastern,21.12,21.12,20.9,21.05,3588
20200824 15:00:00 US/Eastern,21.05,21.08,20.98,21.07,19582
20200825 09:30:00 US/Eastern,21.48,21.58,21.39,21.51,20176
20200825 10:00:00 US/Eastern,21.54,21.54,21.19,21.23,34307
20200825 11:00:00 US/Eastern,21.3,21.38,21.1,21.1,20845
20200825 12:00:00 US/Eastern,21.1,21.17,21.07,21.11,7940
20200825 13:00:00 US/Eastern,21.1,21.21,20.98,21.15,13570
20200825 14:00:00 US/Eastern,21.12,21.18,21.1,21.18,5950
20200825 15:00:00 US/Eastern,21.19,21.19,21.12,21.15,70348
20200826 09:30:00 US/Eastern,20.76,20.84,20.67,20.79,18898
20200826 10:00:00 US/Eastern,20.75,20.98,20.7,20.89,36338
20200826 11:00:00 US/Eastern,20.88,20.99,20.72,20.96,12255
20200826 12:00:00 US/Eastern,20.91,20.99,20.86,20.95,27857
20200826 13:00:00 US/Eastern,20.99,21.11,20.98,21.1,18274
20200826 14:00:00 US/Eastern,21.13,21.18,21.05,21.07,26127
20200826 15:00:00 US/Eastern,21.05,21.12,21.05,21.07,21291
20200827 09:30:00 US/Eastern,20.59,20.59,20.29,20.38,52516
20200827 10:00:00 US/Eastern,20.43,20.43,20.08,20.19,39294
20200827 11:00:00 US/Eastern,20.17,20.44,20.02,20.44,27999
20200827 12:00:00 US/Eastern,20.43,20.48,20.27,20.28,16596
20200827 13:00:00 US/Eastern,20.3,20.35,20.19,20.34,167073
20200827 14:00:00 US/Eastern,20.35,20.38,20.27,20.28,8861
20200827 15:00:00 US/Eastern,20.26,20.29,20.23,20.26,10323
20200828 09:30:00 US/Eastern,20.48,20.62,20.42,20.57,12626
20200828 10:00:00 US/Eastern,20.57,20.6,20.45,20.54,37515
20200828 11:00:00 US/Eastern,20.62,20.75,20.6,20.75,2275
20200828 12:00:00 US/Eastern,20.72,20.76,20.7,20.72,6030
20200828 13:00:00 US/Eastern,20.76,20.77,20.7,20.73,40962
20200828 14:00:00 US/Eastern,20.71,20.81,20.7,20.79,10837
20200828 15:00:00 US/Eastern,20.79,20.84,20.78,20.82,18432
20200831 09:30:00 US/Eastern,20.58,20.64,20.51,20.57,12593
20200831 10:00:00 US/Eastern,20.56,20.63,20.53,20.55,17400
20200831 11:00:00 US/Eastern,20.5,20.57,20.39,20.4,8074
20200831 12:00:00 US/Eastern,20.43,20.44,20.37,20.38,7712
20200831 13:00:00 US/Eastern,20.35,20.4,20.31,20.39,5351
20200831 14:00:00 US/Eastern,20.38,20.39,20.25,20.31,6570
20200831 15:00:00 US/Eastern,20.32,20.39,20.32,20.36,9070
20200901 09:30:00 US/Eastern,20.37,20.73,20.37,20.68,8926
20200901 10:00:00 US/Eastern,20.69,20.75,20.64,20.69,52109
20200901 11:00:00 US/Eastern,20.64,20.67,20.59,20.6,2182
20200901 12:00:00 US/Eastern,20.56,20.6,20.56,20.58,1431
20200901 13:00:00 US/Eastern,20.53,20.53,20.37,20.44,36736
20200901 14:00:00 US/Eastern,20.41,20.44,20.4,20.44,3470
20200901 15:00:00 US/Eastern,20.48,20.53,20.44,20.47,5750
20200902 09:30:00 US/Eastern,20.53,20.54,20.39,20.4,10904
20200902 10:00:00 US/Eastern,20.35,20.53,20.07,20.18,18689
20200902 11:00:00 US/Eastern,20.17,20.19,19.92,19.93,50850
20200902 12:00:00 US/Eastern,19.93,20.08,19.91,20.05,31088
20200902 13:00:00 US/Eastern,20.09,20.22,20.03,20.06,8285
20200902 14:00:00 US/Eastern,20.11,20.13,19.96,20.04,6876
20200902 15:00:00 US/Eastern,20.04,20.08,20.0,20.07,9619
20200903 09:30:00 US/Eastern,19.6,19.92,19.55,19.92,29126
20200903 10:00:00 US/Eastern,19.94,19.95,19.75,19.78,8271
20200903 11:00:00 US/Eastern,19.74,19.98,19.62,19.98,46629
20200903 12:00:00 US/Eastern,20.02,20.2,20.02,20.2,9409
20200903 13:00:00 US/Eastern,20.06,20.22,20.04,20.09,23638
20200903 14:00:00 US/Eastern,20.11,20.13,20.05,20.09,2700
20200903 15:00:00 US/Eastern,20.09,20.12,20.04,20.11,13976
20200904 09:30:00 US/Eastern,19.76,19.82,19.69,19.69,6614
20200904 10:00:00 US/Eastern,19.66,19.66,19.35,19.53,51967
20200904 11:00:00 US/Eastern,19.49,19.62,19.26,19.45,39191
20200904 12:00:00 US/Eastern,19.38,19.46,19.33,19.42,17822
20200904 13:00:00 US/Eastern,19.35,19.57,19.32,19.57,20680
20200904 14:00:00 US/Eastern,19.54,19.74,19.53,19.58,6634
20200904 15:00:00 US/Eastern,19.58,19.59,19.5,19.51,28692
20200908 09:30:00 US/Eastern,18.38,18.46,18.26,18.33,27126
20200908 10:00:00 US/Eastern,18.27,18.48,18.13,18.14,55816
20200908 11:00:00 US/Eastern,18.12,18.25,18.1,18.13,40042
20200908 12:00:00 US/Eastern,18.19,18.44,18.19,18.24,28075
20200908 13:00:00 US/Eastern,18.25,18.35,18.21,18.34,9342
20200908 14:00:00 US/Eastern,18.33,18.51,18.19,18.48,34110
