date,open,high,low,close,volume
20200810 09:30:00 US/Eastern,30.16,30.36,30.16,30.2,688508
20200810 10:00:00 US/Eastern,30.2,30.25,30.05,30.05,540030
20200810 11:00:00 US/Eastern,30.06,30.21,29.97,30.2,851071
20200810 12:00:00 US/Eastern,30.2,30.3,30.14,30.3,374880
20200810 13:00:00 US/Eastern,30.31,30.33,30.14,30.24,475325
20200810 14:00:00 US/Eastern,30.23,30.28,30.06,30.17,576812
20200810 15:00:00 US/Eastern,30.17,30.18,30.09,30.16,358882
20200811 09:30:00 US/Eastern,30.6,30.66,30.43,30.45,714654
20200811 10:00:00 US/Eastern,30.45,30.53,30.3,30.37,742805
20200811 11:00:00 US/Eastern,30.38,30.46,30.23,30.38,544680
20200811 12:00:00 US/Eastern,30.38,30.39,30.22,30.26,471101
20200811 13:00:00 US/Eastern,30.26,30.27,30.06,30.1,797205
20200811 14:00:00 US/Eastern,30.1,30.16,29.85,30.05,895619
20200811 15:00:00 US/Eastern,30.05,30.05,29.81,29.83,904657
20200812 09:30:00 US/Eastern,30.47,30.49,30.32,30.43,465187
20200812 10:00:00 US/Eastern,30.44,30.61,30.34,30.59,1214523
20200812 11:00:00 US/Eastern,30.58,30.61,30.34,30.37,696682
20200812 12:00:00 US/Eastern,30.37,30.44,30.31,30.42,385373
20200812 13:00:00 US/Eastern,30.42,30.55,30.38,30.54,457876
20200812 14:00:00 US/Eastern,30.55,30.76,30.54,30.65,1221092
20200812 15:00:00 US/Eastern,30.65,30.67,30.53,30.55,435167
20200813 09:30:00 US/Eastern,30.48,30.66,30.45,30.63,340405
20200813 10:00:00 US/Eastern,30.62,30.63,30.4,30.43,436714
20200813 11:00:00 US/Eastern,30.43,30.49,30.28,30.41,718191
20200813 12:00:00 US/Eastern,30.41,30.47,30.34,30.35,230438
20200813 13:00:00 US/Eastern,30.35,30.38,30.26,30.36,361838
20200813 14:00:00 US/Eastern,30.37,30.41,30.29,30.37,428384
20200813 15:00:00 US/Eastern,30.38,30.45,30.36,30.4,382627
20200814 09:30:00 US/Eastern,30.23,30.42,30.22,30.38,364339
20200814 10:00:00 US/Eastern,30.39,30.4,30.23,30.3,638741
20200814 11:00:00 US/Eastern,30.3,30.32,30.22,30.32,371011
20200814 12:00:00 US/Eastern,30.32,30.33,30.19,30.21,465931
20200814 13:00:00 US/Eastern,30.21,30.27,30.02,30.11,820770
20200814 14:00:00 US/Eastern,30.11,30.31,30.08,30.29,478616
20200814 15:00:00 US/Eastern,30.29,30.35,30.28,30.34,389683
20200817 09:30:00 US/Eastern,30.24,30.6,30.21,30.57,659068
20200817 10:00:00 US/Eastern,30.58,30.62,30.5,30.6,628163
20200817 11:00:00 US/Eastern,30.6,30.64,30.44,30.46,600624
20200817 12:00:00 US/Eastern,30.45,30.6,30.45,30.58,316261
20200817 13:00:00 US/Eastern,30.58,30.75,30.57,30.74,512551
20200817 14:00:00 US/Eastern,30.74,30.85,30.72,30.76,690152
20200817 15:00:00 US/Eastern,30.75,30.79,30.71,30.76,594547
20200818 09:30:00 US/Eastern,30.41,30.65,30.39,30.58,857025
20200818 10:00:00 US/Eastern,30.59,30.65,30.4,30.58,1139845
20200818 11:00:00 US/Eastern,30.58,30.72,30.55,30.69,611693
20200818 12:00:00 US/Eastern,30.68,30.76,30.67,30.73,623513
20200818 13:00:00 US/Eastern,30.73,30.77,30.64,30.77,614894
20200818 14:00:00 US/Eastern,30.76,30.83,30.63,30.64,667356
20200818 15:00:00 US/Eastern,30.64,30.67,30.57,30.61,748347
20200819 09:30:00 US/Eastern,30.58,30.62,30.45,30.46,551797
20200819 10:00:00 US/Eastern,30.46,30.72,30.41,30.53,744721
20200819 11:00:00 US/Eastern,30.53,30.82,30.51,30.78,574964
20200819 12:00:00 US/Eastern,30.78,30.81,30.65,30.71,261533
20200819 13:00:00 US/Eastern,30.71,30.77,30.68,30.75,252858
20200819 14:00:00 US/Eastern,30.76,30.81,30.61,30.73,663753
20200819 15:00:00 US/Eastern,30.73,30.73,30.62,30.66,365868
20200820 09:30:00 US/Eastern,30.02,30.09,29.8,29.82,1840626
20200820 10:00:00 US/Eastern,29.82,30.57,29.78,30.52,1623405
20200820 11:00:00 US/Eastern,30.52,30.55,30.37,30.48,625686
20200820 12:00:00 US/Eastern,30.5,30.5,30.38,30.46,318089
20200820 13:00:00 US/Eastern,30.47,30.55,30.45,30.46,283136
20200820 14:00:00 US/Eastern,30.46,30.58,30.45,30.55,274726
20200820 15:00:00 US/Eastern,30.55,30.59,30.51,30.52,737534
20200821 09:30:00 US/Eastern,30.0,30.06,29.86,30.05,1285722
20200821 10:00:00 US/Eastern,30.01,30.22,29.98,30.02,870083
20200821 11:00:00 US/Eastern,30.01,30.03,29.64,29.67,1197537
20200821 12:00:00 US/Eastern,29.67,29.79,29.66,29.77,471932
20200821 13:00:00 US/Eastern,29.77,30.05,29.74,30.03,716694
20200821 14:00:00 US/Eastern,30.03,30.24,30.01,30.21,584229
20200821 15:00:00 US/Eastern,30.2,30.23,30.13,30.16,851549
20200824 09:30:00 US/Eastern,30.33,30.35,30.23,30.29,570908
20200824 10:00:00 US/Eastern,30.29,30.52,30.29,30.39,752595
20200824 11:00:00 US/Eastern,30.39,30.54,30.34,30.41,643281
20200824 12:00:00 US/Eastern,30.41,30.43,30.3,30.31,510441
20200824 13:00:00 US/Eastern,30.31,30.49,30.31,30.45,314652
20200824 14:00:00 US/Eastern,30.45,30.49,30.32,30.34,512482
20200824 15:00:00 US/Eastern,30.34,30.36,30.29,30.34,352297
20200825 09:30:00 US/Eastern,30.97,31.02,30.79,30.85,1098599
20200825 10:00:00 US/Eastern,30.84,30.9,30.59,30.77,661770
20200825 11:00:00 US/Eastern,30.78,30.93,30.73,30.88,811109
20200825 12:00:00 US/Eastern,30.88,30.99,30.83,30.92,536498
20200825 13:00:00 US/Eastern,30.93,31.0,30.87,30.9,541117
20200825 14:00:00 US/Eastern,30.91,30.98,30.81,30.89,577459
20200825 15:00:00 US/Eastern,30.89,30.95,30.89,30.93,399310
20200826 09:30:00 US/Eastern,31.07,31.1,30.98,31.05,877175
20200826 10:00:00 US/Eastern,31.05,31.19,30.96,31.03,1152966
20200826 11:00:00 US/Eastern,31.03,31.05,30.83,30.96,645481
20200826 12:00:00 US/Eastern,30.97,31.03,30.88,30.91,1017771
20200826 13:00:00 US/Eastern,30.92,31.05,30.89,31.02,418259
20200826 14:00:00 US/Eastern,31.02,31.04,30.9,30.92,412022
20200826 15:00:00 US/Eastern,30.92,30.98,30.91,30.94,474087
20200827 09:30:00 US/Eastern,30.89,30.9,30.56,30.69,610737
20200827 10:00:00 US/Eastern,30.68,30.69,30.33,30.42,1207063
20200827 11:00:00 US/Eastern,30.41,30.82,30.27,30.81,835725
20200827 12:00:00 US/Eastern,30.8,30.81,30.46,30.47,527414
20200827 13:00:00 US/Eastern,30.47,30.64,30.42,30.6,404420
20200827 14:00:00 US/Eastern,30.6,30.73,30.55,30.65,322175
20200827 15:00:00 US/Eastern,30.65,30.69,30.62,30.66,248577
20200828 09:30:00 US/Eastern,30.72,30.79,30.66,30.69,282687
20200828 10:00:00 US/Eastern,30.69,30.7,30.52,30.63,518137
20200828 11:00:00 US/Eastern,30.63,30.8,30.6,30.72,429283
20200828 12:00:00 US/Eastern,30.72,30.79,30.7,30.72,260062
