date,open,high,low,close,volume
20200810 09:30:00 US/Eastern,61.96,62.16,61.95,62.08,3346
20200810 10:00:00 US/Eastern,62.07,62.16,61.87,61.87,2147
20200810 11:00:00 US/Eastern,62.04,62.16,62.02,62.11,2460
20200810 12:00:00 US/Eastern,62.11,62.15,62.11,62.11,315
20200810 13:00:00 US/Eastern,62.14,62.14,62.12,62.13,571
20200810 14:00:00 US/Eastern,62.14,62.16,62.14,62.16,400
20200810 15:00:00 US/Eastern,62.19,62.24,62.18,62.24,1681
20200811 09:30:00 US/Eastern,62.94,63.16,62.94,63.0,1858
20200811 10:00:00 US/Eastern,62.8,62.92,62.74,62.91,1412
20200811 11:00:00 US/Eastern,62.91,63.02,62.91,62.99,1600
20200811 12:00:00 US/Eastern,62.83,62.95,62.83,62.86,1115
20200811 13:00:00 US/Eastern,62.82,62.89,62.81,62.89,394
20200811 14:00:00 US/Eastern,62.95,62.95,62.8,62.91,4239
20200811 15:00:00 US/Eastern,62.8,62.84,62.25,62.41,2450
20200812 09:30:00 US/Eastern,63.12,63.22,62.97,63.05,2794
20200812 10:00:00 US/Eastern,63.09,63.4,63.08,63.32,6460
20200812 11:00:00 US/Eastern,63.4,63.4,63.24,63.27,800
20200812 12:00:00 US/Eastern,63.28,63.33,63.25,63.27,12626
20200812 13:00:00 US/Eastern,63.27,63.27,63.18,63.18,775
20200812 14:00:00 US/Eastern,63.11,63.27,63.05,63.27,4067
20200812 15:00:00 US/Eastern,63.29,63.41,63.25,63.28,7965
20200813 09:30:00 US/Eastern,63.52,63.79,63.52,63.75,3061
20200813 10:00:00 US/Eastern,63.8,63.8,63.55,63.59,7929
20200813 11:00:00 US/Eastern,63.61,63.76,63.6,63.75,3663
20200813 12:00:00 US/Eastern,63.7,63.7,63.67,63.67,760
20200813 13:00:00 US/Eastern,63.75,63.81,63.68,63.8,1151
20200813 14:00:00 US/Eastern,63.73,63.74,63.48,63.48,4797
20200813 15:00:00 US/Eastern,63.48,63.58,63.44,63.44,5384
20200814 09:30:00 US/Eastern,63.45,63.67,63.45,63.59,2280
20200814 10:00:00 US/Eastern,63.58,64.0,63.58,63.97,2794
20200814 11:00:00 US/Eastern,63.95,64.09,63.9,64.06,6075
20200814 12:00:00 US/Eastern,64.14,64.19,64.07,64.07,2982
20200814 13:00:00 US/Eastern,64.0,64.14,64.0,64.07,3179
20200814 14:00:00 US/Eastern,64.06,64.06,63.95,63.95,2699
20200814 15:00:00 US/Eastern,63.91,63.91,63.76,63.9,3349
20200817 09:30:00 US/Eastern,64.5,64.88,64.42,64.81,3325
20200817 10:00:00 US/Eastern,64.84,64.99,64.82,64.95,5215
20200817 11:00:00 US/Eastern,64.97,65.07,64.95,65.07,110233
20200817 12:00:00 US/Eastern,65.06,65.12,65.0,65.12,4883
20200817 13:00:00 US/Eastern,65.13,65.13,65.04,65.1,1500
20200817 14:00:00 US/Eastern,65.06,65.09,64.97,64.97,2776
20200817 15:00:00 US/Eastern,64.92,65.06,64.92,65.0,4017
20200818 09:30:00 US/Eastern,65.26,65.36,65.16,65.16,1851
20200818 10:00:00 US/Eastern,65.23,65.23,64.84,64.98,16231
20200818 11:00:00 US/Eastern,65.05,65.33,65.05,65.31,26264
20200818 12:00:00 US/Eastern,65.26,65.26,65.2,65.2,856
20200818 13:00:00 US/Eastern,65.19,65.19,65.19,65.19,100
20200818 14:00:00 US/Eastern,65.24,65.24,65.15,65.23,1780
20200818 15:00:00 US/Eastern,65.09,65.18,65.0,65.0,28319
20200819 09:30:00 US/Eastern,65.34,65.88,65.34,65.77,4219
20200819 10:00:00 US/Eastern,65.81,65.88,65.71,65.76,4061
20200819 11:00:00 US/Eastern,65.9,65.91,65.8,65.8,3131
20200819 12:00:00 US/Eastern,65.81,65.81,65.54,65.55,2620
20200819 13:00:00 US/Eastern,65.53,65.55,65.52,65.55,3630
20200819 14:00:00 US/Eastern,65.54,65.54,65.16,65.34,5955
20200819 15:00:00 US/Eastern,65.34,65.41,65.17,65.19,9137
20200820 09:30:00 US/Eastern,64.58,64.73,64.22,64.62,8796
20200820 10:00:00 US/Eastern,64.63,64.86,64.63,64.81,2579
20200820 11:00:00 US/Eastern,64.81,64.86,64.76,64.85,12769
20200820 12:00:00 US/Eastern,64.83,64.86,64.69,64.78,49945
20200820 13:00:00 US/Eastern,64.75,64.75,64.66,64.74,2271
20200820 14:00:00 US/Eastern,64.76,64.88,64.71,64.88,2709
20200820 15:00:00 US/Eastern,64.9,64.94,64.89,64.93,3801
20200821 09:30:00 US/Eastern,64.54,64.92,64.54,64.91,2983
20200821 10:00:00 US/Eastern,64.79,65.03,64.75,65.03,850
20200821 11:00:00 US/Eastern,65.02,65.02,64.87,64.94,45482
20200821 12:00:00 US/Eastern,64.94,65.04,64.8,64.8,8723
20200821 13:00:00 US/Eastern,64.71,64.99,64.71,64.79,5521
20200821 14:00:00 US/Eastern,64.8,64.9,64.79,64.9,4047
20200821 15:00:00 US/Eastern,64.95,65.06,64.89,65.03,8796
20200824 09:30:00 US/Eastern,65.8,66.0,65.8,65.84,7723
20200824 10:00:00 US/Eastern,65.89,66.05,65.85,65.98,38383
20200824 11:00:00 US/Eastern,65.96,66.05,65.96,65.98,5293
20200824 12:00:00 US/Eastern,65.98,66.0,65.88,65.89,6540
20200824 13:00:00 US/Eastern,65.94,65.98,65.83,65.91,1311
20200824 14:00:00 US/Eastern,65.97,65.98,65.92,65.95,654
20200824 15:00:00 US/Eastern,65.9,66.07,65.84,66.05,5628
20200825 09:30:00 US/Eastern,66.67,66.67,66.25,66.3,4625
20200825 10:00:00 US/Eastern,66.2,66.25,65.85,65.92,10615
20200825 11:00:00 US/Eastern,65.75,65.92,65.63,65.63,1379
20200825 12:00:00 US/Eastern,65.63,65.63,65.55,65.55,1242
20200825 13:00:00 US/Eastern,65.55,65.61,65.5,65.55,33027
20200825 14:00:00 US/Eastern,65.51,65.53,65.46,65.52,7910
20200825 15:00:00 US/Eastern,65.52,65.79,65.52,65.69,2876
20200826 09:30:00 US/Eastern,65.99,66.25,65.82,66.13,3363
20200826 10:00:00 US/Eastern,66.06,66.14,66.03,66.14,8810
20200826 11:00:00 US/Eastern,66.08,66.08,65.95,66.07,2390
