date,open,high,low,close,volume
20210815 09:00:00,689.55,691.05,673.4,680.4,12.14579182
20210815 10:00:00,679.65,684.4,677.85,682.95,25.23939708
20210815 11:00:00,679.85,689.65,678.75,688.2,10.31130687
20210815 12:00:00,688.2,691.8,681.45,683.55,11.31273153
20210815 13:00:00,682.95,688.4,677.05,687.45,10.77728421
20210815 14:00:00,687.1,688.05,677.35,679.45,25.41825571
20210815 15:00:00,679.2,684.4,674.7,681.15,34.3030399
20210815 16:00:00,681.15,693.75,679.35,685.6,25.05942642
20210815 17:00:00,684.5,690.5,682.85,690.5,28.37587849
20210815 18:00:00,690.2,691.55,681.5,681.7,29.24561128
20210815 19:00:00,682.3,686.75,676.2,686.75,41.86442739
20210815 20:00:00,687.5,690.45,685.6,690.1,42.04747324
20210815 21:00:00,689.9,692.55,687.3,691.55,18.83260785
20210815 22:00:00,692.1,696.2,690.85,694.8,15.55037634
20210815 23:00:00,695.3,698.6,692.45,697.75,23.06771773
20210816 00:00:00,698.55,706.1,698.15,706.0,33.68171827
20210816 01:00:00,706.5,708.45,701.4,703.45,20.96157437
20210816 02:00:00,703.95,715.4,700.55,706.45,79.36007467
20210816 03:00:00,707.9,711.35,705.1,708.1,32.32111628
20210816 04:00:00,709.1,711.7,706.75,708.75,20.8110412
20210816 05:00:00,708.5,708.6,700.3,700.3,30.79576109
20210816 06:00:00,700.8,707.15,700.75,705.5,14.70121189
20210816 07:00:00,705.45,707.55,704.35,706.95,10.40916992
20210816 08:00:00,706.35,707.3,695.35,696.2,32.66131248
20210816 09:00:00,696.6,703.45,696.6,697.4,19.41323228
20210816 10:00:00,698.05,702.55,695.25,696.95,7.54408364
20210816 11:00:00,698.1,700.15,693.8,700.15,17.82400567
20210816 12:00:00,700.85,705.45,700.5,705.2,27.67950864
20210816 13:00:00,703.6,706.7,703.3,703.6,52.82798421
20210816 14:00:00,703.4,703.4,698.3,699.6,29.30478438
20210816 15:00:00,699.85,701.15,683.6,683.6,79.73462462
20210816 16:00:00,684.75,688.3,679.5,679.6,56.03403024
20210816 17:00:00,679.95,688.0,679.3,688.0,78.97899511
20210816 18:00:00,687.55,690.5,685.25,688.15,51.3942029
20210816 19:00:00,687.45,690.15,685.15,688.95,22.18796665
20210816 20:00:00,688.8,691.6,687.3,690.3,18.58648572
20210816 21:00:00,689.1,689.6,680.9,680.95,26.92466603
20210816 22:01:00,680.95,681.4,675.25,679.65,30.77390567
20210816 23:00:00,679.65,687.4,677.1,682.45,24.55191138
20210817 00:00:00,680.3,686.6,680.15,682.95,19.93809616
20210817 01:00:00,683.1,683.95,673.3,674.0,51.11334579
20210817 02:00:00,672.9,678.1,660.25,666.05,60.98520752
20210817 03:00:00,665.45,679.5,665.4,679.5,21.70211404
20210817 04:00:00,679.95,684.45,679.1,684.35,40.81643388
20210817 05:00:00,684.15,689.15,683.45,686.1,12.9300909
20210817 06:00:00,685.4,688.7,683.2,686.4,12.77502119
20210817 07:00:00,687.85,689.8,678.85,679.05,28.98960891
20210817 08:00:00,680.5,681.3,671.75,671.75,6.14149304
20210817 09:00:00,671.75,680.35,670.95,680.05,20.46309114
20210817 10:00:00,680.45,683.0,677.6,678.0,5.92739559
20210817 11:00:00,680.15,689.75,680.15,689.6,9.78176766
20210817 12:00:00,689.75,689.95,683.5,683.5,6.66415623
20210817 13:00:00,685.15,691.25,685.15,687.6,8.19440597
20210817 14:00:00,688.25,691.2,682.6,682.6,17.64870471
20210817 15:00:00,682.5,685.45,677.2,678.5,35.73017835
20210817 16:00:00,680.45,680.7,672.1,672.1,13.46370374
20210817 17:00:00,671.75,674.45,665.6,665.8,83.79573076
20210817 18:00:00,666.1,670.95,663.75,666.55,62.16335988
20210817 19:00:00,664.65,673.4,664.65,672.95,25.912089
20210817 20:00:00,673.6,675.95,668.95,671.05,14.8820715
20210817 21:00:00,671.55,671.6,663.5,667.45,16.41503392
20210817 22:01:00,663.75,666.7,644.4,654.15,52.93330699
20210817 23:00:00,654.15,654.15,646.4,646.5,23.41286871
20210818 00:00:00,647.3,650.8,640.15,650.35,50.91860804
20210818 01:00:00,649.6,649.6,637.45,639.0,35.18027143
20210818 02:00:00,638.9,645.05,626.4,634.8,30.78148044
20210818 03:00:00,634.85,637.4,620.1,637.3,50.69434229
20210818 04:00:00,636.95,639.45,632.55,637.55,51.56515616
20210818 05:00:00,636.95,638.55,631.45,638.55,23.09673213
20210818 06:00:00,639.35,641.4,633.55,635.85,22.22767654
20210818 07:00:00,635.15,644.5,635.15,644.5,10.80758012
20210818 08:00:00,644.75,645.85,641.3,641.9,34.6928049
20210818 09:00:00,639.9,642.5,636.55,637.7,7.42652423
20210818 10:00:00,637.0,646.15,634.85,640.9,13.22810719
20210818 11:00:00,640.35,644.8,638.45,643.5,9.54718583
20210818 12:00:00,644.4,647.25,638.7,640.7,22.68739117
20210818 13:00:00,640.55,644.95,633.55,635.05,146.41781281
20210818 14:00:00,636.75,642.7,634.75,641.0,53.7121258
20210818 15:00:00,641.0,645.4,639.6,643.1,33.31624919
20210818 16:00:00,643.45,644.75,639.4,642.0,28.07740099
20210818 17:00:00,642.85,646.35,635.85,646.25,42.91377863
20210818 18:00:00,646.2,650.15,643.65,648.8,40.40652281
20210818 19:00:00,650.1,655.55,647.0,649.2,67.59516857
20210818 20:00:00,650.45,651.4,642.2,644.1,23.50493916
20210818 21:00:00,643.9,647.3,636.05,636.1,29.90795408
20210818 22:01:00,636.0,638.8,631.15,631.55,21.36832993
