date,open,high,low,close,volume
20210815 09:00:00,46481.0,46501.0,45733.0,45800.25,9.68407154
20210815 10:00:00,45738.0,45936.75,45614.5,45814.5,5.27603286
20210815 11:00:00,45765.75,46184.0,45688.25,46057.75,1.22164554
20210815 12:00:00,46038.5,46171.75,45856.25,45957.0,1.04773082
20210815 13:00:00,45957.0,46140.5,45717.75,45962.25,1.78877531
20210815 14:00:00,45935.75,46081.75,45751.75,45832.5,2.20296123
20210815 15:00:00,45805.0,46092.25,45533.25,46006.75,5.57760751
20210815 16:00:00,46079.5,46485.5,45827.25,45941.25,5.95216651
20210815 17:00:00,45879.25,46202.25,45879.25,46202.25,1.47521399
20210815 18:00:00,46167.75,46353.0,45884.75,45894.0,2.39411384
20210815 19:00:00,45881.75,46082.5,45680.25,46014.0,4.46247192
20210815 20:00:00,46009.5,46324.75,45903.0,46324.75,7.70353933
20210815 21:00:00,46324.5,46439.0,46124.0,46370.5,5.21781112
20210815 22:00:00,46408.0,46772.75,46296.75,46717.5,2.62720358
20210815 23:00:00,46780.75,47020.25,46521.0,46885.5,7.53448129
20210816 00:00:00,46962.75,47275.75,46962.75,47244.75,3.84860069
20210816 01:00:00,47307.0,47335.0,46947.75,47006.75,3.57683744
20210816 02:00:00,47011.25,47842.5,46790.75,47597.75,17.61335652
20210816 03:00:00,47576.0,47716.5,47521.25,47688.75,5.10376604
20210816 04:00:00,47720.75,48000.0,47604.0,47999.75,9.67632136
20210816 05:00:00,47999.75,48035.0,47377.75,47401.75,6.69459401
20210816 06:00:00,47381.0,47562.5,47381.0,47421.5,18.71620675
20210816 07:00:00,47422.0,47629.5,47422.0,47629.5,0.83159274
20210816 08:00:00,47581.75,47725.0,47233.0,47374.25,2.68002861
20210816 09:00:00,47394.25,47528.0,47317.75,47326.25,1.80862918
20210816 10:00:00,47326.25,47449.5,47066.5,47178.75,2.53764125
20210816 11:00:00,47173.75,47239.5,47067.0,47197.0,1.06718232
20210816 12:00:00,47197.25,47491.5,47197.25,47436.75,5.82122044
20210816 13:00:00,47439.0,47684.5,47397.75,47554.75,2.13402577
20210816 14:00:00,47575.5,47702.5,47203.5,47318.25,2.41173461
20210816 15:00:00,47318.25,47376.75,46333.5,46409.25,17.14094181
20210816 16:00:00,46386.5,46589.0,46095.75,46095.75,24.16457543
20210816 17:00:00,46105.5,46367.25,46000.0,46367.0,33.19059738
20210816 18:00:00,46367.0,46545.5,46240.0,46418.5,7.44472793
20210816 19:00:00,46441.25,46549.25,46192.0,46487.0,14.22107045
20210816 20:00:00,46508.0,46659.75,46389.5,46483.5,6.62614872
20210816 21:00:00,46446.25,46457.75,46088.25,46096.5,14.75237226
20210816 22:01:00,46068.25,46100.0,45676.25,46100.0,8.93113511
20210816 23:00:00,46100.0,46239.75,45903.25,46064.75,10.9589525
20210817 00:00:00,46059.25,46356.0,46028.25,46133.5,4.36911238
20210817 01:00:00,46124.5,46196.75,45733.75,45928.25,8.70916866
20210817 02:00:00,45908.5,46080.5,45280.5,45778.0,11.9305391
20210817 03:00:00,45741.5,46380.5,45741.5,46291.25,1.15801527
