date,open,high,low,close,volume
20210815 09:00:00,3222.25,3227.8,3156.95,3162.55,538.88925319
20210815 10:00:00,3163.3,3177.15,3152.65,3154.0,211.74218082
20210815 11:00:00,3150.0,3177.0,3138.2,3165.65,25.96936499
20210815 12:00:00,3156.1,3174.9,3145.3,3157.85,567.07896745
20210815 13:00:00,3149.15,3166.1,3142.9,3162.85,20.44250225
20210815 14:00:00,3159.15,3173.75,3146.25,3157.2,458.94772264
20210815 15:00:00,3149.75,3170.0,3137.5,3166.45,438.82484488
20210815 16:00:00,3168.55,3196.0,3150.0,3151.05,647.8592282
20210815 17:00:00,3150.0,3163.25,3145.5,3159.65,92.51572057
20210815 18:00:00,3159.45,3171.7,3144.85,3144.85,198.92028695
20210815 19:00:00,3145.85,3163.8,3111.95,3159.3,92.76577106
20210815 20:00:00,3155.25,3194.25,3155.25,3194.25,740.75570462
20210815 21:00:00,3195.0,3214.55,3172.3,3210.65,219.6557641
20210815 22:00:00,3213.1,3268.65,3205.0,3267.75,29.51895556
20210815 23:00:00,3269.05,3277.5,3248.55,3260.65,109.55828879
20210816 00:00:00,3269.55,3305.3,3268.9,3305.3,33.72594223
20210816 01:00:00,3309.85,3322.25,3299.8,3311.25,97.68067982
20210816 02:00:00,3310.9,3338.7,3291.0,3314.7,643.1305969
20210816 03:00:00,3319.85,3322.2,3300.0,3313.55,396.77760818
20210816 04:00:00,3318.6,3322.8,3304.25,3320.8,328.61701202
20210816 05:00:00,3321.6,3321.65,3262.45,3265.25,334.32794952
20210816 06:00:00,3266.15,3288.8,3260.25,3281.0,53.05416675
20210816 07:00:00,3280.7,3302.95,3280.7,3301.9,18.91920012
20210816 08:00:00,3298.7,3315.1,3263.8,3276.15,185.40667717
20210816 09:00:00,3279.25,3293.05,3270.5,3278.05,65.7584031
20210816 10:00:00,3278.0,3288.5,3253.1,3270.55,73.00295582
20210816 11:00:00,3271.15,3276.9,3264.65,3276.5,34.82436719
20210816 12:00:00,3283.05,3296.55,3283.05,3295.65,134.52896714
20210816 13:00:00,3295.65,3311.0,3286.25,3291.05,70.75222358
20210816 14:00:00,3291.35,3300.3,3270.0,3284.8,81.99077818
20210816 15:00:00,3284.25,3290.6,3213.55,3218.05,687.25603433
