date,open,high,low,close,volume
20210815 09:00:00,180.21,180.21,176.69,177.5,177.65054004
20210815 10:00:00,176.98,178.87,176.88,178.26,33.68566571
20210815 11:00:00,177.74,180.33,177.27,179.5,11.40454532
20210815 12:00:00,179.05,180.18,177.17,178.41,369.53146313
20210815 13:00:00,177.77,179.97,176.75,179.76,242.97422265
20210815 14:00:00,179.47,179.99,177.14,177.71,274.68537034
20210815 15:00:00,177.31,179.04,175.73,178.79,271.64249486
20210815 16:00:00,178.51,181.15,177.95,178.56,317.7766015
20210815 17:00:00,178.42,180.72,178.23,180.49,293.77044117
20210815 18:00:00,180.58,181.85,178.89,179.06,290.90642549
20210815 19:00:00,179.48,180.7,177.48,180.42,288.80740893
20210815 20:00:00,180.23,181.36,179.67,181.36,186.99215392
20210815 21:00:00,181.32,182.48,180.29,182.44,217.90304512
20210815 22:00:00,182.58,183.76,182.02,183.45,124.21739458
20210815 23:00:00,183.73,184.1,181.72,183.33,106.36248706
20210816 00:00:00,183.69,185.86,183.69,185.81,159.69278127
20210816 01:00:00,185.87,185.9,184.09,184.76,549.69832468
20210816 02:00:00,184.76,187.72,182.78,186.38,576.5337031
20210816 03:00:00,186.71,187.78,185.74,186.65,342.41168996
20210816 04:00:00,186.91,186.91,185.56,186.77,580.19814493
20210816 05:00:00,186.76,186.94,183.45,183.7,519.3509024
20210816 06:00:00,184.01,185.94,184.01,185.41,335.17019178
20210816 07:00:00,185.58,186.8,185.55,186.8,265.7999028
20210816 08:00:00,186.6,187.64,183.87,186.36,112.89500167
20210816 09:00:00,186.78,187.59,185.55,185.55,245.15686123
20210816 10:00:00,185.9,186.64,184.5,185.22,46.81775254
20210816 11:00:00,185.21,185.82,184.43,185.82,24.77632544
20210816 12:00:00,186.14,187.78,185.66,187.37,150.77722018
20210816 13:00:00,187.36,188.94,186.82,187.41,507.43263819
20210816 14:00:00,187.42,187.94,185.17,186.19,235.60919512
20210816 15:00:00,186.12,186.48,180.14,181.14,907.21068047
20210816 16:00:00,181.76,182.51,180.28,180.28,648.30767829
20210816 17:00:00,180.08,182.83,180.07,182.42,529.87447071
20210816 18:00:00,182.34,184.54,181.72,184.24,361.02856399
20210816 19:00:00,184.28,184.59,183.01,183.74,1338.36177898
20210816 20:00:00,183.71,185.17,183.08,183.95,619.47908321
20210816 21:00:00,184.01,184.01,180.5,180.5,230.97659324
20210816 22:01:00,180.35,180.35,177.64,179.78,439.42960716
20210816 23:00:00,179.78,181.72,178.83,180.22,209.62528197
20210817 00:00:00,179.83,181.78,179.74,181.02,150.64863288
20210817 01:00:00,180.76,181.1,176.72,178.07,2022.38794446
20210817 02:00:00,177.92,179.26,173.49,176.03,323.29575321
20210817 03:00:00,175.94,180.14,175.85,180.14,583.49422183
20210817 04:00:00,179.79,180.92,179.26,180.54,129.64901044
20210817 05:00:00,180.29,182.61,180.19,181.61,205.92857237
20210817 06:00:00,181.73,182.99,181.06,181.91,187.71782006
20210817 07:00:00,182.47,182.47,179.22,179.36,122.92585899
20210817 08:00:00,179.12,180.06,177.97,178.15,72.59353903
20210817 09:00:00,178.11,180.22,177.57,179.71,111.73599016
20210817 10:00:00,179.64,180.98,179.57,180.28,97.34222872
20210817 11:00:00,180.87,183.39,180.75,183.39,129.59240222
20210817 12:00:00,183.4,183.45,181.51,181.97,190.2155624
20210817 13:00:00,182.34,184.3,182.34,183.28,405.48211207
20210817 14:00:00,184.09,184.3,181.74,181.76,319.66621899
20210817 15:00:00,181.82,182.38,179.3,180.73,188.79861187
20210817 16:00:00,180.69,181.31,177.96,178.4,420.24737634
20210817 17:00:00,177.99,178.77,176.49,176.53,429.76832318
20210817 18:00:00,176.59,178.05,175.58,176.07,453.90970015
20210817 19:00:00,175.92,177.88,175.58,177.29,197.68821698
20210817 20:00:00,177.29,178.76,176.8,177.24,217.55135077
20210817 21:00:00,177.14,177.36,174.44,175.38,445.65700979
20210817 22:01:00,174.51,175.63,170.0,173.13,763.4157954
20210817 23:00:00,173.13,173.13,170.44,170.71,364.91926955
