date,open,high,low,close,volume
20200803 09:30:00 US/Eastern,13.38,13.38,12.94,13.01,1020354
20200803 10:00:00 US/Eastern,12.99,13.06,12.85,13.0,1021658
20200803 11:00:00 US/Eastern,13.0,13.04,12.88,12.94,667640
20200803 12:00:00 US/Eastern,12.95,12.97,12.78,12.89,675250
20200803 13:00:00 US/Eastern,12.89,13.0,12.85,12.96,362690
20200803 14:00:00 US/Eastern,12.96,13.03,12.94,13.01,315424
20200803 15:00:00 US/Eastern,13.01,13.07,12.98,13.06,636678
20200804 09:30:00 US/Eastern,13.08,13.33,13.06,13.23,917295
20200804 10:00:00 US/Eastern,13.23,13.69,13.18,13.6,1537402
20200804 11:00:00 US/Eastern,13.61,13.79,13.6,13.74,1050555
20200804 12:00:00 US/Eastern,13.74,13.91,13.66,13.7,951100
20200804 13:00:00 US/Eastern,13.7,13.91,13.69,13.87,734991
20200804 14:00:00 US/Eastern,13.87,13.94,13.71,13.82,901287
20200804 15:00:00 US/Eastern,13.82,13.99,13.79,13.95,1493710
20200805 09:30:00 US/Eastern,14.52,14.57,14.1,14.19,1757660
20200805 10:00:00 US/Eastern,14.18,14.27,14.01,14.08,1816645
20200805 11:00:00 US/Eastern,14.08,14.16,13.86,13.91,1561718
20200805 12:00:00 US/Eastern,13.9,13.93,13.56,13.65,1606333
20200805 13:00:00 US/Eastern,13.65,13.79,13.63,13.78,748565
20200805 14:00:00 US/Eastern,13.79,13.89,13.74,13.85,817844
20200805 15:00:00 US/Eastern,13.85,13.88,13.74,13.81,1084957
20200806 09:30:00 US/Eastern,14.28,14.28,13.87,13.99,1250894
20200806 10:00:00 US/Eastern,13.99,13.99,13.55,13.76,2241863
20200806 11:00:00 US/Eastern,13.76,13.84,13.5,13.66,1229134
20200806 12:00:00 US/Eastern,13.66,13.68,13.54,13.58,484811
20200806 13:00:00 US/Eastern,13.57,13.58,13.43,13.47,644777
20200806 14:00:00 US/Eastern,13.46,13.57,13.39,13.56,638900
