date,open,high,low,close,volume
20200805 09:30:00 US/Eastern,33.59,33.73,33.2,33.51,494791
20200805 10:00:00 US/Eastern,33.5,33.74,33.0,33.33,728548
20200805 11:00:00 US/Eastern,33.34,33.39,33.03,33.07,315643
20200805 12:00:00 US/Eastern,33.07,33.11,32.25,32.44,568894
20200805 13:00:00 US/Eastern,32.45,32.83,32.38,32.77,259828
20200805 14:00:00 US/Eastern,32.76,33.08,32.76,32.92,331454
20200805 15:00:00 US/Eastern,32.91,32.97,32.65,32.78,596364
20200806 09:30:00 US/Eastern,32.88,32.99,32.32,32.71,244635
20200806 10:00:00 US/Eastern,32.71,32.81,31.74,32.1,956862
20200806 11:00:00 US/Eastern,32.09,32.12,31.52,31.63,605983
20200806 12:00:00 US/Eastern,31.62,31.67,31.34,31.41,355330
20200806 13:00:00 US/Eastern,31.42,31.42,31.11,31.17,347965
20200806 14:00:00 US/Eastern,31.17,31.45,31.12,31.37,238918
20200806 15:00:00 US/Eastern,31.36,31.71,31.34,31.66,729859
20200807 09:30:00 US/Eastern,31.3,31.71,31.01,31.14,246173
20200807 10:00:00 US/Eastern,31.14,31.16,30.16,30.72,905372
20200807 11:00:00 US/Eastern,30.7,31.35,30.61,30.69,273144
20200807 12:00:00 US/Eastern,30.7,31.0,30.5,30.56,205808
20200807 13:00:00 US/Eastern,30.56,31.11,30.41,31.01,267664
20200807 14:00:00 US/Eastern,31.01,31.1,30.75,30.78,228251
20200807 15:00:00 US/Eastern,30.79,31.01,30.61,30.66,507258
20200810 09:30:00 US/Eastern,31.0,31.34,30.55,31.3,176898
20200810 10:00:00 US/Eastern,31.26,31.74,30.52,30.55,484821
20200810 11:00:00 US/Eastern,30.51,30.87,30.36,30.53,197011
20200810 12:00:00 US/Eastern,30.54,30.71,30.38,30.62,115312
20200810 13:00:00 US/Eastern,30.64,30.76,30.49,30.55,98432
20200810 14:00:00 US/Eastern,30.57,30.59,30.16,30.25,159378
20200810 15:00:00 US/Eastern,30.26,30.3,30.03,30.17,488858
20200811 09:30:00 US/Eastern,28.58,29.3,28.26,28.86,642328
20200811 10:00:00 US/Eastern,28.82,28.88,27.93,28.26,1142620
20200811 11:00:00 US/Eastern,28.26,28.56,28.16,28.25,414819
20200811 12:00:00 US/Eastern,28.25,28.72,28.2,28.42,301182
20200811 13:00:00 US/Eastern,28.42,28.48,27.86,27.96,346026
20200811 14:00:00 US/Eastern,27.95,28.28,27.91,28.25,315829
20200811 15:00:00 US/Eastern,28.25,28.33,27.66,27.87,1174356
20200812 09:30:00 US/Eastern,28.58,28.77,28.29,28.42,316818
20200812 10:00:00 US/Eastern,28.41,28.42,27.99,28.22,479163
20200812 11:00:00 US/Eastern,28.22,28.32,27.77,28.25,455016
20200812 12:00:00 US/Eastern,28.25,28.54,28.16,28.4,264270
20200812 13:00:00 US/Eastern,28.39,28.52,28.1,28.21,144410
20200812 14:00:00 US/Eastern,28.23,28.28,27.95,27.98,204280
20200812 15:00:00 US/Eastern,28.01,28.04,27.65,27.65,584662
20200813 09:30:00 US/Eastern,27.89,28.43,27.8,28.4,323973
20200813 10:00:00 US/Eastern,28.39,28.95,28.29,28.77,572126
20200813 11:00:00 US/Eastern,28.77,29.0,28.62,28.67,348310
20200813 12:00:00 US/Eastern,28.67,28.8,28.53,28.67,202724
20200813 13:00:00 US/Eastern,28.67,28.78,28.57,28.58,207554
20200813 14:00:00 US/Eastern,28.58,28.59,27.94,28.39,381110
20200813 15:00:00 US/Eastern,28.39,28.47,28.06,28.41,492927
20200814 09:30:00 US/Eastern,28.52,28.74,28.4,28.71,116569
20200814 10:00:00 US/Eastern,28.69,28.69,28.16,28.51,272921
20200814 11:00:00 US/Eastern,28.52,28.66,28.25,28.36,188335
20200814 12:00:00 US/Eastern,28.37,28.37,28.03,28.19,183542
20200814 13:00:00 US/Eastern,28.19,28.39,28.14,28.33,143916
20200814 14:00:00 US/Eastern,28.33,28.48,28.3,28.43,124537
20200814 15:00:00 US/Eastern,28.43,28.47,28.25,28.39,419088
20200817 09:30:00 US/Eastern,29.71,29.96,29.56,29.72,511106
20200817 10:00:00 US/Eastern,29.72,29.93,29.42,29.74,619009
20200817 11:00:00 US/Eastern,29.7,29.73,29.5,29.64,294326
20200817 12:00:00 US/Eastern,29.64,29.74,29.4,29.43,240988
20200817 13:00:00 US/Eastern,29.43,29.56,29.27,29.28,194926
20200817 14:00:00 US/Eastern,29.28,29.38,29.24,29.31,132710
20200817 15:00:00 US/Eastern,29.31,29.73,29.28,29.72,450661
20200818 09:30:00 US/Eastern,30.78,30.78,29.82,29.88,386893
20200818 10:00:00 US/Eastern,29.88,30.08,29.24,29.47,389782
20200818 11:00:00 US/Eastern,29.49,29.79,29.24,29.58,176993
20200818 12:00:00 US/Eastern,29.6,29.75,29.45,29.47,110466
20200818 13:00:00 US/Eastern,29.43,29.61,29.34,29.49,130607
20200818 14:00:00 US/Eastern,29.46,29.54,29.36,29.5,99895
20200818 15:00:00 US/Eastern,29.5,29.64,29.43,29.53,337629
20200819 09:30:00 US/Eastern,28.84,29.3,28.74,28.91,190725
20200819 10:00:00 US/Eastern,28.91,29.13,28.41,28.56,355770
20200819 11:00:00 US/Eastern,28.58,28.7,28.4,28.64,193271
