date,open,high,low,close,volume
20200805 09:30:00 US/Eastern,30.5,30.63,30.25,30.47,4411874
20200805 10:00:00 US/Eastern,30.47,30.69,30.23,30.39,4210224
20200805 11:00:00 US/Eastern,30.39,30.58,30.19,30.21,2569214
20200805 12:00:00 US/Eastern,30.21,30.21,29.5,29.6,3238245
20200805 13:00:00 US/Eastern,29.6,29.8,29.54,29.79,1745786
20200805 14:00:00 US/Eastern,29.79,29.97,29.78,29.95,1591678
20200805 15:00:00 US/Eastern,29.95,29.96,29.78,29.84,2732643
20200806 09:30:00 US/Eastern,30.08,30.11,29.72,29.91,2230422
20200806 10:00:00 US/Eastern,29.91,29.91,29.15,29.38,2959121
20200806 11:00:00 US/Eastern,29.37,29.45,29.08,29.41,2085752
20200806 12:00:00 US/Eastern,29.41,29.51,29.26,29.36,1181925
20200806 13:00:00 US/Eastern,29.37,29.38,29.14,29.25,1347007
20200806 14:00:00 US/Eastern,29.25,29.33,29.12,29.28,1232738
20200806 15:00:00 US/Eastern,29.28,29.54,29.26,29.51,2659517
20200807 09:30:00 US/Eastern,29.0,29.35,28.88,29.12,1818145
20200807 10:00:00 US/Eastern,29.11,29.12,28.68,29.05,3087094
20200807 11:00:00 US/Eastern,29.05,29.1,28.79,28.87,1582200
20200807 12:00:00 US/Eastern,28.87,28.94,28.65,28.65,1257737
20200807 13:00:00 US/Eastern,28.66,28.84,28.43,28.84,1751655
20200807 14:00:00 US/Eastern,28.84,29.01,28.77,28.9,1368970
20200807 15:00:00 US/Eastern,28.9,29.04,28.8,28.88,2743236
20200810 09:30:00 US/Eastern,29.33,29.88,28.98,29.79,3418643
20200810 10:00:00 US/Eastern,29.79,29.93,29.25,29.26,3091565
20200810 11:00:00 US/Eastern,29.26,29.44,28.96,29.13,1758589
20200810 12:00:00 US/Eastern,29.13,29.24,28.93,29.16,1123654
20200810 13:00:00 US/Eastern,29.17,29.26,29.02,29.06,1054513
20200810 14:00:00 US/Eastern,29.06,29.09,28.87,28.94,1325099
20200810 15:00:00 US/Eastern,28.94,28.95,28.63,28.72,2772463
20200811 09:30:00 US/Eastern,27.1,27.57,26.66,26.73,6013734
20200811 10:00:00 US/Eastern,26.73,26.85,26.55,26.67,7129374
20200811 11:00:00 US/Eastern,26.66,26.86,26.33,26.46,4117335
20200811 12:00:00 US/Eastern,26.47,26.69,26.41,26.51,2393741
20200811 13:00:00 US/Eastern,26.5,26.56,26.05,26.05,3081988
20200811 14:00:00 US/Eastern,26.04,26.23,25.87,26.22,4108047
20200811 15:00:00 US/Eastern,26.21,26.26,25.96,26.25,6514352
20200812 09:30:00 US/Eastern,26.97,27.05,26.31,26.62,4095989
20200812 10:00:00 US/Eastern,26.63,26.65,26.06,26.49,4751605
20200812 11:00:00 US/Eastern,26.5,26.56,26.2,26.34,2853256
20200812 12:00:00 US/Eastern,26.33,26.63,26.33,26.57,1654396
20200812 13:00:00 US/Eastern,26.57,26.68,26.43,26.6,1153270
20200812 14:00:00 US/Eastern,26.6,26.63,26.42,26.45,1191545
20200812 15:00:00 US/Eastern,26.45,26.49,26.13,26.17,3317113
20200813 09:30:00 US/Eastern,26.61,26.92,26.5,26.83,2442330
20200813 10:00:00 US/Eastern,26.84,27.24,26.73,27.16,2845181
20200813 11:00:00 US/Eastern,27.16,27.29,27.07,27.11,1350953
20200813 12:00:00 US/Eastern,27.11,27.35,27.07,27.33,1216612
20200813 13:00:00 US/Eastern,27.32,27.44,27.24,27.26,1212204
20200813 14:00:00 US/Eastern,27.25,27.27,26.83,27.12,1960558
20200813 15:00:00 US/Eastern,27.12,27.2,26.91,27.14,2536964
20200814 09:30:00 US/Eastern,27.13,27.24,26.86,27.0,1151816
20200814 10:00:00 US/Eastern,27.0,27.0,26.55,26.81,2084968
20200814 11:00:00 US/Eastern,26.81,26.86,26.62,26.7,1013745
20200814 12:00:00 US/Eastern,26.7,26.74,26.56,26.67,1043248
20200814 13:00:00 US/Eastern,26.66,26.86,26.63,26.86,947208
20200814 14:00:00 US/Eastern,26.86,26.94,26.81,26.84,980264
20200814 15:00:00 US/Eastern,26.84,27.01,26.8,27.0,1704007
20200817 09:30:00 US/Eastern,29.62,30.2,29.3,29.53,15015505
20200817 10:00:00 US/Eastern,29.53,30.18,29.44,29.94,9308569
20200817 11:00:00 US/Eastern,29.94,30.23,29.8,30.22,5849745
20200817 12:00:00 US/Eastern,30.23,30.27,29.94,29.98,4632931
20200817 13:00:00 US/Eastern,29.98,30.09,29.8,29.83,3393713
20200817 14:00:00 US/Eastern,29.83,30.0,29.81,29.89,2456092
20200817 15:00:00 US/Eastern,29.88,30.14,29.86,30.13,5645295
20200818 09:30:00 US/Eastern,31.2,31.22,30.25,30.33,8838165
20200818 10:00:00 US/Eastern,30.33,30.49,29.74,29.91,8322997
20200818 11:00:00 US/Eastern,29.91,30.22,29.84,30.12,3999841
20200818 12:00:00 US/Eastern,30.12,30.3,30.01,30.23,3278796
20200818 13:00:00 US/Eastern,30.23,30.36,30.14,30.21,3364302
20200818 14:00:00 US/Eastern,30.21,30.28,30.06,30.13,2398684
20200818 15:00:00 US/Eastern,30.14,30.22,30.02,30.04,4352485
