date,open,high,low,close,volume
20200803 09:30:00 US/Eastern,83.98,84.85,83.88,84.61,1458289
20200803 10:00:00 US/Eastern,84.58,85.14,84.3,84.67,1623357
20200803 11:00:00 US/Eastern,84.68,84.84,84.09,84.12,888874
20200803 12:00:00 US/Eastern,84.11,84.23,83.8,84.1,820184
20200803 13:00:00 US/Eastern,84.11,84.8,83.88,84.58,669223
20200803 14:00:00 US/Eastern,84.57,84.65,84.32,84.53,634628
20200803 15:00:00 US/Eastern,84.52,84.86,84.38,84.81,1443065
20200804 09:30:00 US/Eastern,84.48,85.35,84.28,85.29,915661
20200804 10:00:00 US/Eastern,85.29,85.99,85.19,85.7,1006825
20200804 11:00:00 US/Eastern,85.72,86.3,85.49,86.06,649018
20200804 12:00:00 US/Eastern,86.07,86.35,85.76,86.05,594342
20200804 13:00:00 US/Eastern,86.07,86.32,85.89,86.05,522488
20200804 14:00:00 US/Eastern,86.05,86.39,85.89,86.38,948078
20200804 15:00:00 US/Eastern,86.39,86.72,86.22,86.55,1600130
20200805 09:30:00 US/Eastern,88.1,88.43,87.39,87.67,777110
20200805 10:00:00 US/Eastern,87.69,88.32,87.18,88.06,849380
20200805 11:00:00 US/Eastern,88.06,88.34,87.52,87.54,636790
20200805 12:00:00 US/Eastern,87.55,87.73,87.04,87.15,572066
20200805 13:00:00 US/Eastern,87.15,87.24,86.79,86.82,529572
20200805 14:00:00 US/Eastern,86.82,87.02,86.4,86.63,819777
20200805 15:00:00 US/Eastern,86.63,87.41,86.63,87.22,1228036
20200806 09:30:00 US/Eastern,86.43,87.41,86.1,87.34,540220
20200806 10:00:00 US/Eastern,87.33,87.9,87.07,87.22,620779
20200806 11:00:00 US/Eastern,87.22,87.28,86.48,87.18,681014
20200806 12:00:00 US/Eastern,87.19,87.47,86.81,87.03,602806
20200806 13:00:00 US/Eastern,87.04,87.27,86.95,86.95,483342
20200806 14:00:00 US/Eastern,86.98,87.37,86.85,87.29,563281
20200806 15:00:00 US/Eastern,87.3,87.5,87.01,87.48,1316110
20200807 09:30:00 US/Eastern,86.88,87.09,85.86,85.95,786615
20200807 10:00:00 US/Eastern,85.95,86.6,85.74,86.13,803098
20200807 11:00:00 US/Eastern,86.14,86.5,85.88,85.95,580477
20200807 12:00:00 US/Eastern,85.93,86.46,85.9,86.32,523310
20200807 13:00:00 US/Eastern,86.33,86.65,86.12,86.24,467187
20200807 14:00:00 US/Eastern,86.26,86.5,86.02,86.47,554479
20200807 15:00:00 US/Eastern,86.44,87.11,86.16,86.83,1421453
20200810 09:30:00 US/Eastern,87.93,88.18,87.6,87.89,696395
20200810 10:00:00 US/Eastern,87.86,89.6,87.76,88.91,1082638
20200810 11:00:00 US/Eastern,88.89,89.24,88.56,89.2,638012
20200810 12:00:00 US/Eastern,89.19,89.27,88.7,88.84,466306
20200810 13:00:00 US/Eastern,88.84,88.96,88.6,88.95,404550
20200810 14:00:00 US/Eastern,88.96,89.39,88.93,89.39,418991
20200810 15:00:00 US/Eastern,89.39,89.76,89.12,89.74,1200318
20200811 09:30:00 US/Eastern,91.95,93.01,91.59,91.7,1199587
20200811 10:00:00 US/Eastern,91.71,92.46,90.73,91.41,1192175
20200811 11:00:00 US/Eastern,91.42,91.67,90.88,91.6,777351
20200811 12:00:00 US/Eastern,91.61,91.63,90.73,90.81,542458
20200811 13:00:00 US/Eastern,90.82,91.31,90.61,91.11,427875
20200811 14:00:00 US/Eastern,91.11,91.29,90.55,90.77,529821
20200811 15:00:00 US/Eastern,90.77,90.87,89.17,89.67,1323154
20200812 09:30:00 US/Eastern,90.8,91.66,90.01,90.27,900267
20200812 10:00:00 US/Eastern,90.26,90.47,89.91,90.15,1056641
20200812 11:00:00 US/Eastern,90.14,90.3,89.45,89.54,1035360
20200812 12:00:00 US/Eastern,89.54,90.33,89.54,90.03,1206898
20200812 13:00:00 US/Eastern,90.03,90.45,89.58,90.43,561717
20200812 14:00:00 US/Eastern,90.41,90.54,90.16,90.48,455372
20200812 15:00:00 US/Eastern,90.47,90.72,90.29,90.72,1208290
20200813 09:30:00 US/Eastern,89.87,90.99,89.8,90.92,651879
20200813 10:00:00 US/Eastern,90.91,91.28,90.53,90.63,852225
20200813 11:00:00 US/Eastern,90.61,90.86,90.41,90.7,914962
20200813 12:00:00 US/Eastern,90.71,91.17,90.68,90.77,572445
20200813 13:00:00 US/Eastern,90.76,90.82,90.21,90.25,401893
20200813 14:00:00 US/Eastern,90.24,90.35,89.76,89.82,549651
20200813 15:00:00 US/Eastern,89.82,90.21,89.77,89.84,836691
20200814 09:30:00 US/Eastern,89.0,89.75,88.85,89.6,667920
20200814 10:00:00 US/Eastern,89.61,90.43,89.51,90.16,838485
20200814 11:00:00 US/Eastern,90.16,90.48,89.76,90.48,593845
20200814 12:00:00 US/Eastern,90.48,90.49,89.92,90.11,443833
20200814 13:00:00 US/Eastern,90.1,90.5,90.08,90.45,525108
20200814 14:00:00 US/Eastern,90.45,90.59,90.05,90.08,439408
20200814 15:00:00 US/Eastern,90.08,90.36,89.82,90.36,1057763
20200817 09:30:00 US/Eastern,90.35,90.7,89.97,90.12,1254166
20200817 10:00:00 US/Eastern,90.12,91.58,89.72,91.14,1527969
20200817 11:00:00 US/Eastern,91.14,91.23,90.22,90.48,1312807
20200817 12:00:00 US/Eastern,90.48,90.86,90.47,90.61,545642
20200817 13:00:00 US/Eastern,90.61,90.74,90.06,90.2,577637
20200817 14:00:00 US/Eastern,90.2,90.43,90.11,90.2,529553
20200817 15:00:00 US/Eastern,90.19,90.84,89.96,90.75,1673988
20200818 09:30:00 US/Eastern,88.71,89.37,88.66,88.8,856967
20200818 10:00:00 US/Eastern,88.82,88.86,87.93,88.38,1076549
20200818 11:00:00 US/Eastern,88.4,88.43,87.65,87.83,700547
20200818 12:00:00 US/Eastern,87.83,88.19,87.63,88.07,572454
20200818 13:00:00 US/Eastern,88.08,88.1,87.57,87.73,586885
20200818 14:00:00 US/Eastern,87.73,87.86,87.51,87.54,532546
20200818 15:00:00 US/Eastern,87.53,87.71,87.32,87.63,1238911
20200819 09:30:00 US/Eastern,87.3,87.9,86.73,87.27,852974
20200819 10:00:00 US/Eastern,87.23,87.39,86.66,86.79,1004550
20200819 11:00:00 US/Eastern,86.79,87.58,86.62,87.06,991226
