date,open,high,low,close,volume
20200803 09:30:00 US/Eastern,5.55,5.55,5.31,5.3646,2226599
20200803 10:00:00 US/Eastern,5.3683,5.5,5.32,5.48,1594931
20200803 11:00:00 US/Eastern,5.49,5.5,5.42,5.43,1059568
20200803 12:00:00 US/Eastern,5.43,5.51,5.4099,5.505,1019218
20200803 13:00:00 US/Eastern,5.5,5.61,5.5,5.575,1534312
20200803 14:00:00 US/Eastern,5.58,5.61,5.56,5.5823,1256527
20200803 15:00:00 US/Eastern,5.5824,5.62,5.55,5.59,1868912
20200804 09:30:00 US/Eastern,5.59,5.625,5.52,5.5778,1127646
20200804 10:00:00 US/Eastern,5.58,5.88,5.55,5.85,2492687
20200804 11:00:00 US/Eastern,5.85,5.98,5.85,5.949,3055895
20200804 12:00:00 US/Eastern,5.945,6.02,5.94,5.98,2358224
20200804 13:00:00 US/Eastern,5.985,6.05,5.97,6.0301,1714436
20200804 14:00:00 US/Eastern,6.035,6.04,5.92,6.0028,2094484
20200804 15:00:00 US/Eastern,6.0,6.09,5.995,6.05,2660271
20200805 09:30:00 US/Eastern,6.29,6.62,6.24,6.577,4805995
20200805 10:00:00 US/Eastern,6.575,6.65,6.51,6.5739,2900201
20200805 11:00:00 US/Eastern,6.57,6.65,6.5,6.5079,1826703
20200805 12:00:00 US/Eastern,6.5,6.52,6.27,6.325,2772522
20200805 13:00:00 US/Eastern,6.3256,6.36,6.29,6.35,1372280
20200805 14:00:00 US/Eastern,6.35,6.41,6.3496,6.3801,1271555
20200805 15:00:00 US/Eastern,6.3801,6.45,6.35,6.43,2959350
20200806 09:30:00 US/Eastern,6.48,6.79,6.42,6.73,6371622
20200806 10:00:00 US/Eastern,6.73,6.74,6.3,6.46,3513071
20200806 11:00:00 US/Eastern,6.455,6.5,6.29,6.4432,2130426
20200806 12:00:00 US/Eastern,6.44,6.45,6.35,6.44,872196
20200806 13:00:00 US/Eastern,6.44,6.4448,6.3428,6.35,825163
20200806 14:00:00 US/Eastern,6.35,6.44,6.32,6.41,1030440
20200806 15:00:00 US/Eastern,6.41,6.66,6.4,6.66,3753195
20200807 09:30:00 US/Eastern,6.53,6.55,6.14,6.175,3277916
20200807 10:00:00 US/Eastern,6.17,6.175,5.8301,6.125,5405275
20200807 11:00:00 US/Eastern,6.125,6.1978,6.0,6.015,1843193
20200807 12:00:00 US/Eastern,6.015,6.08,6.01,6.035,1259173
20200807 13:00:00 US/Eastern,6.035,6.08,5.92,6.08,1454308
20200807 14:00:00 US/Eastern,6.0799,6.17,6.06,6.15,1490970
20200807 15:00:00 US/Eastern,6.1433,6.19,6.05,6.115,2413140
20200810 09:30:00 US/Eastern,6.16,6.45,6.16,6.45,2261359
20200810 10:00:00 US/Eastern,6.445,6.55,6.3828,6.395,2765692
20200810 11:00:00 US/Eastern,6.3937,6.47,6.3,6.37,1505819
20200810 12:00:00 US/Eastern,6.365,6.375,6.3,6.32,886365
20200810 13:00:00 US/Eastern,6.3224,6.36,6.3,6.315,941069
20200810 14:00:00 US/Eastern,6.315,6.37,6.25,6.28,1498558
20200810 15:00:00 US/Eastern,6.275,6.28,6.16,6.22,1801425
20200811 09:30:00 US/Eastern,5.78,5.96,5.64,5.83,4564929
20200811 10:00:00 US/Eastern,5.82,5.9,5.7301,5.89,2623295
20200811 11:00:00 US/Eastern,5.88,5.91,5.72,5.76,1566081
