date,open,high,low,close,volume
20200803 09:30:00 US/Eastern,69.2,69.4,67.78,68.3,727629
20200803 10:00:00 US/Eastern,68.3,68.61,67.5,68.33,839803
20200803 11:00:00 US/Eastern,68.32,68.57,67.62,67.79,614993
20200803 12:00:00 US/Eastern,67.77,67.94,67.49,67.93,340572
20200803 13:00:00 US/Eastern,67.94,68.24,67.88,68.02,352973
20200803 14:00:00 US/Eastern,68.03,68.47,68.03,68.45,371515
20200803 15:00:00 US/Eastern,68.45,68.57,68.13,68.15,1071448
20200804 09:30:00 US/Eastern,68.28,68.37,67.35,67.49,620499
20200804 10:00:00 US/Eastern,67.51,69.4,67.3,69.36,1027764
20200804 11:00:00 US/Eastern,69.39,69.67,69.34,69.39,652547
20200804 12:00:00 US/Eastern,69.38,69.87,69.38,69.6,508733
20200804 13:00:00 US/Eastern,69.61,69.82,69.44,69.8,412639
20200804 14:00:00 US/Eastern,69.79,69.92,69.52,69.76,721174
20200804 15:00:00 US/Eastern,69.75,70.45,69.73,70.25,1629964
20200805 09:30:00 US/Eastern,71.76,72.1,70.86,71.61,1149959
20200805 10:00:00 US/Eastern,71.62,72.22,71.07,71.61,983722
20200805 11:00:00 US/Eastern,71.62,71.9,71.13,71.13,595683
20200805 12:00:00 US/Eastern,71.15,71.19,69.78,70.04,756087
20200805 13:00:00 US/Eastern,70.06,70.52,69.98,70.52,318378
20200805 14:00:00 US/Eastern,70.5,70.89,70.46,70.83,380788
20200805 15:00:00 US/Eastern,70.83,70.83,70.36,70.37,1263463
20200806 09:30:00 US/Eastern,71.19,71.34,70.22,71.04,605560
20200806 10:00:00 US/Eastern,71.03,71.1,69.36,69.97,871144
20200806 11:00:00 US/Eastern,69.95,70.19,69.5,70.02,470739
20200806 12:00:00 US/Eastern,70.04,70.18,69.67,69.85,552246
20200806 13:00:00 US/Eastern,69.86,69.87,69.35,69.63,377887
20200806 14:00:00 US/Eastern,69.64,70.01,69.52,69.85,499970
20200806 15:00:00 US/Eastern,69.85,70.57,69.82,70.11,1311867
20200807 09:30:00 US/Eastern,69.02,69.42,68.42,69.03,842334
20200807 10:00:00 US/Eastern,69.05,69.39,68.44,69.16,851456
20200807 11:00:00 US/Eastern,69.15,69.49,68.75,68.94,490808
20200807 12:00:00 US/Eastern,68.99,69.2,68.62,68.67,384893
20200807 13:00:00 US/Eastern,68.67,69.27,68.36,69.2,425931
20200807 14:00:00 US/Eastern,69.22,69.44,69.04,69.15,358474
20200807 15:00:00 US/Eastern,69.15,69.42,68.79,68.91,1104596
20200810 09:30:00 US/Eastern,69.25,70.21,68.9,69.95,662599
20200810 10:00:00 US/Eastern,69.96,70.4,68.92,68.92,719595
20200810 11:00:00 US/Eastern,68.95,69.37,68.51,68.65,523559
20200810 12:00:00 US/Eastern,68.66,68.72,68.3,68.54,426931
20200810 13:00:00 US/Eastern,68.55,68.8,68.31,68.33,303059
20200810 14:00:00 US/Eastern,68.33,68.41,67.8,68.02,555639
20200810 15:00:00 US/Eastern,68.02,68.04,67.51,67.91,1015896
20200811 09:30:00 US/Eastern,64.59,64.94,63.12,64.07,1972897
20200811 10:00:00 US/Eastern,64.06,64.33,63.6,64.0,1570089
20200811 11:00:00 US/Eastern,63.99,64.26,63.37,63.53,859758
20200811 12:00:00 US/Eastern,63.53,64.16,63.44,63.8,772737
20200811 13:00:00 US/Eastern,63.8,64.0,63.16,63.2,635540
20200811 14:00:00 US/Eastern,63.21,63.3,62.85,63.16,1113475
20200811 15:00:00 US/Eastern,63.17,63.35,62.65,62.88,2128729
