date,open,high,low,close,volume
20200805 09:30:00 US/Eastern,39.51,39.92,39.27,39.8,1028917
20200805 10:00:00 US/Eastern,39.78,40.06,39.55,39.84,796156
20200805 11:00:00 US/Eastern,39.87,40.1,39.44,39.48,569058
20200805 12:00:00 US/Eastern,39.47,39.58,38.12,38.31,774466
20200805 13:00:00 US/Eastern,38.32,38.81,38.27,38.8,336955
20200805 14:00:00 US/Eastern,38.8,39.16,38.73,39.14,296949
20200805 15:00:00 US/Eastern,39.12,39.24,38.87,39.12,442931
20200806 09:30:00 US/Eastern,40.0,40.11,38.76,39.31,915521
20200806 10:00:00 US/Eastern,39.3,39.31,37.2,37.5,1411179
20200806 11:00:00 US/Eastern,37.49,37.92,36.92,37.88,700107
20200806 12:00:00 US/Eastern,37.9,37.91,37.36,37.55,405963
20200806 13:00:00 US/Eastern,37.52,37.69,37.34,37.5,302473
20200806 14:00:00 US/Eastern,37.51,37.8,37.42,37.79,288175
20200806 15:00:00 US/Eastern,37.79,38.47,37.75,38.41,882990
20200807 09:30:00 US/Eastern,37.43,37.65,36.62,36.85,645202
20200807 10:00:00 US/Eastern,36.86,36.86,36.14,36.69,594986
20200807 11:00:00 US/Eastern,36.69,37.04,36.57,36.73,400339
20200807 12:00:00 US/Eastern,36.72,36.75,36.32,36.32,291925
20200807 13:00:00 US/Eastern,36.31,36.69,36.15,36.69,280288
20200807 14:00:00 US/Eastern,36.7,36.99,36.53,36.76,235181
20200807 15:00:00 US/Eastern,36.78,36.97,36.62,36.68,493796
20200810 09:30:00 US/Eastern,37.1,37.54,36.71,37.41,614534
20200810 10:00:00 US/Eastern,37.43,37.96,36.9,36.93,603235
20200810 11:00:00 US/Eastern,36.9,37.15,36.35,36.69,337588
20200810 12:00:00 US/Eastern,36.69,37.01,36.64,36.81,212023
20200810 13:00:00 US/Eastern,36.84,37.04,36.61,36.61,180834
20200810 14:00:00 US/Eastern,36.61,36.72,36.2,36.39,256155
20200810 15:00:00 US/Eastern,36.39,36.41,36.05,36.24,429743
20200811 09:30:00 US/Eastern,33.99,34.17,32.77,33.56,1214149
20200811 10:00:00 US/Eastern,33.54,33.74,33.14,33.25,903873
20200811 11:00:00 US/Eastern,33.25,33.37,32.27,32.42,917847
