date,open,high,low,close,volume
20200803 09:30:00 US/Eastern,53.98,54.3,52.6,52.87,313820
20200803 10:00:00 US/Eastern,52.82,53.14,52.42,52.95,355488
20200803 11:00:00 US/Eastern,52.96,53.17,52.51,52.55,181709
20200803 12:00:00 US/Eastern,52.55,52.61,52.17,52.61,188952
20200803 13:00:00 US/Eastern,52.61,52.95,52.53,52.63,136961
20200803 14:00:00 US/Eastern,52.65,53.2,52.63,53.16,124120
20200803 15:00:00 US/Eastern,53.17,53.27,52.98,53.01,296873
20200804 09:30:00 US/Eastern,53.18,53.35,52.69,52.86,246786
20200804 10:00:00 US/Eastern,52.89,54.47,52.75,54.2,355621
20200804 11:00:00 US/Eastern,54.21,54.5,54.09,54.36,186613
20200804 12:00:00 US/Eastern,54.38,54.79,54.38,54.59,190543
20200804 13:00:00 US/Eastern,54.6,55.36,54.49,55.32,309598
20200804 14:00:00 US/Eastern,55.32,55.5,55.1,55.43,333451
20200804 15:00:00 US/Eastern,55.43,56.23,55.35,56.13,681032
20200805 09:30:00 US/Eastern,57.45,57.89,57.05,57.69,326332
20200805 10:00:00 US/Eastern,57.67,57.79,57.08,57.32,406944
20200805 11:00:00 US/Eastern,57.33,57.47,56.52,56.56,290100
20200805 12:00:00 US/Eastern,56.56,56.63,55.52,55.6,385547
20200805 13:00:00 US/Eastern,55.61,56.36,55.51,56.34,273772
20200805 14:00:00 US/Eastern,56.33,56.57,56.29,56.38,167968
20200805 15:00:00 US/Eastern,56.35,56.41,56.09,56.21,413419
20200806 09:30:00 US/Eastern,57.32,57.33,56.06,56.65,211553
20200806 10:00:00 US/Eastern,56.64,56.8,55.16,55.65,344494
20200806 11:00:00 US/Eastern,55.61,55.68,54.95,55.37,232352
20200806 12:00:00 US/Eastern,55.37,55.7,55.14,55.35,154157
20200806 13:00:00 US/Eastern,55.39,55.39,54.76,54.86,134017
20200806 14:00:00 US/Eastern,54.85,55.21,54.56,55.16,210878
20200806 15:00:00 US/Eastern,55.15,55.43,55.1,55.4,397622
20200807 09:30:00 US/Eastern,54.47,54.93,53.96,54.09,206372
20200807 10:00:00 US/Eastern,54.05,54.09,53.08,53.71,351165
20200807 11:00:00 US/Eastern,53.69,53.8,53.13,53.3,202106
20200807 12:00:00 US/Eastern,53.33,53.48,52.75,52.75,233377
20200807 13:00:00 US/Eastern,52.75,52.86,52.25,52.83,362629
20200807 14:00:00 US/Eastern,52.84,53.36,52.65,53.16,299838
