date,open,high,low,close,volume
20200803 09:30:00 US/Eastern,79.26,80.0,77.61,78.14,163789
20200803 10:00:00 US/Eastern,78.19,78.98,77.49,78.87,254267
20200803 11:00:00 US/Eastern,78.88,79.24,77.78,77.78,178507
20200803 12:00:00 US/Eastern,77.82,77.9,77.23,77.84,95705
20200803 13:00:00 US/Eastern,77.81,78.06,77.57,77.66,76442
20200803 14:00:00 US/Eastern,77.65,77.93,77.62,77.89,90918
20200803 15:00:00 US/Eastern,77.89,78.43,77.86,78.1,230242
20200804 09:30:00 US/Eastern,77.7,78.52,77.15,77.95,191533
20200804 10:00:00 US/Eastern,77.95,80.1,77.78,79.76,356337
20200804 11:00:00 US/Eastern,79.78,79.9,79.44,79.51,162728
20200804 12:00:00 US/Eastern,79.5,80.09,79.49,79.78,160137
20200804 13:00:00 US/Eastern,79.79,80.81,79.63,80.7,204342
20200804 14:00:00 US/Eastern,80.69,81.0,80.34,80.97,247187
20200804 15:00:00 US/Eastern,80.97,81.65,80.77,81.56,358148
20200805 09:30:00 US/Eastern,83.21,83.59,82.44,83.08,266573
20200805 10:00:00 US/Eastern,83.12,84.03,82.73,83.79,320176
20200805 11:00:00 US/Eastern,83.8,84.29,83.31,83.34,319775
20200805 12:00:00 US/Eastern,83.36,83.43,82.52,83.01,299678
20200805 13:00:00 US/Eastern,83.06,83.29,82.61,82.91,138306
20200805 14:00:00 US/Eastern,82.92,83.48,82.92,83.3,117746
20200805 15:00:00 US/Eastern,83.3,83.62,83.02,83.51,364414
20200806 09:30:00 US/Eastern,84.42,84.66,83.16,84.38,155344
20200806 10:00:00 US/Eastern,84.38,84.41,82.29,83.3,253399
20200806 11:00:00 US/Eastern,83.22,83.37,82.42,83.29,205244
20200806 12:00:00 US/Eastern,83.29,83.71,83.03,83.35,167863
20200806 13:00:00 US/Eastern,83.38,83.39,82.65,83.06,211352
20200806 14:00:00 US/Eastern,83.06,83.72,82.75,83.51,117542
20200806 15:00:00 US/Eastern,83.52,84.24,83.48,84.14,253373
20200807 09:30:00 US/Eastern,81.94,83.15,81.83,82.64,173466
20200807 10:00:00 US/Eastern,82.58,83.78,81.79,83.57,225352
20200807 11:00:00 US/Eastern,83.53,83.71,82.83,83.0,91176
20200807 12:00:00 US/Eastern,83.01,83.27,82.2,82.2,110732
20200807 13:00:00 US/Eastern,82.18,82.73,81.6,82.68,97172
20200807 14:00:00 US/Eastern,82.68,83.09,82.55,82.86,124015
20200807 15:00:00 US/Eastern,82.86,83.18,82.28,82.39,217895
20200810 09:30:00 US/Eastern,83.13,83.92,82.43,83.79,207470
20200810 10:00:00 US/Eastern,83.7,84.01,82.59,82.66,206818
20200810 11:00:00 US/Eastern,82.64,83.0,82.28,82.79,137571
20200810 12:00:00 US/Eastern,82.78,83.09,82.54,82.73,67931
20200810 13:00:00 US/Eastern,82.72,82.95,82.46,82.5,54511
20200810 14:00:00 US/Eastern,82.49,82.57,81.68,81.99,62790
20200810 15:00:00 US/Eastern,82.0,82.19,81.82,81.89,320575
20200811 09:30:00 US/Eastern,77.62,79.39,76.71,77.08,442144
20200811 10:00:00 US/Eastern,77.08,77.8,76.85,77.26,387448
20200811 11:00:00 US/Eastern,77.19,77.53,75.79,76.03,316773
20200811 12:00:00 US/Eastern,76.07,77.03,75.96,76.75,196304
20200811 13:00:00 US/Eastern,76.75,76.91,76.35,76.58,312273
20200811 14:00:00 US/Eastern,76.58,76.88,76.42,76.77,217966
20200811 15:00:00 US/Eastern,76.77,77.47,76.71,77.3,428207
20200812 09:30:00 US/Eastern,78.79,79.38,78.11,78.45,214338
20200812 10:00:00 US/Eastern,78.53,78.81,77.61,78.76,158934
20200812 11:00:00 US/Eastern,78.67,78.81,78.14,78.33,90743
20200812 12:00:00 US/Eastern,78.38,78.64,78.26,78.47,81596
20200812 13:00:00 US/Eastern,78.49,80.24,77.69,78.86,423318
20200812 14:00:00 US/Eastern,78.82,79.11,78.29,78.36,158956
20200812 15:00:00 US/Eastern,78.35,78.48,77.12,77.37,342677
20200813 09:30:00 US/Eastern,78.56,79.28,77.83,78.89,137671
20200813 10:00:00 US/Eastern,78.94,80.67,78.87,79.84,166039
20200813 11:00:00 US/Eastern,79.84,80.3,79.54,79.69,108030
20200813 12:00:00 US/Eastern,79.66,79.7,79.27,79.59,73672
20200813 13:00:00 US/Eastern,79.55,79.86,79.43,79.44,61205
20200813 14:00:00 US/Eastern,79.36,79.39,78.1,78.78,74178
20200813 15:00:00 US/Eastern,78.87,79.11,78.19,79.07,162960
20200814 09:30:00 US/Eastern,79.1,79.23,78.35,78.77,79175
20200814 10:00:00 US/Eastern,78.7,78.88,77.72,78.59,97460
20200814 11:00:00 US/Eastern,78.65,78.85,78.13,78.42,88156
20200814 12:00:00 US/Eastern,78.41,78.66,78.06,78.27,55460
20200814 13:00:00 US/Eastern,78.23,78.72,78.13,78.62,49102
20200814 14:00:00 US/Eastern,78.63,78.91,78.59,78.63,50198
20200814 15:00:00 US/Eastern,78.65,79.07,78.57,79.07,127776
20200817 09:30:00 US/Eastern,81.98,82.66,81.52,81.77,156985
20200817 10:00:00 US/Eastern,81.86,83.19,81.54,82.41,161563
20200817 11:00:00 US/Eastern,82.36,83.02,81.88,83.02,134902
20200817 12:00:00 US/Eastern,83.05,83.09,82.28,82.34,81793
20200817 13:00:00 US/Eastern,82.34,82.64,82.03,82.09,62119
20200817 14:00:00 US/Eastern,82.01,82.81,81.98,82.54,111235
20200817 15:00:00 US/Eastern,82.56,82.57,82.14,82.53,264427
20200818 09:30:00 US/Eastern,84.07,84.47,82.64,82.72,130316
20200818 10:00:00 US/Eastern,82.82,83.18,81.07,81.64,178045
20200818 11:00:00 US/Eastern,81.65,82.53,81.18,82.25,109008
20200818 12:00:00 US/Eastern,82.2,82.81,81.98,82.53,55409
20200818 13:00:00 US/Eastern,82.55,82.74,82.17,82.5,55177
20200818 14:00:00 US/Eastern,82.51,82.57,82.14,82.33,72478
20200818 15:00:00 US/Eastern,82.36,82.57,82.13,82.13,121781
20200819 09:30:00 US/Eastern,81.93,82.8,81.17,81.34,75465
20200819 10:00:00 US/Eastern,81.36,82.45,80.48,80.63,135693
20200819 11:00:00 US/Eastern,80.79,81.4,80.48,81.23,81601
20200819 12:00:00 US/Eastern,81.2,81.54,80.89,81.54,65545
20200819 13:00:00 US/Eastern,81.52,81.61,81.03,81.39,75291
20200819 14:00:00 US/Eastern,81.36,81.83,79.85,80.64,123540
20200819 15:00:00 US/Eastern,80.66,81.01,80.19,80.5,211352
20200820 09:30:00 US/Eastern,80.13,81.13,79.95,80.06,88217
20200820 10:00:00 US/Eastern,79.97,81.17,79.83,81.08,147719
20200820 11:00:00 US/Eastern,81.01,81.63,80.8,80.98,69386
20200820 12:00:00 US/Eastern,81.04,81.05,80.3,80.41,68563
20200820 13:00:00 US/Eastern,80.42,80.5,79.99,80.18,95198
20200820 14:00:00 US/Eastern,80.2,80.45,79.87,80.34,139497
20200820 15:00:00 US/Eastern,80.35,81.11,80.25,80.96,273850
20200821 09:30:00 US/Eastern,79.8,79.91,78.64,78.95,141175
20200821 10:00:00 US/Eastern,78.9,79.18,78.16,79.06,137680
20200821 11:00:00 US/Eastern,79.07,79.3,78.56,78.86,91240
20200821 12:00:00 US/Eastern,78.84,79.3,78.59,79.23,54925
20200821 13:00:00 US/Eastern,79.27,79.4,78.96,79.16,35157
20200821 14:00:00 US/Eastern,79.14,79.62,79.1,79.59,61760
20200821 15:00:00 US/Eastern,79.62,79.7,79.44,79.53,212960
20200824 09:30:00 US/Eastern,80.35,80.44,79.05,79.09,114873
20200824 10:00:00 US/Eastern,79.06,79.27,77.72,77.87,130486
20200824 11:00:00 US/Eastern,77.92,79.09,77.92,78.85,71465
20200824 12:00:00 US/Eastern,78.85,79.15,78.68,78.86,58486
20200824 13:00:00 US/Eastern,78.89,79.12,78.7,79.06,38847
20200824 14:00:00 US/Eastern,79.04,79.34,78.99,79.04,39181
20200824 15:00:00 US/Eastern,79.03,79.08,78.6,78.66,99131
20200825 09:30:00 US/Eastern,78.66,78.73,77.86,78.41,60962
20200825 10:00:00 US/Eastern,78.42,78.58,77.59,77.61,76123
20200825 11:00:00 US/Eastern,77.65,78.07,77.33,77.61,92450
20200825 12:00:00 US/Eastern,77.54,77.68,77.03,77.2,105668
20200825 13:00:00 US/Eastern,77.2,77.99,77.18,77.96,58598
20200825 14:00:00 US/Eastern,77.96,78.24,77.79,78.22,55438
20200825 15:00:00 US/Eastern,78.19,78.64,78.07,78.64,162422
20200826 09:30:00 US/Eastern,77.8,79.03,77.51,78.7,77328
20200826 10:00:00 US/Eastern,78.67,79.96,78.43,79.53,162156
20200826 11:00:00 US/Eastern,79.49,80.82,79.47,80.5,185414
20200826 12:00:00 US/Eastern,80.5,80.54,80.21,80.21,58407
20200826 13:00:00 US/Eastern,80.22,80.81,80.21,80.67,62859
20200826 14:00:00 US/Eastern,80.73,80.85,80.18,80.24,96257
20200826 15:00:00 US/Eastern,80.2,80.79,80.14,80.77,154810
20200827 09:30:00 US/Eastern,82.23,82.35,79.16,79.22,167949
20200827 10:00:00 US/Eastern,79.2,79.41,78.05,78.9,112634
20200827 11:00:00 US/Eastern,78.91,79.7,78.89,79.33,65704
20200827 12:00:00 US/Eastern,79.18,79.41,78.66,78.7,41001
20200827 13:00:00 US/Eastern,78.63,79.9,78.6,79.89,62543
20200827 14:00:00 US/Eastern,79.81,80.11,79.65,79.69,59659
20200827 15:00:00 US/Eastern,79.64,79.86,79.26,79.44,99745
20200828 09:30:00 US/Eastern,80.74,81.17,80.29,81.08,78966
20200828 10:00:00 US/Eastern,80.99,81.54,80.7,81.22,104670
20200828 11:00:00 US/Eastern,81.26,82.01,81.11,81.83,118212
20200828 12:00:00 US/Eastern,81.81,82.25,81.73,81.94,127170
20200828 13:00:00 US/Eastern,81.93,82.05,81.4,81.54,83383
20200828 14:00:00 US/Eastern,81.53,81.71,81.36,81.62,59200
20200828 15:00:00 US/Eastern,81.62,82.15,81.53,82.03,233621
20200831 09:30:00 US/Eastern,82.5,83.0,82.0,82.24,85219
20200831 10:00:00 US/Eastern,82.22,83.26,82.22,82.39,95115
20200831 11:00:00 US/Eastern,82.39,83.14,82.35,83.09,52115
20200831 12:00:00 US/Eastern,83.09,83.45,83.0,83.39,76774
20200831 13:00:00 US/Eastern,83.38,83.68,83.3,83.63,61288
20200831 14:00:00 US/Eastern,83.62,83.62,83.05,83.41,50811
20200831 15:00:00 US/Eastern,83.43,83.45,82.22,82.48,182575
20200901 09:30:00 US/Eastern,83.91,83.91,82.19,82.34,84128
20200901 10:00:00 US/Eastern,82.33,82.33,81.0,81.71,135533
20200901 11:00:00 US/Eastern,81.75,81.96,80.75,80.97,119584
20200901 12:00:00 US/Eastern,80.98,81.42,80.92,81.22,96549
20200901 13:00:00 US/Eastern,81.28,81.28,80.7,80.9,62812
20200901 14:00:00 US/Eastern,80.95,81.08,80.2,80.32,118558
20200901 15:00:00 US/Eastern,80.33,81.15,80.16,81.15,176764
20200902 09:30:00 US/Eastern,80.44,80.55,78.61,78.62,121854
20200902 10:00:00 US/Eastern,78.63,80.62,78.35,80.62,122510
20200902 11:00:00 US/Eastern,80.57,81.42,79.95,81.42,126254
20200902 12:00:00 US/Eastern,81.42,81.42,80.56,81.26,86190
20200902 13:00:00 US/Eastern,81.23,81.37,80.96,81.26,47813
20200902 14:00:00 US/Eastern,81.22,81.7,81.07,81.66,46974
20200902 15:00:00 US/Eastern,81.69,82.01,81.36,81.87,128131
20200903 09:30:00 US/Eastern,80.77,80.97,78.82,80.23,129299
20200903 10:00:00 US/Eastern,80.18,80.8,79.31,79.4,122968
20200903 11:00:00 US/Eastern,79.42,79.43,78.11,79.18,120274
20200903 12:00:00 US/Eastern,79.15,79.64,78.87,78.9,46921
20200903 13:00:00 US/Eastern,78.9,79.63,78.84,79.36,41552
20200903 14:00:00 US/Eastern,79.42,80.3,79.35,79.86,76199
20200903 15:00:00 US/Eastern,79.89,80.19,79.57,80.18,153874
20200904 09:30:00 US/Eastern,79.67,80.29,78.26,78.47,72490
20200904 10:00:00 US/Eastern,78.38,78.7,77.08,77.95,135433
20200904 11:00:00 US/Eastern,78.0,78.12,77.17,77.97,91453
20200904 12:00:00 US/Eastern,77.98,78.73,77.76,78.23,98260
20200904 13:00:00 US/Eastern,78.19,78.37,77.62,78.37,80199
20200904 14:00:00 US/Eastern,78.36,79.22,78.17,79.1,99671
20200904 15:00:00 US/Eastern,79.07,79.36,78.75,78.86,208531
20200908 09:30:00 US/Eastern,76.7,77.16,75.68,76.71,116498
20200908 10:00:00 US/Eastern,76.75,78.99,76.51,78.84,136036
20200908 11:00:00 US/Eastern,78.86,79.4,78.64,79.36,83256
20200908 12:00:00 US/Eastern,79.29,80.0,79.16,79.98,98980
20200908 13:00:00 US/Eastern,80.01,80.62,79.69,80.62,105655
20200908 14:00:00 US/Eastern,80.65,80.87,80.2,80.4,121873
20200908 15:00:00 US/Eastern,80.37,80.47,79.37,79.39,200796
20200909 09:30:00 US/Eastern,80.3,81.99,80.09,81.99,154223
20200909 10:00:00 US/Eastern,81.92,82.96,81.72,82.51,135054
20200909 11:00:00 US/Eastern,82.55,82.55,81.53,81.81,83875
20200909 12:00:00 US/Eastern,81.79,82.39,81.79,82.38,49200
20200909 13:00:00 US/Eastern,82.39,82.44,82.0,82.1,53613
20200909 14:00:00 US/Eastern,82.15,82.98,81.78,82.87,44910
20200909 15:00:00 US/Eastern,82.82,83.45,82.82,83.13,192289
20200910 09:30:00 US/Eastern,83.95,84.57,83.33,84.05,190273
20200910 10:00:00 US/Eastern,84.08,84.32,81.87,82.19,155108
20200910 11:00:00 US/Eastern,82.03,83.24,81.86,82.64,57030
20200910 12:00:00 US/Eastern,82.61,82.78,82.19,82.65,46978
20200910 13:00:00 US/Eastern,82.64,83.07,82.47,82.47,32585
20200910 14:00:00 US/Eastern,82.51,82.58,81.55,82.33,57866
20200910 15:00:00 US/Eastern,82.37,82.38,81.67,82.09,119789
20200911 09:30:00 US/Eastern,82.99,84.14,82.84,83.2,122684
20200911 10:00:00 US/Eastern,83.14,83.21,82.46,82.64,67585
20200911 11:00:00 US/Eastern,82.69,83.03,82.22,82.81,54181
20200911 12:00:00 US/Eastern,82.83,83.12,82.0,82.2,39394
20200911 13:00:00 US/Eastern,82.23,82.27,81.47,82.04,48487
20200911 14:00:00 US/Eastern,82.07,82.54,81.98,82.2,30356
20200911 15:00:00 US/Eastern,82.23,82.36,81.9,82.18,96393
20200914 09:30:00 US/Eastern,83.41,83.88,83.2,83.64,88594
20200914 10:00:00 US/Eastern,83.73,87.12,83.73,86.96,1051525
20200914 11:00:00 US/Eastern,86.91,87.36,85.82,85.88,438246
20200914 12:00:00 US/Eastern,85.86,86.01,85.28,85.82,171328
20200914 13:00:00 US/Eastern,85.78,86.05,85.04,85.86,147509
20200914 14:00:00 US/Eastern,85.84,86.4,85.61,86.3,166026
20200914 15:00:00 US/Eastern,86.34,87.01,86.13,86.47,500711
20200915 09:30:00 US/Eastern,87.95,89.23,86.93,87.38,581690
20200915 10:00:00 US/Eastern,87.42,87.48,85.29,85.79,360646
20200915 11:00:00 US/Eastern,85.8,86.48,85.53,85.95,74699
20200915 12:00:00 US/Eastern,86.03,87.13,86.03,86.97,101496
20200915 13:00:00 US/Eastern,87.02,87.04,86.06,86.13,129064
20200915 14:00:00 US/Eastern,86.14,86.18,85.68,86.08,78018
20200915 15:00:00 US/Eastern,86.07,86.23,85.44,85.87,214032
20200916 09:30:00 US/Eastern,86.71,86.75,85.68,86.1,144450
20200916 10:00:00 US/Eastern,86.12,86.35,85.23,85.9,174238
20200916 11:00:00 US/Eastern,85.91,86.27,85.65,85.86,84777
20200916 12:00:00 US/Eastern,85.86,86.38,85.66,86.38,53564
20200916 13:00:00 US/Eastern,86.33,86.42,85.15,85.86,91140
20200916 14:00:00 US/Eastern,85.81,86.43,85.19,85.55,198341
20200916 15:00:00 US/Eastern,85.61,85.96,85.06,85.57,249171
20200917 09:30:00 US/Eastern,83.83,83.9,82.25,83.31,398964
