date,open,high,low,close,volume
20200803 09:30:00 US/Eastern,12.58,12.59,12.11,12.15,458364
20200803 10:00:00 US/Eastern,12.14,12.31,12.05,12.29,458027
20200803 11:00:00 US/Eastern,12.29,12.3,12.02,12.04,373794
20200803 12:00:00 US/Eastern,12.04,12.05,11.89,11.97,403183
20200803 13:00:00 US/Eastern,11.96,12.07,11.95,12.04,311631
20200803 14:00:00 US/Eastern,12.04,12.13,12.01,12.09,184679
20200803 15:00:00 US/Eastern,12.09,12.16,12.09,12.14,423985
20200804 09:30:00 US/Eastern,12.18,12.57,12.17,12.35,796317
20200804 10:00:00 US/Eastern,12.34,12.69,12.25,12.3,903276
20200804 11:00:00 US/Eastern,12.3,12.4,12.25,12.34,926960
20200804 12:00:00 US/Eastern,12.33,12.45,12.26,12.28,618532
20200804 13:00:00 US/Eastern,12.28,12.42,12.27,12.42,518823
20200804 14:00:00 US/Eastern,12.42,12.47,12.36,12.42,524307
20200804 15:00:00 US/Eastern,12.43,12.68,12.42,12.67,951971
20200805 09:30:00 US/Eastern,12.95,13.09,12.84,13.07,750637
20200805 10:00:00 US/Eastern,13.06,13.2,13.02,13.1,891009
20200805 11:00:00 US/Eastern,13.1,13.19,13.0,13.06,571781
20200805 12:00:00 US/Eastern,13.06,13.07,12.66,12.71,577785
20200805 13:00:00 US/Eastern,12.71,12.77,12.66,12.71,234582
20200805 14:00:00 US/Eastern,12.72,12.78,12.71,12.76,139246
20200805 15:00:00 US/Eastern,12.75,12.78,12.7,12.71,393709
20200806 09:30:00 US/Eastern,12.92,12.99,12.67,12.96,485055
20200806 10:00:00 US/Eastern,12.96,12.97,12.47,12.65,604109
20200806 11:00:00 US/Eastern,12.64,12.69,12.44,12.51,393019
20200806 12:00:00 US/Eastern,12.51,12.56,12.46,12.52,463335
20200806 13:00:00 US/Eastern,12.51,12.54,12.4,12.44,244004
20200806 14:00:00 US/Eastern,12.43,12.53,12.39,12.5,278942
20200806 15:00:00 US/Eastern,12.49,12.56,12.48,12.53,609823
20200807 09:30:00 US/Eastern,12.26,12.35,12.13,12.16,467530
20200807 10:00:00 US/Eastern,12.17,12.21,11.99,12.17,522599
20200807 11:00:00 US/Eastern,12.15,12.2,12.03,12.05,232190
20200807 12:00:00 US/Eastern,12.06,12.11,12.0,12.0,161452
20200807 13:00:00 US/Eastern,12.01,12.12,11.94,12.11,227742
20200807 14:00:00 US/Eastern,12.11,12.23,12.1,12.14,210299
20200807 15:00:00 US/Eastern,12.14,12.22,12.09,12.1,331884
20200810 09:30:00 US/Eastern,12.16,12.41,12.06,12.38,296306
20200810 10:00:00 US/Eastern,12.38,12.49,12.19,12.2,333745
20200810 11:00:00 US/Eastern,12.19,12.25,12.03,12.12,230916
20200810 12:00:00 US/Eastern,12.12,12.13,12.03,12.09,133478
20200810 13:00:00 US/Eastern,12.09,12.11,12.04,12.04,115191
20200810 14:00:00 US/Eastern,12.04,12.06,11.85,11.93,325570
20200810 15:00:00 US/Eastern,11.93,11.96,11.85,11.87,378092
20200811 09:30:00 US/Eastern,11.25,11.48,11.1,11.24,930604
20200811 10:00:00 US/Eastern,11.23,11.42,11.18,11.27,509732
20200811 11:00:00 US/Eastern,11.27,11.29,11.1,11.13,314110
20200811 12:00:00 US/Eastern,11.13,11.34,11.12,11.19,356377
20200811 13:00:00 US/Eastern,11.19,11.22,11.02,11.06,302099
20200811 14:00:00 US/Eastern,11.06,11.14,11.02,11.09,289793
20200811 15:00:00 US/Eastern,11.1,11.12,10.86,10.89,1100454
20200812 09:30:00 US/Eastern,11.3,11.31,10.98,11.07,458636
20200812 10:00:00 US/Eastern,11.08,11.14,10.93,11.13,420899
20200812 11:00:00 US/Eastern,11.13,11.21,11.06,11.07,178626
20200812 12:00:00 US/Eastern,11.08,11.21,11.07,11.16,146867
20200812 13:00:00 US/Eastern,11.17,11.2,11.08,11.14,153759
20200812 14:00:00 US/Eastern,11.14,11.16,11.02,11.03,120736
20200812 15:00:00 US/Eastern,11.04,11.06,10.85,10.89,567468
20200813 09:30:00 US/Eastern,11.02,11.17,10.96,11.13,179952
20200813 10:00:00 US/Eastern,11.12,11.33,11.09,11.24,288238
20200813 11:00:00 US/Eastern,11.23,11.35,11.21,11.27,248604
20200813 12:00:00 US/Eastern,11.27,11.42,11.23,11.42,179661
20200813 13:00:00 US/Eastern,11.41,11.44,11.31,11.31,202214
20200813 14:00:00 US/Eastern,11.31,11.31,11.12,11.24,291869
20200813 15:00:00 US/Eastern,11.24,11.31,11.15,11.31,286146
20200814 09:30:00 US/Eastern,11.27,11.32,11.09,11.18,110997
20200814 10:00:00 US/Eastern,11.16,11.17,11.01,11.12,247316
20200814 11:00:00 US/Eastern,11.13,11.15,10.98,11.0,136264
20200814 12:00:00 US/Eastern,11.01,11.03,10.94,10.97,143699
20200814 13:00:00 US/Eastern,10.96,11.05,10.95,11.05,117810
20200814 14:00:00 US/Eastern,11.06,11.12,11.05,11.06,95869
20200814 15:00:00 US/Eastern,11.06,11.11,11.03,11.09,220956
20200817 09:30:00 US/Eastern,11.5,11.64,11.42,11.62,565518
