date,open,high,low,close,volume
20200803 09:30:00 US/Eastern,13.02,13.04,12.68,12.76,921630
20200803 10:00:00 US/Eastern,12.75,12.815,12.57,12.8,1407273
20200803 11:00:00 US/Eastern,12.8,12.85,12.695,12.73,947906
20200803 12:00:00 US/Eastern,12.73,12.76,12.63,12.7439,737855
20200803 13:00:00 US/Eastern,12.745,12.78,12.655,12.725,435414
20200803 14:00:00 US/Eastern,12.73,12.84,12.72,12.81,417057
20200803 15:00:00 US/Eastern,12.81,12.91,12.8,12.91,935555
20200804 09:30:00 US/Eastern,12.82,12.86,12.705,12.82,913021
20200804 10:00:00 US/Eastern,12.82,13.15,12.7913,13.07,1852530
20200804 11:00:00 US/Eastern,13.065,13.32,13.065,13.305,1570367
20200804 12:00:00 US/Eastern,13.305,13.47,13.29,13.36,1036799
20200804 13:00:00 US/Eastern,13.36,13.4199,13.33,13.39,713009
20200804 14:00:00 US/Eastern,13.385,13.44,13.245,13.385,1081247
20200804 15:00:00 US/Eastern,13.38,13.63,13.3614,13.59,1559780
20200805 09:30:00 US/Eastern,14.14,14.27,14.02,14.155,1981844
20200805 10:00:00 US/Eastern,14.15,14.37,14.065,14.15,2391552
20200805 11:00:00 US/Eastern,14.15,14.24,13.96,13.97,1879389
20200805 12:00:00 US/Eastern,13.97,14.01,13.56,13.67,1222388
20200805 13:00:00 US/Eastern,13.675,13.79,13.645,13.74,382965
20200805 14:00:00 US/Eastern,13.75,13.93,13.75,13.895,481599
20200805 15:00:00 US/Eastern,13.9,13.92,13.83,13.85,1087995
20200806 09:30:00 US/Eastern,14.3,14.395,14.13,14.28,1755982
20200806 10:00:00 US/Eastern,14.27,14.29,13.88,14.105,2855557
20200806 11:00:00 US/Eastern,14.1,14.135,13.815,13.965,2003495
20200806 12:00:00 US/Eastern,13.97,13.98,13.86,13.9,844593
20200806 13:00:00 US/Eastern,13.9001,13.9001,13.73,13.74,896206
20200806 14:00:00 US/Eastern,13.74,13.81,13.7,13.78,855285
20200806 15:00:00 US/Eastern,13.775,13.94,13.765,13.93,2097486
20200807 09:30:00 US/Eastern,13.62,13.7227,13.38,13.425,975579
20200807 10:00:00 US/Eastern,13.42,13.42,13.11,13.32,1881677
20200807 11:00:00 US/Eastern,13.325,13.39,13.07,13.115,736566
20200807 12:00:00 US/Eastern,13.12,13.17,12.99,13.0,585534
20200807 13:00:00 US/Eastern,13.01,13.0962,12.8811,13.085,644290
20200807 14:00:00 US/Eastern,13.09,13.18,13.02,13.05,806316
20200807 15:00:00 US/Eastern,13.055,13.18,13.025,13.08,1066260
20200810 09:30:00 US/Eastern,13.07,13.35,13.04,13.3079,658691
20200810 10:00:00 US/Eastern,13.31,13.45,13.03,13.03,939194
20200810 11:00:00 US/Eastern,13.025,13.135,12.93,13.05,829235
20200810 12:00:00 US/Eastern,13.05,13.09,12.93,13.001,680785
20200810 13:00:00 US/Eastern,13.005,13.07,12.965,13.025,553753
20200810 14:00:00 US/Eastern,13.03,13.04,12.92,12.99,602407
20200810 15:00:00 US/Eastern,12.99,13.0,12.89,12.96,1113291
20200811 09:30:00 US/Eastern,12.27,12.475,12.065,12.13,2003990
20200811 10:00:00 US/Eastern,12.13,12.23,11.96,12.02,2549949
20200811 11:00:00 US/Eastern,12.01,12.01,11.79,11.845,2142227
20200811 12:00:00 US/Eastern,11.845,12.0064,11.81,11.881,1383271
20200811 13:00:00 US/Eastern,11.89,11.925,11.63,11.6648,1293938
20200811 14:00:00 US/Eastern,11.66,11.76,11.635,11.7,1278046
20200811 15:00:00 US/Eastern,11.71,11.83,11.64,11.7857,2310725
20200812 09:30:00 US/Eastern,12.19,12.28,12.075,12.145,1296002
20200812 10:00:00 US/Eastern,12.1484,12.1599,12.03,12.135,1396302
20200812 11:00:00 US/Eastern,12.135,12.15,11.96,12.035,1015448
20200812 12:00:00 US/Eastern,12.04,12.175,12.025,12.0996,711009
20200812 13:00:00 US/Eastern,12.095,12.15,11.99,12.02,477159
20200812 14:00:00 US/Eastern,12.015,12.06,11.85,11.855,680249
20200812 15:00:00 US/Eastern,11.86,11.9,11.71,11.73,2412287
20200813 09:30:00 US/Eastern,11.93,12.245,11.89,12.21,1009982
20200813 10:00:00 US/Eastern,12.2,12.44,12.18,12.32,990711
20200813 11:00:00 US/Eastern,12.315,12.385,12.22,12.275,691161
20200813 12:00:00 US/Eastern,12.275,12.39,12.23,12.365,438816
20200813 13:00:00 US/Eastern,12.365,12.41,12.285,12.29,580925
20200813 14:00:00 US/Eastern,12.285,12.285,12.06,12.225,1001801
20200813 15:00:00 US/Eastern,12.23,12.335,12.12,12.28,1831504
20200814 09:30:00 US/Eastern,12.36,12.43,12.26,12.35,848783
20200814 10:00:00 US/Eastern,12.35,12.355,12.11,12.255,1210344
20200814 11:00:00 US/Eastern,12.255,12.27,12.07,12.09,513376
20200814 12:00:00 US/Eastern,12.09,12.095,11.98,12.06,763733
20200814 13:00:00 US/Eastern,12.06,12.115,12.01,12.11,630774
20200814 14:00:00 US/Eastern,12.12,12.215,12.1,12.185,396305
20200814 15:00:00 US/Eastern,12.185,12.25,12.11,12.25,1208733
20200817 09:30:00 US/Eastern,12.65,12.87,12.65,12.75,707827
20200817 10:00:00 US/Eastern,12.74,12.89,12.649,12.76,1084501
20200817 11:00:00 US/Eastern,12.76,12.825,12.695,12.82,499957
20200817 12:00:00 US/Eastern,12.82,12.9,12.82,12.8803,646986
20200817 13:00:00 US/Eastern,12.88,12.95,12.8,12.835,477730
20200817 14:00:00 US/Eastern,12.82,12.86,12.78,12.84,435301
20200817 15:00:00 US/Eastern,12.83,12.975,12.83,12.96,1338766
20200818 09:30:00 US/Eastern,13.31,13.36,13.02,13.04,1174436
20200818 10:00:00 US/Eastern,13.04,13.095,12.71,12.8,1970318
20200818 11:00:00 US/Eastern,12.81,12.9,12.71,12.88,630317
20200818 12:00:00 US/Eastern,12.88,13.01,12.815,12.94,578433
20200818 13:00:00 US/Eastern,12.94,12.98,12.83,12.9,457203
20200818 14:00:00 US/Eastern,12.9,12.95,12.875,12.93,421713
20200818 15:00:00 US/Eastern,12.93,13.01,12.89,12.92,844882
20200819 09:30:00 US/Eastern,12.61,12.74,12.51,12.5405,914137
20200819 10:00:00 US/Eastern,12.545,12.745,12.44,12.49,1228850
20200819 11:00:00 US/Eastern,12.495,12.605,12.41,12.59,1044223
20200819 12:00:00 US/Eastern,12.58,12.65,12.5227,12.61,322816
20200819 13:00:00 US/Eastern,12.61,12.62,12.455,12.5517,525017
20200819 14:00:00 US/Eastern,12.56,12.62,12.08,12.22,2303954
20200819 15:00:00 US/Eastern,12.21,12.26,12.07,12.2,2478784
20200820 09:30:00 US/Eastern,12.21,12.35,12.1,12.125,994563
20200820 10:00:00 US/Eastern,12.12,12.365,12.07,12.34,1264163
20200820 11:00:00 US/Eastern,12.34,12.4801,12.29,12.3281,539717
20200820 12:00:00 US/Eastern,12.33,12.345,12.2,12.265,480709
20200820 13:00:00 US/Eastern,12.26,12.28,12.17,12.22,271032
20200820 14:00:00 US/Eastern,12.23,12.35,12.19,12.3303,487183
20200820 15:00:00 US/Eastern,12.33,12.49,12.31,12.42,1165168
20200821 09:30:00 US/Eastern,12.21,12.22,12.01,12.1199,838991
20200821 10:00:00 US/Eastern,12.12,12.34,11.915,12.33,1375061
20200821 11:00:00 US/Eastern,12.33,12.39,12.15,12.2,484895
20200821 12:00:00 US/Eastern,12.2,12.24,12.13,12.24,192492
20200821 13:00:00 US/Eastern,12.24,12.3,12.15,12.18,327284
20200821 14:00:00 US/Eastern,12.19,12.32,12.16,12.31,387434
20200821 15:00:00 US/Eastern,12.31,12.36,12.24,12.29,959546
20200824 09:30:00 US/Eastern,12.77,12.835,12.65,12.685,1054328
