date,open,high,low,close,volume
20200803 09:30:00 US/Eastern,9.39,9.46,9.0806,9.1199,3024008
20200803 10:00:00 US/Eastern,9.115,9.29,9.015,9.28,3998032
20200803 11:00:00 US/Eastern,9.285,9.375,9.105,9.125,2353344
20200803 12:00:00 US/Eastern,9.125,9.1386,9.04,9.125,1787838
20200803 13:00:00 US/Eastern,9.12,9.24,9.115,9.21,1798730
20200803 14:00:00 US/Eastern,9.21,9.25,9.195,9.24,1067505
20200803 15:00:00 US/Eastern,9.235,9.29,9.23,9.28,1842059
20200804 09:30:00 US/Eastern,9.28,9.35,9.15,9.17,1722157
20200804 10:00:00 US/Eastern,9.165,9.45,9.14,9.38,4785724
20200804 11:00:00 US/Eastern,9.38,9.44,9.35,9.39,2255390
20200804 12:00:00 US/Eastern,9.3853,9.49,9.3853,9.46,2031922
20200804 13:00:00 US/Eastern,9.4599,9.54,9.445,9.53,1240509
20200804 14:00:00 US/Eastern,9.53,9.57,9.5,9.563,2470039
20200804 15:00:00 US/Eastern,9.565,9.68,9.5625,9.66,3774057
20200805 09:30:00 US/Eastern,9.88,10.11,9.84,10.105,6679747
20200805 10:00:00 US/Eastern,10.1,10.205,10.055,10.095,5617063
20200805 11:00:00 US/Eastern,10.095,10.19,10.04,10.05,3166733
20200805 12:00:00 US/Eastern,10.04,10.055,9.795,9.8365,4022962
20200805 13:00:00 US/Eastern,9.84,9.875,9.73,9.7783,2698380
20200805 14:00:00 US/Eastern,9.78,9.91,9.775,9.885,2969651
20200805 15:00:00 US/Eastern,9.89,9.91,9.84,9.875,4587995
20200806 09:30:00 US/Eastern,10.1,10.11,9.9,10.0,2966470
20200806 10:00:00 US/Eastern,9.995,10.0,9.76,9.87,4747760
20200806 11:00:00 US/Eastern,9.87,9.885,9.73,9.82,3143280
20200806 12:00:00 US/Eastern,9.815,9.82,9.72,9.785,2632464
20200806 13:00:00 US/Eastern,9.79,9.79,9.65,9.67,2023086
20200806 14:00:00 US/Eastern,9.68,9.75,9.64,9.7,2614162
20200806 15:00:00 US/Eastern,9.7,9.78,9.68,9.77,3084318
20200807 09:30:00 US/Eastern,9.55,9.65,9.4547,9.475,3259820
20200807 10:00:00 US/Eastern,9.48,9.58,9.335,9.5616,4709268
20200807 11:00:00 US/Eastern,9.56,9.6066,9.435,9.4471,2704567
20200807 12:00:00 US/Eastern,9.45,9.49,9.38,9.38,1357456
20200807 13:00:00 US/Eastern,9.39,9.43,9.3,9.43,2332149
20200807 14:00:00 US/Eastern,9.43,9.51,9.39,9.43,1666567
20200807 15:00:00 US/Eastern,9.435,9.49,9.39,9.41,2609348
20200810 09:30:00 US/Eastern,9.49,9.73,9.45,9.73,1602187
20200810 10:00:00 US/Eastern,9.73,9.8,9.54,9.54,2827121
20200810 11:00:00 US/Eastern,9.54,9.61,9.43,9.485,2416646
20200810 12:00:00 US/Eastern,9.49,9.52,9.435,9.475,1122436
20200810 13:00:00 US/Eastern,9.48,9.5162,9.43,9.4387,1174796
20200810 14:00:00 US/Eastern,9.435,9.46,9.34,9.359,1616505
20200810 15:00:00 US/Eastern,9.36,9.38,9.31,9.32,1729446
20200811 09:30:00 US/Eastern,8.58,9.0,8.58,8.74,5713545
20200811 10:00:00 US/Eastern,8.73,8.81,8.62,8.656,6411168
20200811 11:00:00 US/Eastern,8.65,8.74,8.55,8.585,2885914
20200811 12:00:00 US/Eastern,8.585,8.67,8.55,8.56,3389070
20200811 13:00:00 US/Eastern,8.555,8.58,8.46,8.47,2818586
20200811 14:00:00 US/Eastern,8.46,8.52,8.4,8.51,3866348
20200811 15:00:00 US/Eastern,8.51,8.54,8.45,8.54,4107344
20200812 09:30:00 US/Eastern,8.81,8.845,8.605,8.6499,2732570
20200812 10:00:00 US/Eastern,8.65,8.7182,8.55,8.705,3091256
20200812 11:00:00 US/Eastern,8.71,8.75,8.655,8.685,1961141
20200812 12:00:00 US/Eastern,8.69,8.8,8.6887,8.755,2036708
