date,open,high,low,close,volume
20200803 09:30:00 US/Eastern,42.31,42.31,41.87,42.14,107845
20200803 10:00:00 US/Eastern,42.11,42.67,42.08,42.51,149713
20200803 11:00:00 US/Eastern,42.52,42.88,42.49,42.77,108644
20200803 12:00:00 US/Eastern,42.77,43.07,42.74,42.95,173046
20200803 13:00:00 US/Eastern,42.94,43.06,42.84,43.03,118697
20200803 14:00:00 US/Eastern,43.02,43.03,42.89,43.0,182752
20200803 15:00:00 US/Eastern,43.0,43.08,42.84,42.86,749526
20200804 09:30:00 US/Eastern,42.75,43.02,42.48,42.54,105286
20200804 10:00:00 US/Eastern,42.53,42.78,42.33,42.56,166946
20200804 11:00:00 US/Eastern,42.57,43.0,42.56,42.89,115215
20200804 12:00:00 US/Eastern,42.88,42.95,42.86,42.93,85309
20200804 13:00:00 US/Eastern,42.94,43.12,42.88,43.12,94092
20200804 14:00:00 US/Eastern,43.11,43.23,42.98,43.13,116366
20200804 15:00:00 US/Eastern,43.13,43.22,42.94,43.02,474620
20200805 09:30:00 US/Eastern,43.5,44.28,43.5,44.09,143028
20200805 10:00:00 US/Eastern,44.11,44.27,43.95,44.15,106315
20200805 11:00:00 US/Eastern,44.17,44.33,43.97,44.02,117041
20200805 12:00:00 US/Eastern,44.01,44.02,43.67,43.68,80634
20200805 13:00:00 US/Eastern,43.68,43.86,43.64,43.84,75182
20200805 14:00:00 US/Eastern,43.85,43.91,43.61,43.62,65702
20200805 15:00:00 US/Eastern,43.62,43.66,43.45,43.47,346832
20200806 09:30:00 US/Eastern,43.85,43.88,43.12,43.3,136302
20200806 10:00:00 US/Eastern,43.3,43.72,43.22,43.51,127828
20200806 11:00:00 US/Eastern,43.51,43.64,43.44,43.47,113341
20200806 12:00:00 US/Eastern,43.47,43.57,43.34,43.5,59525
20200806 13:00:00 US/Eastern,43.51,43.62,43.44,43.57,67591
20200806 14:00:00 US/Eastern,43.58,43.6,43.47,43.52,86348
20200806 15:00:00 US/Eastern,43.52,43.57,43.24,43.27,425250
20200807 09:30:00 US/Eastern,42.81,42.99,42.65,42.84,128598
20200807 10:00:00 US/Eastern,42.81,43.04,42.69,42.91,130804
20200807 11:00:00 US/Eastern,42.93,43.2,42.9,42.92,133796
20200807 12:00:00 US/Eastern,42.91,43.62,42.9,43.62,142643
20200807 13:00:00 US/Eastern,43.62,44.0,43.55,43.98,142194
20200807 14:00:00 US/Eastern,43.99,44.23,43.92,44.22,245658
20200807 15:00:00 US/Eastern,44.21,44.48,44.12,44.34,475144
20200810 09:30:00 US/Eastern,44.61,45.36,44.49,45.19,210946
20200810 10:00:00 US/Eastern,45.25,45.82,45.05,45.67,232130
20200810 11:00:00 US/Eastern,45.65,46.08,45.65,46.02,203531
20200810 12:00:00 US/Eastern,46.01,46.2,45.93,45.98,172299
20200810 13:00:00 US/Eastern,46.0,46.19,45.82,46.18,123675
20200810 14:00:00 US/Eastern,46.19,46.29,46.03,46.05,157850
20200810 15:00:00 US/Eastern,46.05,46.24,46.0,46.1,379318
20200811 09:30:00 US/Eastern,46.32,46.72,45.61,46.17,396315
20200811 10:00:00 US/Eastern,46.17,46.23,45.71,45.83,259895
20200811 11:00:00 US/Eastern,45.82,45.93,45.53,45.62,227617
20200811 12:00:00 US/Eastern,45.63,45.78,45.5,45.58,129864
20200811 13:00:00 US/Eastern,45.59,45.9,45.55,45.65,140608
20200811 14:00:00 US/Eastern,45.64,45.66,45.38,45.48,148241
20200811 15:00:00 US/Eastern,45.48,45.48,45.16,45.41,611452
20200812 09:30:00 US/Eastern,45.92,46.03,45.38,45.56,116171
20200812 10:00:00 US/Eastern,45.53,45.76,45.41,45.7,100583
20200812 11:00:00 US/Eastern,45.67,45.86,45.39,45.39,121865
20200812 12:00:00 US/Eastern,45.4,45.79,45.33,45.59,111082
20200812 13:00:00 US/Eastern,45.59,45.72,45.33,45.68,116842
20200812 14:00:00 US/Eastern,45.67,45.89,45.59,45.87,129516
20200812 15:00:00 US/Eastern,45.87,46.0,45.77,45.89,398092
20200813 09:30:00 US/Eastern,45.24,45.61,44.99,45.45,138453
20200813 10:00:00 US/Eastern,45.41,45.59,45.35,45.5,90088
20200813 11:00:00 US/Eastern,45.49,45.55,45.29,45.53,99569
20200813 12:00:00 US/Eastern,45.54,45.64,45.41,45.6,63585
20200813 13:00:00 US/Eastern,45.59,45.83,45.59,45.61,106491
20200813 14:00:00 US/Eastern,45.6,45.67,45.37,45.42,106084
20200813 15:00:00 US/Eastern,45.44,45.56,45.37,45.49,291643
20200814 09:30:00 US/Eastern,45.18,45.64,45.02,45.56,55332
20200814 10:00:00 US/Eastern,45.58,45.93,45.51,45.93,122751
20200814 11:00:00 US/Eastern,45.93,46.3,45.9,46.29,133415
20200814 12:00:00 US/Eastern,46.27,46.48,46.17,46.24,106249
20200814 13:00:00 US/Eastern,46.23,46.56,46.2,46.52,80417
20200814 14:00:00 US/Eastern,46.52,46.53,46.14,46.2,117509
20200814 15:00:00 US/Eastern,46.2,46.28,46.01,46.26,293747
20200817 09:30:00 US/Eastern,46.53,46.84,46.41,46.57,176798
20200817 10:00:00 US/Eastern,46.57,46.8,46.46,46.72,214714
20200817 11:00:00 US/Eastern,46.72,46.83,46.53,46.61,160677
20200817 12:00:00 US/Eastern,46.61,46.67,46.38,46.41,97324
20200817 13:00:00 US/Eastern,46.4,46.43,46.22,46.27,120316
20200817 14:00:00 US/Eastern,46.27,46.64,46.2,46.64,236255
20200817 15:00:00 US/Eastern,46.63,46.71,46.35,46.37,450755
20200818 09:30:00 US/Eastern,46.39,46.82,46.22,46.51,139499
20200818 10:00:00 US/Eastern,46.53,46.66,46.29,46.44,153524
20200818 11:00:00 US/Eastern,46.48,46.58,46.36,46.47,64239
20200818 12:00:00 US/Eastern,46.45,46.56,46.26,46.51,112415
20200818 13:00:00 US/Eastern,46.52,46.58,46.4,46.55,72670
20200818 14:00:00 US/Eastern,46.54,46.58,46.42,46.52,85229
20200818 15:00:00 US/Eastern,46.5,46.52,46.21,46.37,366778
20200819 09:30:00 US/Eastern,46.51,46.63,46.09,46.58,76138
20200819 10:00:00 US/Eastern,46.58,46.83,46.46,46.78,209684
20200819 11:00:00 US/Eastern,46.78,46.94,46.59,46.6,195978
20200819 12:00:00 US/Eastern,46.6,46.65,46.31,46.34,128967
20200819 13:00:00 US/Eastern,46.34,46.38,46.03,46.19,160520
20200819 14:00:00 US/Eastern,46.19,46.19,45.79,45.86,162954
20200819 15:00:00 US/Eastern,45.85,45.95,45.68,45.8,278299
20200820 09:30:00 US/Eastern,45.14,45.46,45.02,45.41,119632
20200820 10:00:00 US/Eastern,45.41,45.77,45.32,45.49,106800
20200820 11:00:00 US/Eastern,45.51,45.67,45.35,45.62,73660
20200820 12:00:00 US/Eastern,45.65,45.66,45.38,45.48,70439
20200820 13:00:00 US/Eastern,45.48,45.53,45.2,45.34,108130
20200820 14:00:00 US/Eastern,45.35,45.53,45.32,45.52,77367
20200820 15:00:00 US/Eastern,45.51,45.82,45.5,45.64,249178
20200821 09:30:00 US/Eastern,45.44,45.44,45.09,45.3,144859
20200821 10:00:00 US/Eastern,45.31,45.4,44.85,44.92,143729
20200821 11:00:00 US/Eastern,44.96,45.05,44.69,44.71,72978
20200821 12:00:00 US/Eastern,44.74,44.82,44.56,44.56,56601
20200821 13:00:00 US/Eastern,44.58,44.75,44.47,44.69,128671
20200821 14:00:00 US/Eastern,44.7,44.78,44.64,44.69,113621
20200821 15:00:00 US/Eastern,44.69,44.74,44.57,44.69,241987
20200824 09:30:00 US/Eastern,45.15,45.5,44.97,45.46,91251
20200824 10:00:00 US/Eastern,45.48,45.86,45.37,45.86,137732
20200824 11:00:00 US/Eastern,45.83,45.85,45.63,45.7,125950
20200824 12:00:00 US/Eastern,45.7,45.89,45.65,45.66,79688
20200824 13:00:00 US/Eastern,45.66,45.87,45.66,45.77,94100
20200824 14:00:00 US/Eastern,45.77,46.0,45.74,45.92,109103
20200824 15:00:00 US/Eastern,45.91,46.04,45.9,46.02,244945
20200825 09:30:00 US/Eastern,46.06,46.08,45.75,46.01,122060
20200825 10:00:00 US/Eastern,46.03,46.07,45.56,45.57,169628
20200825 11:00:00 US/Eastern,45.58,45.68,45.35,45.45,126951
20200825 12:00:00 US/Eastern,45.45,45.45,45.25,45.27,59573
20200825 13:00:00 US/Eastern,45.27,45.4,45.26,45.32,61632
20200825 14:00:00 US/Eastern,45.31,45.46,45.21,45.41,80663
20200825 15:00:00 US/Eastern,45.41,45.63,45.4,45.57,215472
20200826 09:30:00 US/Eastern,45.52,45.8,45.39,45.7,106435
20200826 10:00:00 US/Eastern,45.69,45.87,45.27,45.33,131527
20200826 11:00:00 US/Eastern,45.31,45.45,45.26,45.34,52290
20200826 12:00:00 US/Eastern,45.34,45.42,45.27,45.37,48633
20200826 13:00:00 US/Eastern,45.37,45.38,45.19,45.32,72253
20200826 14:00:00 US/Eastern,45.32,45.54,45.26,45.51,86333
20200826 15:00:00 US/Eastern,45.51,45.58,45.4,45.52,166832
20200827 09:30:00 US/Eastern,45.71,45.93,45.57,45.86,65162
20200827 10:00:00 US/Eastern,45.89,46.03,45.27,45.43,109422
20200827 11:00:00 US/Eastern,45.42,45.45,45.2,45.42,56769
20200827 12:00:00 US/Eastern,45.41,45.5,45.17,45.28,103680
20200827 13:00:00 US/Eastern,45.24,45.51,45.24,45.41,56432
20200827 14:00:00 US/Eastern,45.43,45.65,45.43,45.64,88925
20200827 15:00:00 US/Eastern,45.63,45.79,45.51,45.56,149250
20200828 09:30:00 US/Eastern,45.73,46.19,45.56,45.87,101114
20200828 10:00:00 US/Eastern,45.88,45.93,45.6,45.66,106235
20200828 11:00:00 US/Eastern,45.66,45.91,45.61,45.88,85728
20200828 12:00:00 US/Eastern,45.9,46.02,45.84,45.97,78988
20200828 13:00:00 US/Eastern,45.97,46.08,45.94,45.98,124746
20200828 14:00:00 US/Eastern,45.96,46.12,45.94,46.1,97838
20200828 15:00:00 US/Eastern,46.11,46.11,45.94,45.98,234674
20200831 09:30:00 US/Eastern,46.32,46.32,45.53,45.58,138271
20200831 10:00:00 US/Eastern,45.61,45.94,45.59,45.81,85762
20200831 11:00:00 US/Eastern,45.82,45.93,45.68,45.9,88904
20200831 12:00:00 US/Eastern,45.88,45.95,45.72,45.78,97726
20200831 13:00:00 US/Eastern,45.78,45.84,45.7,45.81,64999
20200831 14:00:00 US/Eastern,45.82,45.93,45.78,45.89,94270
20200831 15:00:00 US/Eastern,45.89,45.89,45.45,45.47,355998
20200901 09:30:00 US/Eastern,45.42,45.58,45.07,45.28,82490
20200901 10:00:00 US/Eastern,45.32,46.05,45.3,45.9,186049
20200901 11:00:00 US/Eastern,45.91,46.13,45.75,46.04,216223
20200901 12:00:00 US/Eastern,46.04,46.17,46.03,46.16,110390
20200901 13:00:00 US/Eastern,46.16,46.25,46.12,46.17,144268
20200901 14:00:00 US/Eastern,46.18,46.53,46.15,46.53,187548
20200901 15:00:00 US/Eastern,46.53,46.64,46.37,46.64,357891
20200902 09:30:00 US/Eastern,46.75,46.88,46.44,46.77,108433
20200902 10:00:00 US/Eastern,46.8,47.27,46.77,47.15,135559
20200902 11:00:00 US/Eastern,47.16,47.36,47.12,47.23,131564
20200902 12:00:00 US/Eastern,47.23,47.42,47.13,47.32,124360
20200902 13:00:00 US/Eastern,47.31,47.4,47.14,47.31,191418
20200902 14:00:00 US/Eastern,47.31,47.35,47.16,47.35,171880
20200902 15:00:00 US/Eastern,47.33,47.66,47.22,47.45,892121
